link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA280774_Poecilia-latipinna	SRR1979380	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980713	24.7016670000001	-81.3313899999998	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1979366	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1979245	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980600	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980698	24.701667	-81.33139	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1974188	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980508	24.7275	-81.39556	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980043	24.7275	-81.39556	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980701	24.701667	-81.33139	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1979474	24.7275	-81.39556	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980680	30.33916667	-83.99222222	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980703	24.701667	-81.33139	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980672	30.33916667	-83.99222222	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1979369	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980632	25.7253	-80.151111	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980719	24.7016670000001	-81.3313899999998	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980721	24.7016670000001	-81.3313899999997	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980694	24.701667	-81.33139	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980661	25.7253	-80.151111	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980679	30.33916667	-83.99222222	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1979322	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1979472	24.7275	-81.39556	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1974191	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980044	24.7275	-81.39556	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1974195	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1974147	24.668611	-81.36889	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980532	25.7253	-80.151111	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1979443	24.7275	-81.39556	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980697	24.701667	-81.33139	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980667	30.33916667	-83.99222222	10000	datathon
PRJNA280774_Poecilia-latipinna	SRR1980645	25.7253	-80.151111	10000	datathon
