link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA280898_Lagenorhynchus-albirostris	SRR2006224	57.1667	-2.0833	301	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006180	54.65955	8.339507	5421	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006216	56.55	-2.58333	301	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006220	57.66667	-2.53333	301	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006207	73.45	36.733333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006209	71.4	33.233333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006211	71.25	28.8	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006212	71.3	28.783333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006229	59.0525	-3.336111	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006231	57.46667	-1.78333	301	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006203	52.27444	-10.11	647	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006228	59.13333	-3.31667	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006175	54.13278	8.859148	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006206	52.22528	-9.92222	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006223	57.8691	-4.02371	2530	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006201	54.48	-8.28	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006204	54.48	-8.28	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006226	55.94846	-3.2	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006178	54.33333	8.75	20000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006205	54.15643	-10.0607	647	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006227	58.53333	-4.21667	647	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006215	56.18333	-3.22033	20000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006219	56.18333	-3.22033	20000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006169	55.47028	8.451869	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006213	57.68333	-2.01667	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006217	56	-2.88333	4216	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006208	77.666667	10.35	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006214	56.03333	-2.81667	3000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006177	54.618167	8.309444	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006233	58.486248	-5.112172	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006168	56.91667	9.166667	301	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006225	55.97538	-2.90055	1000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006173	54.5753	8.440214	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006172	54.68941	8.492768	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006210	73.05	10.116667	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006186	63.316667	-19.783333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006171	49.37893	-1.22547	8000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006230	60.38333	-1.35	301	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006221	58.61667	-3.53333	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006184	64.083333	-15.666667	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006164	57.72697	10.58969	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006167	57.72697	10.58969	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006165	55.50525	8.258152	301	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006202	54.3	-8.7	647	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006170	57.05	5.55	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006176	54.33333	8.6	3036	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006232	58.21556	-6.33111	2530	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006183	64.95	-23.218333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006185	63.966667	-22.8	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006187	64.266667	-22.383333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006188	64.316667	-22.3	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006189	63.816667	-22.133333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006190	63.833333	-21.416667	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006191	64	-23	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006192	63.833333	-21.416667	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006193	63.8	-20.983333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006194	64.133333	-22.783333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006195	64.333333	-22.9	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006196	63.966667	-22.833333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006197	63.966667	-22.783333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006198	63.8	-21.692255	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006199	63.85	-21.183333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006200	63.85	-21.183333	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006179	54.91823	8.331129	5421	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006181	54.91823	8.331129	5421	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006182	54.91823	8.331129	5421	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006174	54.420694	8.440694	10000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006218	58.6	-3.5	2000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006222	58.6	-3.5	2000	datathon
PRJNA280898_Lagenorhynchus-albirostris	SRR2006166	56.95548	8.376467	1204	datathon
