link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA295681_Anguilla-rostrata	SRR2887369	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887304	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887360	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887542	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887342	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887511	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887547	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887338	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887340	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887353	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887536	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887507	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887488	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887349	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887356	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887347	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887317	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887298	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887309	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887357	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887553	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887490	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887346	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887467	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887339	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887535	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887495	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887344	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887531	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887330	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887368	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887316	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887468	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887473	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887479	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887503	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887526	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887329	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887508	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887320	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887521	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887497	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887335	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887322	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887362	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887359	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887554	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887375	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887296	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887291	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887499	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887319	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887545	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887543	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887548	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887311	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887501	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887305	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887343	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887325	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887314	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887485	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887496	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887492	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887345	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887350	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887534	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887522	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887321	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887500	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887550	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887532	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887524	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887546	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887474	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887505	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887295	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887471	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887480	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887348	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887308	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887544	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887318	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887367	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887502	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887363	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887494	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887484	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887493	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887290	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887351	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887297	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887323	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887498	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887552	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887366	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887373	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887371	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887475	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887510	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887470	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887540	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887352	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887519	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887539	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887477	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887337	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887313	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887315	46.3316667	-74.5416667	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887518	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887289	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887374	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887472	45.8611111	-64.4797222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887372	45.155	-74.3844444	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887333	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887332	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887525	48.3741667	-68.7172222	1000	datathon
PRJNA295681_Anguilla-rostrata	SRR2887489	46.3316667	-74.5416667	1000	datathon
