link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA299372_Aythya-marila	SRR2752385	69.05437	-148.81669		ncbi
PRJNA299372_Aythya-marila	SRR2752386	68.881944	-148.870833		ncbi
PRJNA299372_Aythya-marila	SRR2752387	68.98204	-148.83182		ncbi
PRJNA299372_Aythya-marila	SRR2752388	70.201944	-148.424722		ncbi
PRJNA299372_Aythya-marila	SRR2752389	70.201944	-148.424722		ncbi
PRJNA299372_Aythya-marila	SRR2752390	69.781667	-148.715278		ncbi
PRJNA299372_Aythya-marila	SRR2752391	69.78202	-148.71564		ncbi
PRJNA299372_Aythya-marila	SRR2752392	69.78202	-148.71564		ncbi
PRJNA299372_Aythya-marila	SRR2752393	70.21839	-148.44268		ncbi
PRJNA299372_Aythya-marila	SRR2752394	69.0071	-148.8176		ncbi
PRJNA299372_Aythya-marila	SRR2752395	67.72531	-149.748		ncbi
PRJNA299372_Aythya-marila	SRR2752396	69.99309	-148.8154		ncbi
PRJNA299372_Aythya-marila	SRR2752397	69.00637	-148.81679		ncbi
PRJNA299372_Aythya-marila	SRR2752398	69.00637	-148.81679		ncbi
PRJNA299372_Aythya-marila	SRR2752399	68.95619	-148.86735		ncbi
PRJNA299372_Aythya-marila	SRR2752400	68.95619	-148.86735		ncbi
PRJNA299372_Aythya-marila	SRR2752401	68.98221	-148.82608		ncbi
PRJNA299372_Aythya-marila	SRR2752402	70.016667	-148.65		ncbi
PRJNA299372_Aythya-marila	SRR2752403	70.016667	-148.65		ncbi
PRJNA299372_Aythya-marila	SRR2752404	68.983278	-148.829806		ncbi
PRJNA299372_Aythya-marila	SRR2752405	68.983278	-148.829806		ncbi
PRJNA299372_Aythya-marila	SRR2752406	68.983278	-148.829806		ncbi
PRJNA299372_Aythya-marila	SRR2752407	68.983278	-148.829806		ncbi
PRJNA299372_Aythya-marila	SRR2752408	68.983278	-148.829806		ncbi
PRJNA299372_Aythya-marila	SRR2752414	52.885662	172.891228		ncbi
PRJNA299372_Aythya-marila	SRR2752415	51.785639	-176.621686		ncbi
PRJNA299372_Aythya-marila	SRR2752416	52.724635	174.112193		ncbi
PRJNA299372_Aythya-marila	SRR2752417	52.885662	172.891228		ncbi
PRJNA299372_Aythya-marila	SRR2752418	52.885662	172.891228		ncbi
PRJNA299372_Aythya-marila	SRR2752419	52.885662	172.891228		ncbi
PRJNA299372_Aythya-marila	SRR2752420	51.935011	-176.577008		ncbi
PRJNA299372_Aythya-marila	SRR2752421	51.935011	-176.577008		ncbi
PRJNA299372_Aythya-marila	SRR2752422	51.952398	177.663867		ncbi
PRJNA299372_Aythya-marila	SRR2752423	51.952398	177.663867		ncbi
PRJNA299372_Aythya-marila	SRR2752424	52.885662	172.891228		ncbi
PRJNA299372_Aythya-marila	SRR2752425	52.885662	172.891228		ncbi
PRJNA299372_Aythya-marila	SRR2752426	52.885662	172.891228		ncbi
PRJNA299372_Aythya-marila	SRR2752427	52.885662	172.891228		ncbi
PRJNA299372_Aythya-marila	SRR2752428	52.724635	174.112193		ncbi
PRJNA299372_Aythya-marila	SRR2752429	52.885662	172.891228		ncbi
PRJNA299372_Aythya-marila	SRR2752430	52.724635	174.112193		ncbi
PRJNA299372_Aythya-marila	SRR2752431	55.825268	-155.615012		ncbi
PRJNA299372_Aythya-marila	SRR2752432	55.825268	-155.615012		ncbi
PRJNA299372_Aythya-marila	SRR2752433	52.724635	174.112193		ncbi
PRJNA299372_Aythya-marila	SRR2752434	52.724635	174.112193		ncbi
PRJNA299372_Aythya-marila	SRR2752435	52.724635	174.112193		ncbi
PRJNA299372_Aythya-marila	SRR2752436	52.421	156.362		ncbi
PRJNA299372_Aythya-marila	SRR2752437	52.421	156.362		ncbi
PRJNA299372_Aythya-marila	SRR2752438	52.421	156.362		ncbi
PRJNA299372_Aythya-marila	SRR2752439	52.421	156.362		ncbi
PRJNA299372_Aythya-marila	SRR2752440	52.421	156.362		ncbi
PRJNA299372_Aythya-marila	SRR2752441	52.421	156.362		ncbi
PRJNA299372_Aythya-marila	SRR2752442	64.1833333333333	178.25		ncbi
PRJNA299372_Aythya-marila	SRR2752443	69.4166666666666	158.5		ncbi
PRJNA299372_Aythya-marila	SRR2752444	68.0166666666666	68.6		ncbi
PRJNA299372_Aythya-marila	SRR2752445	68.0166666666666	68.6		ncbi
PRJNA299372_Aythya-marila	SRR2752446	68.0166666666666	68.6		ncbi
PRJNA299372_Aythya-marila	SRR2752447	45.3333	134.6667		ncbi
PRJNA299372_Aythya-marila	SRR2752448	45.3333	134.6667		ncbi
PRJNA299372_Aythya-marila	SRR2752449	45.3333	134.6667		ncbi
PRJNA299372_Aythya-marila	SRR2752450	45.3333	134.6667		ncbi
PRJNA299372_Aythya-marila	SRR2752451	45.3333	134.6667		ncbi
PRJNA299372_Aythya-marila	SRR2752452	45.3333	134.6667		ncbi
PRJNA299372_Aythya-marila	SRR2752453	45.3333	134.6667		ncbi
