link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA314732_Lateolabrax-maculatus	SRR3290729	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290706	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290711	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290714	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290733	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290709	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290735	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290717	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290707	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290728	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290726	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290732	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290708	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290713	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290731	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290718	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290734	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290724	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290715	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290716	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290710	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290722	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290727	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290721	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290725	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290719	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290730	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290723	39.86667	124.3167	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290712	21.4	109.0833	15000	datathon
PRJNA314732_Lateolabrax-maculatus	SRR3290720	39.86667	124.3167	15000	datathon
