link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA343301_Oculina-patagonica	SRR4339957	41.694167	2.845	924	datathon
PRJNA343301_Oculina-patagonica	SRR4339921	40.846944	0.756667	1668	datathon
PRJNA343301_Oculina-patagonica	SRR4339909	41.142778	1.414722	336	datathon
PRJNA343301_Oculina-patagonica	SRR4308787	37.4275	-1.500833	430	datathon
PRJNA343301_Oculina-patagonica	SRR4308760	36.698056	-2.858333	1394	datathon
PRJNA343301_Oculina-patagonica	SRR4339963	40.846944	0.756667	1668	datathon
PRJNA343301_Oculina-patagonica	SRR4308794	36.994444	-1.889167	1671	datathon
PRJNA343301_Oculina-patagonica	SRR4308773	36.726111	-3.954444	243	datathon
PRJNA343301_Oculina-patagonica	SRR4339919	41.142778	1.414722	336	datathon
PRJNA343301_Oculina-patagonica	SRR4339944	41.694167	2.845	3036	datathon
PRJNA343301_Oculina-patagonica	SRR4339924	41.295278	2.1525	1003	datathon
PRJNA343301_Oculina-patagonica	SRR4339907	41.142778	1.414722	336	datathon
PRJNA343301_Oculina-patagonica	SRR4308767	37.587778	-0.975833	243	datathon
PRJNA343301_Oculina-patagonica	SRR4339910	40.846944	0.756667	1668	datathon
PRJNA343301_Oculina-patagonica	SRR4308769	37.587778	-0.975833	243	datathon
PRJNA343301_Oculina-patagonica	SRR4308740	36.726111	-3.954444	243	datathon
PRJNA343301_Oculina-patagonica	SRR4308721	40.259167	0.303056	990	datathon
PRJNA343301_Oculina-patagonica	SRR4339952	41.694167	2.845	490	datathon
PRJNA343301_Oculina-patagonica	SRR4308749	36.698056	-2.858333	1394	datathon
PRJNA343301_Oculina-patagonica	SRR4308719	40.259167	0.303056	990	datathon
PRJNA343301_Oculina-patagonica	SRR4339960	40.846944	0.756667	1668	datathon
PRJNA343301_Oculina-patagonica	SRR4339888	40.846944	0.756667	1668	datathon
PRJNA343301_Oculina-patagonica	SRR4339958	41.694167	2.845	924	datathon
PRJNA343301_Oculina-patagonica	SRR4308739	36.694444	-3.465278	46	datathon
PRJNA343301_Oculina-patagonica	SRR4308818	37.9175	-0.72	173	datathon
PRJNA343301_Oculina-patagonica	SRR4308782	37.4275	-1.500833	430	datathon
PRJNA343301_Oculina-patagonica	SRR4339917	41.142778	1.414722	336	datathon
PRJNA343301_Oculina-patagonica	SRR4339916	41.142778	1.414722	336	datathon
PRJNA343301_Oculina-patagonica	SRR4339949	40.846944	0.756667	1668	datathon
PRJNA343301_Oculina-patagonica	SRR4308733	36.694444	-3.465278	46	datathon
PRJNA343301_Oculina-patagonica	SRR4308768	37.587778	-0.975833	243	datathon
PRJNA343301_Oculina-patagonica	SRR4308798	36.994444	-1.889167	1671	datathon
PRJNA343301_Oculina-patagonica	SRR4308820	38.764167	0.223889	301	datathon
PRJNA343301_Oculina-patagonica	SRR4339903	40.808056	0.710833	453	datathon
