link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA343959_Phocoena-phocoena	SRR4291662	44.09	29.81		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291663	41.42	28.92		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291664	54.96	8.32		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291665	54.95	8.32		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291666	54.16	8.82		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291667	57	11		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291668	56.89	12.5		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291669	57.37	9.68		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291670	57.59	10.1		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291671	58.93	11.15		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291672	55.43	10.7		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291673	55.97	11.18		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291674	41.48	28.31		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291675	55.43	10.7		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291676	56.25	12.82		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291677	56.65	12.85		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291678	56	12		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291679	55	10.23		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291680	54.38	10.99		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291681	54.83	9.62		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291682	54.59	10.03		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291683	54.42	11.55		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291684	54.53	11.12		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291685	41.65	28.27		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291686	54.53	11.11		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291687	54.32	13.09		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291688	54.46	12.54		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291689	54.32	13.09		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291690	55	14		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291691	56	15		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291692	55.56	17.63		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291693	55.5	17		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291694	56	16		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291695	54.73	18.58		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291696	64.78	13.22		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291697	54.8	18.44		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291698	54.67	18.59		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291699	57	20		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291700	57.01	20		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291701	64.58	13.58		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291702	64.31	14		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291703	54.7	8.33		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291704	54.3	8.93		ncbi
PRJNA343959_Phocoena-phocoena	SRR4291705	55.47	8.38		ncbi
