link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA348572_Zalophus-wollebaeki	SRR4432485	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4432462	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424624	-0.416111	-90.278333	500	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424730	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424614	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424604	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424715	-0.416111	-90.278333	500	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424668	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424567	0.304444	-89.954444	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424633	-0.805	-90.040278	7000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424629	-0.416111	-90.278333	500	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424683	0.304444	-89.954444	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424645	0.536111	-90.738889	11000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4432499	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424644	0.536111	-90.738889	11000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424626	-0.805	-90.040278	7000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424719	-0.416111	-90.278333	500	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424687	0.304444	-89.954444	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424649	0.536111	-90.738889	11000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4432483	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424587	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424650	0.536111	-90.738889	11000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424642	0.536111	-90.738889	11000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424608	-1.368611	-89.642222	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424636	-0.805	-90.040278	7000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424583	-1.368611	-89.642222	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4432464	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4432507	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424598	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4432500	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424622	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4432486	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424601	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424721	-0.416111	-90.278333	500	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424727	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424623	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424632	-0.805	-90.040278	7000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4432482	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4432505	-0.471667	-91.606944	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424573	0.304444	-89.954444	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424684	0.304444	-89.954444	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424592	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424630	-0.416111	-90.278333	500	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424625	-0.416111	-90.278333	500	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424723	-0.416111	-90.278333	500	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424657	-0.805	-90.040278	7000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424735	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424724	-0.416111	-90.278333	500	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424615	-1.368611	-89.642222	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424648	-0.966111	-90.961667	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424582	-1.368611	-89.642222	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424707	0.536111	-90.738889	11000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424686	0.304444	-89.954444	50000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424708	0.536111	-90.738889	11000	datathon
PRJNA348572_Zalophus-wollebaeki	SRR4424703	0.536111	-90.738889	11000	datathon
