link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA354496_Symphodus-melops	SRR5043512	58.45	5.99		ncbi
PRJNA354496_Symphodus-melops	SRR5043513	63.46	7.69		ncbi
PRJNA354496_Symphodus-melops	SRR5043514	60.37	6.14		ncbi
PRJNA354496_Symphodus-melops	SRR5043515	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043516	58.46	8.77		ncbi
PRJNA354496_Symphodus-melops	SRR5043517	56.76	-5.88		ncbi
PRJNA354496_Symphodus-melops	SRR5043518	58.45	5.99		ncbi
PRJNA354496_Symphodus-melops	SRR5043519	56.76	-5.88		ncbi
PRJNA354496_Symphodus-melops	SRR5043520	58.96	5.73		ncbi
PRJNA354496_Symphodus-melops	SRR5043521	58.62	8.93		ncbi
PRJNA354496_Symphodus-melops	SRR5043522	58.62	8.93		ncbi
PRJNA354496_Symphodus-melops	SRR5043523	60.37	6.14		ncbi
PRJNA354496_Symphodus-melops	SRR5043524	58.62	8.93		ncbi
PRJNA354496_Symphodus-melops	SRR5043525	58.45	5.99		ncbi
PRJNA354496_Symphodus-melops	SRR5043526	63.46	7.69		ncbi
PRJNA354496_Symphodus-melops	SRR5043527	58.96	5.73		ncbi
PRJNA354496_Symphodus-melops	SRR5043528	58.96	5.73		ncbi
PRJNA354496_Symphodus-melops	SRR5043529	63.46	7.69		ncbi
PRJNA354496_Symphodus-melops	SRR5043530	58.96	5.73		ncbi
PRJNA354496_Symphodus-melops	SRR5043531	58.45	5.99		ncbi
PRJNA354496_Symphodus-melops	SRR5043532	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043533	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043534	60.37	6.14		ncbi
PRJNA354496_Symphodus-melops	SRR5043535	58.96	5.73		ncbi
PRJNA354496_Symphodus-melops	SRR5043536	58.45	5.99		ncbi
PRJNA354496_Symphodus-melops	SRR5043537	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043538	56.76	-5.88		ncbi
PRJNA354496_Symphodus-melops	SRR5043539	63.46	7.69		ncbi
PRJNA354496_Symphodus-melops	SRR5043540	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043541	63.46	7.69		ncbi
PRJNA354496_Symphodus-melops	SRR5043542	58.62	8.93		ncbi
PRJNA354496_Symphodus-melops	SRR5043543	58.46	8.77		ncbi
PRJNA354496_Symphodus-melops	SRR5043544	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043545	58.46	8.77		ncbi
PRJNA354496_Symphodus-melops	SRR5043546	56.76	-5.88		ncbi
PRJNA354496_Symphodus-melops	SRR5043547	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043548	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043549	58.62	8.93		ncbi
PRJNA354496_Symphodus-melops	SRR5043550	56.76	-5.88		ncbi
PRJNA354496_Symphodus-melops	SRR5043551	63.46	7.69		ncbi
PRJNA354496_Symphodus-melops	SRR5043552	58.45	5.99		ncbi
PRJNA354496_Symphodus-melops	SRR5043553	63.46	7.69		ncbi
PRJNA354496_Symphodus-melops	SRR5043554	58.45	5.99		ncbi
PRJNA354496_Symphodus-melops	SRR5043555	58.46	8.77		ncbi
PRJNA354496_Symphodus-melops	SRR5043556	58.62	8.93		ncbi
PRJNA354496_Symphodus-melops	SRR5043557	60.37	6.14		ncbi
PRJNA354496_Symphodus-melops	SRR5043558	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043559	58.96	5.73		ncbi
PRJNA354496_Symphodus-melops	SRR5043560	60.37	6.14		ncbi
PRJNA354496_Symphodus-melops	SRR5043561	58.34	11.56		ncbi
PRJNA354496_Symphodus-melops	SRR5043562	58.62	8.93		ncbi
PRJNA354496_Symphodus-melops	SRR5043563	58.46	8.77		ncbi
PRJNA354496_Symphodus-melops	SRR5043564	58.96	5.73		ncbi
PRJNA354496_Symphodus-melops	SRR5043565	58.46	8.77		ncbi
PRJNA354496_Symphodus-melops	SRR5043566	58.45	5.99		ncbi
PRJNA354496_Symphodus-melops	SRR5043567	60.37	6.14		ncbi
PRJNA354496_Symphodus-melops	SRR5043568	58.46	8.77		ncbi
PRJNA354496_Symphodus-melops	SRR5043569	60.37	6.14		ncbi
PRJNA354496_Symphodus-melops	SRR5043570	58.62	8.93		ncbi
PRJNA354496_Symphodus-melops	SRR5043571	58.46	8.77		ncbi
PRJNA354496_Symphodus-melops	SRR5043572	56.76	-5.88		ncbi
PRJNA354496_Symphodus-melops	SRR5043573	60.37	6.14		ncbi
PRJNA354496_Symphodus-melops	SRR5043574	58.96	5.73		ncbi
PRJNA354496_Symphodus-melops	SRR5043575	63.46	7.69		ncbi
PRJNA354496_Symphodus-melops	SRR5043576	56.76	-5.88		ncbi
