link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA369168_Gasterosteus-aculeatus	SRR5215326	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215327	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215328	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215329	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215330	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215331	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215332	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215333	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215334	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215335	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215336	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215337	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215338	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215339	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215340	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215341	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215342	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215343	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215344	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215345	64.137	-51.385		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215346	64.132	-51.377		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215347	64.132	-51.377		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215348	64.132	-51.377		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215349	64.132	-51.377		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215350	64.132	-51.377		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215351	64.132	-51.377		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215352	64.132	-51.377		ncbi
PRJNA369168_Gasterosteus-aculeatus	SRR5215353	64.132	-51.377		ncbi
