link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA373825_Paracentrotus-lividus	SRR5266404	42.38753	18.56963	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266297	40.10923	18.51922	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266377	43.79225	15.28148	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266457	39.79329	19.93564	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266242	42.48229	3.137416	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266228	42.48229	3.137416	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266238	42.48229	3.137416	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266278	40.10923	18.51922	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266325	40.71665	17.80005	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266338	42.13858	15.52395	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266249	40.19525	17.91795	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266423	40.3928	19.32497	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266332	40.71665	17.80005	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266210	37.05044	10.967	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266224	42.48229	3.137416	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266317	40.71665	17.80005	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266411	42.38753	18.56963	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266391	42.38753	18.56963	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266213	37.05044	10.967	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266293	40.10923	18.51922	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266323	40.71665	17.80005	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266227	42.48229	3.137416	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266357	42.13858	15.52395	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266452	39.79329	19.93564	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266313	40.71665	17.80005	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266450	39.79329	19.93564	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266354	42.13858	15.52395	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266211	37.05044	10.967	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266206	37.05044	10.967	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266203	37.05044	10.967	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266369	43.79225	15.28148	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266260	40.19525	17.91795	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266282	40.10923	18.51922	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266321	40.71665	17.80005	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266279	40.10923	18.51922	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266315	40.71665	17.80005	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266443	40.3928	19.32497	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266468	39.79329	19.93564	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266277	40.10923	18.51922	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266372	43.79225	15.28148	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266371	43.79225	15.28148	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266366	43.79225	15.28148	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266292	40.10923	18.51922	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266467	39.79329	19.93564	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266222	42.48229	3.137416	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266225	42.48229	3.137416	50	datathon
PRJNA373825_Paracentrotus-lividus	SRR5266266	40.19525	17.91795	50	datathon
