link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA379028_Porites-astreoides	SRR5340885	16.8037	-88.0822		ncbi
PRJNA379028_Porites-astreoides	SRR5340886	16.8037	-88.0822		ncbi
PRJNA379028_Porites-astreoides	SRR5340887	16.8037	-88.0821		ncbi
PRJNA379028_Porites-astreoides	SRR5340888	16.8037	-88.0821		ncbi
PRJNA379028_Porites-astreoides	SRR5340889	16.8037	-88.082		ncbi
PRJNA379028_Porites-astreoides	SRR5340890	16.8037	-88.082		ncbi
PRJNA379028_Porites-astreoides	SRR5340891	16.8577	-88.0732		ncbi
PRJNA379028_Porites-astreoides	SRR5340892	16.8577	-88.0732		ncbi
PRJNA379028_Porites-astreoides	SRR5340893	16.8213	-88.1382		ncbi
PRJNA379028_Porites-astreoides	SRR5340894	16.8213	-88.1382		ncbi
PRJNA379028_Porites-astreoides	SRR5340895	16.8177	-88.1291		ncbi
PRJNA379028_Porites-astreoides	SRR5340896	16.8177	-88.1291		ncbi
PRJNA379028_Porites-astreoides	SRR5340897	16.8081	-88.1407		ncbi
PRJNA379028_Porites-astreoides	SRR5340898	16.8081	-88.1407		ncbi
PRJNA379028_Porites-astreoides	SRR5340899	16.7804	-88.136		ncbi
PRJNA379028_Porites-astreoides	SRR5340900	16.7804	-88.136		ncbi
PRJNA379028_Porites-astreoides	SRR5340901	16.7652	-88.1652		ncbi
PRJNA379028_Porites-astreoides	SRR5340902	16.7652	-88.1652		ncbi
PRJNA379028_Porites-astreoides	SRR5340903	16.7103	-88.1757		ncbi
PRJNA379028_Porites-astreoides	SRR5340904	16.7103	-88.1757		ncbi
PRJNA379028_Porites-astreoides	SRR5340905	16.6892	-88.1904		ncbi
PRJNA379028_Porites-astreoides	SRR5340906	16.6892	-88.1904		ncbi
PRJNA379028_Porites-astreoides	SRR5340907	16.6656	-88.2002		ncbi
PRJNA379028_Porites-astreoides	SRR5340908	16.6656	-88.2002		ncbi
PRJNA379028_Porites-astreoides	SRR5340909	16.6642	-88.1881		ncbi
PRJNA379028_Porites-astreoides	SRR5340910	16.6642	-88.1881		ncbi
PRJNA379028_Porites-astreoides	SRR5340911	16.6815	-88.1732		ncbi
PRJNA379028_Porites-astreoides	SRR5340912	16.6815	-88.1732		ncbi
PRJNA379028_Porites-astreoides	SRR5340913	16.6962	-88.1558		ncbi
PRJNA379028_Porites-astreoides	SRR5340914	16.6962	-88.1558		ncbi
PRJNA379028_Porites-astreoides	SRR5340915	16.6836	-88.0966		ncbi
PRJNA379028_Porites-astreoides	SRR5340916	16.6836	-88.0966		ncbi
PRJNA379028_Porites-astreoides	SRR5340917	16.6945	-88.0756		ncbi
PRJNA379028_Porites-astreoides	SRR5340918	16.6945	-88.0756		ncbi
PRJNA379028_Porites-astreoides	SRR5340919	16.7164	-88.0795		ncbi
PRJNA379028_Porites-astreoides	SRR5340920	16.7164	-88.0795		ncbi
