link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA385083_Agaricia-undata	SRR5494320	10.26	-75.61		ncbi
PRJNA385083_Agaricia-undata	SRR5494321	10.26	-75.61		ncbi
PRJNA385083_Agaricia-undata	SRR5494322	10.26	-75.61		ncbi
PRJNA385083_Agaricia-undata	SRR5494323	10.26	-75.61		ncbi
PRJNA385083_Agaricia-undata	SRR5494324	10.26	-75.61		ncbi
PRJNA385083_Agaricia-undata	SRR5494325	10.26	-75.61		ncbi
PRJNA385083_Agaricia-undata	SRR5494326	10.26	-75.62		ncbi
PRJNA385083_Agaricia-undata	SRR5494327	10.26	-75.62		ncbi
PRJNA385083_Agaricia-undata	SRR5494328	10.27	-75.61		ncbi
PRJNA385083_Agaricia-undata	SRR5494329	10.27	-75.59		ncbi
PRJNA385083_Agaricia-undata	SRR5494330	12.5	-81.74		ncbi
PRJNA385083_Agaricia-undata	SRR5494331	12.5	-81.74		ncbi
PRJNA385083_Agaricia-undata	SRR5494332	12.39	-81.46		ncbi
PRJNA385083_Agaricia-undata	SRR5494333	12.39	-81.46		ncbi
PRJNA385083_Agaricia-undata	SRR5494334	10.23	-75.73		ncbi
PRJNA385083_Agaricia-undata	SRR5494335	10.23	-75.73		ncbi
PRJNA385083_Agaricia-undata	SRR5494336	10.23	-75.73		ncbi
PRJNA385083_Agaricia-undata	SRR5494337	10.23	-75.73		ncbi
PRJNA385083_Agaricia-undata	SRR5494338	12.5	-81.74		ncbi
PRJNA385083_Agaricia-undata	SRR5494339	12.5	-81.74		ncbi
PRJNA385083_Agaricia-undata	SRR5494340	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494341	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494342	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494343	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494344	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494345	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494346	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494347	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494348	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494349	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494350	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494351	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494352	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494353	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494354	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494355	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494356	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5494357	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5500688	10.26	-75.61		ncbi
PRJNA385083_Agaricia-undata	SRR5500689	10.26	-75.61		ncbi
PRJNA385083_Agaricia-undata	SRR5500690	10.23	-75.73		ncbi
PRJNA385083_Agaricia-undata	SRR5500691	12.5	-81.74		ncbi
PRJNA385083_Agaricia-undata	SRR5500692	12.54	-81.69		ncbi
PRJNA385083_Agaricia-undata	SRR5500693	12.54	-81.69		ncbi
