link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA394157_Exaiptasia-diaphana	SRR5829031	29.900922	-81.31181	29883	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5828982	9.1798	-82.0824	2311	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829079	9.1759	-82.0871	2727	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829013	9.4019	-79.8609	3178	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829095	9.3511	-82.2576	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829070	9.3426	-82.2546	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829084	9.2211	-82.3259	3879	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829086	9.2206	-82.3251	2681	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829046	9.214	-82.3237	3191	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829022	9.1673	-82.0866	2311	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829062	9.2215	-82.3253	3879	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829049	9.2215	-82.3253	3879	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829016	9.4019	-79.8609	3178	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829089	9.2206	-82.3252	2681	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829014	9.352	-82.2591	1529	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829097	9.3576	-82.2624	1529	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829085	9.2204	-82.3253	2681	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5828974	9.3542	-82.2586	3921	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829093	9.3519	-82.258	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829078	9.1748	-82.0764	2727	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829101	9.3576	-82.2624	1529	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829028	19.5	-155.5	94510	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829054	9.2252	-82.3266	3760	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829082	9.1747	-82.0765	2727	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829088	9.2146	-82.3239	5850	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829116	9.2143	-82.3239	5850	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829059	9.2246	-82.3264	3760	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829100	9.3523	-82.2548	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829120	9.2264	-82.3271	3760	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5828973	9.3418	-82.2543	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829010	9.3576	-82.2624	1529	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829002	9.1797	-82.0844	3099	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5828970	9.3417	-82.2541	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829077	9.1748	-82.0764	2727	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5828976	9.353	-82.2571	3921	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829069	9.3425	-82.2544	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829098	9.3524	-82.2567	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829113	9.3535	-82.2588	3921	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829019	9.1675	-82.0869	2713	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829024	9.1674	-82.0868	2713	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829092	9.2209	-82.326	2681	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829067	9.3525	-82.2579	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829121	9.2257	-82.3269	3760	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5828978	9.1685	-82.086	2311	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829072	9.3508	-82.2576	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829008	9.358	-82.2626	1529	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829115	9.2145	-82.324	5850	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829051	9.2205	-82.3252	2681	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829025	9.1674	-82.0868	2713	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829058	9.2246	-82.3264	3760	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829057	9.2248	-82.3264	3760	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829064	9.35	-82.2571	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829053	9.2145	-82.324	5850	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829047	9.2138	-82.3234	2493	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5828979	9.1685	-82.086	2311	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829043	9.214	-82.3237	3191	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829009	9.3584	-82.2636	1529	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829063	9.3428	-82.2548	3801	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829081	9.1747	-82.0765	2727	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829076	9.1747	-82.0762	2727	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829052	9.4127	-82.3239	2493	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829023	9.1798	-82.0824	2311	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829122	9.2257	-82.3269	3760	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5828999	9.1748	-82.0853	2727	datathon
PRJNA394157_Exaiptasia-diaphana	SRR5829068	9.3424	-82.2545	3801	datathon
