link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA430094_Coryphaenoides-rupestris	SRR6473764	56.297	-9.633166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473765	56.297	-9.633166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473766	56.20616667	-9.382666667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473767	56.20616667	-9.382666667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473768	56.29266667	-9.881166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473769	56.29266667	-9.881166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473770	56.29266667	-9.881166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473771	56.29266667	-9.881166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473772	56.297	-9.633166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473773	56.29266667	-9.881166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473774	56.23466667	-9.256833333		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473775	56.20616667	-9.382666667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473776	56.20616667	-9.382666667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473777	56.20616667	-9.382666667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473778	56.297	-9.633166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473779	56.297	-9.633166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473780	56.29266667	-9.881166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473781	56.29266667	-9.881166667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473782	56.23466667	-9.256833333		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473783	56.23466667	-9.256833333		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473784	56.20616667	-9.382666667		ncbi
PRJNA430094_Coryphaenoides-rupestris	SRR6473785	56.20616667	-9.382666667		ncbi
