link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA437462_Fundulus-grandis	SRR7221959	29.75	-95.05	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221980	29.5436	-94.7856	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221904	29.7283	-95.1142	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221967	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221863	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221783	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221782	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221841	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221883	29.75	-95.05	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221884	29.75	-95.05	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221809	29.76	-95.0822	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221885	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221918	29.75	-95.05	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221936	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221976	29.5436	-94.7856	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221833	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221996	29.75	-95.05	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221897	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221949	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221791	29.76	-95.0822	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221993	29.75	-95.05	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7222001	29.7283	-95.1142	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221834	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7222027	29.7544	-95.2972	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221754	29.7544	-95.2972	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221942	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221935	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221866	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221824	29.7544	-95.2972	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7222011	29.5436	-94.7856	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221922	29.75	-95.05	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221861	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221837	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7222032	29.7283	-95.1142	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221921	29.75	-95.05	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221776	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221775	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221954	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221879	29.75	-95.05	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221930	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221973	29.5436	-94.7856	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221819	29.5436	-94.7856	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221854	29.5436	-94.7856	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221780	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221934	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221823	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221807	29.2583	-94.9125	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7222018	29.7544	-95.2972	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221920	29.7194	-95.22	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221910	29.7283	-95.1142	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221749	29.7544	-95.2972	1100	datathon
PRJNA437462_Fundulus-grandis	SRR7221801	29.5436	-94.7856	1100	datathon
