link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA445895_Pisaster-ochraceus	SRR6905592	37.931	-122.75	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905471	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905599	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905781	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905712	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905532	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905568	38.741	-123.508	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905580	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905440	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905658	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905711	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905536	38.918	-123.721	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905427	38.303	-123.053	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905607	38.459	-123.146	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905766	37.931	-122.75	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905708	38.798	-123.573	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905430	38.918	-123.721	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905739	38.525	-123.268	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905686	38.587	-123.342	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905668	38.525	-123.268	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905699	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905705	38.459	-123.146	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905524	37.931	-122.75	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905493	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905423	38.303	-123.053	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905553	38.798	-123.573	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905763	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905435	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905456	38.317	-123.073	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905415	38.303	-123.053	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905563	38.587	-123.342	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905441	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905573	38.88	-123.675	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905557	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905724	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905726	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905537	38.918	-123.721	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905684	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905547	38.798	-123.573	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905656	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905773	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905583	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905424	38.303	-123.053	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905666	38.459	-123.146	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905649	38.741	-123.508	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905571	37.893	-122.707	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905748	38.918	-123.721	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905630	38.597	-123.351	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905619	38.848	-123.647	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905752	38.918	-123.721	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905601	38.459	-123.146	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905515	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905414	38.303	-123.053	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905506	38.7	-123.443	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905490	38.88	-123.675	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905676	37.931	-122.75	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905486	38.597	-123.351	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905567	38.741	-123.508	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905482	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905531	38.317	-123.073	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905753	38.918	-123.721	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905461	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905453	38.317	-123.073	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905434	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905647	38.741	-123.508	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905706	38.798	-123.573	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905651	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905756	38.918	-123.721	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905476	38.317	-123.073	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905481	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905529	38.317	-123.073	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905540	38.918	-123.721	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905562	38.317	-123.073	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905765	37.931	-122.75	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905594	38.587	-123.342	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905648	38.741	-123.508	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905593	38.587	-123.342	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905499	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905609	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905517	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905637	38.597	-123.351	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905665	38.459	-123.146	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905589	37.931	-122.75	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905670	37.931	-122.75	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905526	38.317	-123.073	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905466	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905585	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905511	38.7	-123.443	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905478	38.317	-123.073	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905620	38.848	-123.647	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905577	38.88	-123.675	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905672	37.931	-122.75	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905588	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905628	38.597	-123.351	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905560	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905692	38.587	-123.342	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905575	38.88	-123.675	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905443	38.88	-123.675	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905680	38.7	-123.443	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905534	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905578	38.88	-123.675	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905645	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905545	38.525	-123.268	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905629	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905439	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905688	38.587	-123.342	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905597	38.587	-123.342	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905444	37.893	-122.707	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905785	37.997	-122.979	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905509	38.7	-123.443	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905556	38.182	-122.966	500	datathon
PRJNA445895_Pisaster-ochraceus	SRR6905422	38.303	-123.053	500	datathon
