link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007425	45.87	-62.59	1e+05	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007477	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007463	45.87	-62.59	1e+05	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007331	41.34	-70.305	5000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007496	41.34	-70.305	5000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007493	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007520	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007297	41.34	-70.305	5000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007563	45.87	-62.59	1e+05	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007310	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007551	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007507	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007591	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007440	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007412	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007521	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007583	41.34	-70.305	5000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007605	45.87	-62.59	1e+05	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007470	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007337	41.34	-70.305	5000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007536	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007357	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007474	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007377	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007586	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007471	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007423	45.87	-62.59	1e+05	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007537	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007502	41.34	-70.305	5000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007592	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007484	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007300	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007312	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007414	43.916	-59.916	28000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007287	41.34	-70.305	5000	datathon
PRJNA450328_Halichoerus-grypus-atlantica	SRR7007314	43.916	-59.916	28000	datathon
