link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA451040_Sebastes-paucispinis	SRR7079420	45.9	-124.03	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079413	48.2393	-124.16	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079366	44.6753506044725	-124.763277497211	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079377	43.055750326797	-124.858755882353	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079416	44.90755	-124.3996	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079542	48.128331356618	-125.513908485777	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079417	45.5666666666667	-124	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079423	44.29308	-124.8132	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079418	48.5966666666667	-125.598333333333	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079337	44.6753506044725	-124.763277497211	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079376	48.128331356618	-125.513908485777	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079541	54.53	-131.0116	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079378	46.264717078658	-124.556577258998	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079379	48.156410301543	-125.661095313217	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079537	43.081232539454	-124.525902715626	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079422	53.23	-132.78	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079414	47.95	-122.31	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079421	43.06461	-124.772	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079538	48.1	-125.466666666667	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079458	47.95	-122.31	5000	datathon
PRJNA451040_Sebastes-paucispinis	SRR7079419	48.1	-122.38	5000	datathon
