link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA451040_Sebastes-pinniger	SRR7079500	47.9374803	-122.35626352	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079367	48.67195	-123.038183333333	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079338	47.6318	-124.82	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079563	48.6750833333333	-123.041466666667	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079334	48.6752	-123.04275	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079531	47.94655379	-122.314068	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079329	47.70611773	-122.86994376	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079525	48.67515	-123.0412	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079479	48.24314978	-124.17960432	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079561	47.32527556	-122.48152453	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079478	48.3529544	-125.153885	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079483	48.6751	-123.042333333333	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079567	48.2478574	-124.18559143	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079566	47.94635648	-122.3133552	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079535	47.94649998	-122.31374674	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079565	48.6753666666667	-123.039633333333	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079568	47.70560467	-122.86957991	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079501	48.21966344	-124.09981891	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079370	48.67515	-123.0412	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079494	47.77910223	-122.40122422	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079477	48.2434377	-124.17995217000001	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079556	48.17278833	-125.1466733	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079340	48.67515	-123.0412	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079524	48.0919317	-125.1745436	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079325	48.42070708	-124.66685441	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079319	47.7673	-125.06	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079336	47.738235752688	-124.916974731183	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079328	48.6751	-123.042333333333	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079526	47.9468174	-122.3137136	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079463	48.24314978	-124.17960432	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079473	48.6751833333333	-123.041516666667	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079482	48.18574523	-123.98711332	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079467	47.78001049	-122.40108617	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079462	47.8759	-122.40543	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079323	47.9906955629025	-125.211234338789	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079474	47.70795051	-122.86931529	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079339	48.6752666666667	-123.03995	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079461	48.3529544	-125.153885	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079497	48.18574523	-123.98711332	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079335	46.56714444	-124.5003338	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079534	47.94648716	-122.3137831	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079529	47.9374803	-122.35626352	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079533	48.21966344	-124.09981891	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079495	47.77904783	-122.40144902	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079549	48.6752	-123.04275	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079530	47.87657178	-122.406169	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079453	48.24314978	-124.17960432	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079562	48.6752	-123.04275	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079322	48.65022948	-123.08638563	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079502	48.24805705	-124.18640908	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079326	46.79330446	-124.8354531	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079460	48.18605846	-123.98502833	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079569	47.94649998	-122.31374674	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079369	48.6749833333333	-123.040066666667	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079365	48.24929104	-124.18698165	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079484	48.24314978	-124.17960432	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079560	47.3254914	-122.47759341	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079454	47.77904783	-122.40144902	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079527	48.24929104	-124.18698165	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079318	48.02239247	-125.6214263	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079558	48.17278833	-125.1466733	550	datathon
PRJNA451040_Sebastes-pinniger	SRR7079564	48.24951467	-124.18776695	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079331	47.9466874	-122.3137156	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079455	48.47621422	-123.0789068	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079486	48.24947519	-124.18767701	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079459	47.88099683	-122.507709	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079330	48.6749333333333	-123.043666666667	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079327	48.6751833333333	-123.042233333333	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079493	48.21966344	-124.09981891	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079570	48.6746166666667	-123.043583333333	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079496	47.77910223	-122.40122422	100	datathon
PRJNA451040_Sebastes-pinniger	SRR7079571	47.87649776	-122.405783	100	datathon
