link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA471559_Planes-minutus	SRR7189654	22.515	-152.45	1000	datathon
PRJNA471559_Planes-minutus	SRR7189597	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189687	24.5833	-112	1000	datathon
PRJNA471559_Planes-minutus	SRR7189639	27.350766	-80.24148	1000	datathon
PRJNA471559_Planes-minutus	SRR7189738	30.116	141.183	1000	datathon
PRJNA471559_Planes-minutus	SRR7189710	27.350766	-80.24148	1000	datathon
PRJNA471559_Planes-minutus	SRR7189635	27.350766	-80.24148	1000	datathon
PRJNA471559_Planes-minutus	SRR7189626	-29.731328	31.113281	1000	datathon
PRJNA471559_Planes-minutus	SRR7189596	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189696	-18.04855	-73.9219333333333	1000	datathon
PRJNA471559_Planes-minutus	SRR7189703	-18.3021	-73.2331	1000	datathon
PRJNA471559_Planes-minutus	SRR7189632	27.350766	-80.24148	1000	datathon
PRJNA471559_Planes-minutus	SRR7189739	30.116	141.183	1000	datathon
PRJNA471559_Planes-minutus	SRR7189700	-9.31755	-79.6044	1000	datathon
PRJNA471559_Planes-minutus	SRR7189711	27.350766	-80.24148	1000	datathon
PRJNA471559_Planes-minutus	SRR7189599	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189692	33.2799	134.1935	1000	datathon
PRJNA471559_Planes-minutus	SRR7189682	33.2799	134.1935	1000	datathon
PRJNA471559_Planes-minutus	SRR7189614	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189712	27.350766	-80.24148	1000	datathon
PRJNA471559_Planes-minutus	SRR7189698	-3.67775	10.73241	1000	datathon
PRJNA471559_Planes-minutus	SRR7189602	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189702	-9.4396	-79.6333666666667	1000	datathon
PRJNA471559_Planes-minutus	SRR7189729	27.92	140.221	1000	datathon
PRJNA471559_Planes-minutus	SRR7189706	33.2799	134.1935	1000	datathon
PRJNA471559_Planes-minutus	SRR7189697	-18.3186833333333	-73.5987166666667	1000	datathon
PRJNA471559_Planes-minutus	SRR7189713	27.350766	-80.24148	1000	datathon
PRJNA471559_Planes-minutus	SRR7189608	10.302699	-109.216531	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189672	37.736435	20.892692	1000	datathon
PRJNA471559_Planes-minutus	SRR7189606	-8.15873333333333	-80.3316	1000	datathon
PRJNA471559_Planes-minutus	SRR7189726	27.908	140.271	1000	datathon
PRJNA471559_Planes-minutus	SRR7189656	30.1433	-141.3133	1000	datathon
PRJNA471559_Planes-minutus	SRR7189628	22	-156	1000	datathon
PRJNA471559_Planes-minutus	SRR7189637	27.350766	-80.24148	1000	datathon
PRJNA471559_Planes-minutus	SRR7189665	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189619	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189664	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189730	24.5833	-112	1000	datathon
PRJNA471559_Planes-minutus	SRR7189709	33.2799	134.1935	1000	datathon
PRJNA471559_Planes-minutus	SRR7189728	27.92	140.221	1000	datathon
PRJNA471559_Planes-minutus	SRR7189694	33.2799	134.1935	1000	datathon
PRJNA471559_Planes-minutus	SRR7189683	33.2799	134.1935	1000	datathon
PRJNA471559_Planes-minutus	SRR7189629	-8.15873333333333	-80.3316	1000	datathon
PRJNA471559_Planes-minutus	SRR7189618	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189676	33.2799	134.1935	1000	datathon
PRJNA471559_Planes-minutus	SRR7189671	37.736435	20.892692	1000	datathon
PRJNA471559_Planes-minutus	SRR7189642	-16.618596	-143.546104	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189607	10.302699	-109.216531	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189678	33.2799	134.1935	1000	datathon
PRJNA471559_Planes-minutus	SRR7189707	-7.617	-79.9230833333333	1000	datathon
PRJNA471559_Planes-minutus	SRR7189600	38	-26	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189643	-16.618596	-143.546104	1e+05	datathon
PRJNA471559_Planes-minutus	SRR7189655	16.12	-22.82	1000	datathon
PRJNA471559_Planes-minutus	SRR7189611	10.58	-85.72	1000	datathon
PRJNA471559_Planes-minutus	SRR7189680	33.2799	134.1935	1000	datathon
