link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA473382_Dascyllus-trimaculatus	SRR7226206	-5.323567	72.244025		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226207	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226208	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226209	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226210	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226211	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226212	11.707233	43.088096		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226213	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226214	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226215	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226216	-12.862078	45.279118		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226217	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226218	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226219	-7.322186	72.423652		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226220	11.707233	43.088096		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226221	11.707233	43.088096		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226222	-12.862078	45.279118		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226223	-12.862078	45.279118		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226224	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226225	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226226	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226227	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226228	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226229	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226230	-5.349388	71.850597		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226231	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226232	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226233	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226234	-5.323567	72.244025		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226235	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226236	-5.323567	72.244025		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226237	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226238	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226239	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226240	-12.862078	45.279118		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226241	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226242	-12.862078	45.279118		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226243	-12.862078	45.279118		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226244	-17.063505	42.700525		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226245	-12.862078	45.279118		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226246	-17.063505	42.700525		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226247	29.522292	34.961735		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226248	25.935444	56.465695		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226249	-5.323567	72.244025		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226250	29.522292	34.961735		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226251	11.707233	43.088096		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226252	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226253	-12.862078	45.279118		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226254	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226255	-6.13491	39.174179		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226256	-17.063505	42.700525		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226257	-17.063505	42.700525		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226258	-17.063505	42.700525		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226259	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226260	-6.211734	72.114579		ncbi
PRJNA473382_Dascyllus-trimaculatus	SRR7226261	27.909889	35.065417		ncbi
