link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA480409_Laguncularia-racemosa	SRR7504169	25.84294	-81.38276		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504170	25.84296	-81.38274		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504171	17.1424	-61.85807		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504172	23.08126	-75.02851		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504173	23.08137	-75.02842		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504174	25.8429	-81.3828		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504175	25.84292	-81.38278		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504176	23.08148	-75.02833		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504177	23.08159	-75.02824		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504178	23.0817	-75.02815		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504179	23.08181	-75.02806		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504180	9.59233	-82.59879		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504181	12.46447	-69.96937		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504182	9.59166	-82.59755		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504183	17.01915	-61.8581		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504184	17.02171	-61.85541		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504185	12.47355	-69.97508		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504186	16.53233	-88.36274		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504187	24.55284	-81.76786		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504188	12.22602	-61.60907		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504189	17.88771	-77.07597		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504190	9.59273	-82.59991		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504191	26.60358	-78.39992		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504192	17.88799	-77.07552		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504193	26.60362	-78.39989		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504194	26.60366	-78.39986		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504195	25.84298	-81.38272		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504196	25.13407	-80.94293		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504197	25.13404	-80.94296		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504198	25.13401	-80.94299		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504199	25.13398	-80.94302		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504200	24.5528	-81.7677		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504201	24.55283	-81.76782		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504202	24.55281	-81.76774		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504203	28.25485	-82.75671		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504204	28.2543	-82.75721		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504205	28.07434	-80.60532		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504206	28.07433	-80.60529		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504207	28.07432	-80.60526		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504208	28.0743	-80.6052		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504209	18.3729	-65.71094		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504210	18.37293	-65.71092		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504211	26.60354	-78.39995		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504212	18.37287	-65.71095		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504213	18.37302	-65.71092		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504214	12.22576	-61.6091		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504215	18.37296	-65.71093		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504216	18.37299	-65.71092		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504217	9.59144	-82.5973		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504218	19.29301	-81.29816		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504219	19.29605	-81.29563		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504220	26.60358	-78.39992		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504221	26.60354	-78.39995		ncbi
PRJNA480409_Laguncularia-racemosa	SRR7504222	9.59037	-82.59674		ncbi
