link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA486197_Isocladus-armatus	SRR7699361	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699362	-36.56605	174.6952		ncbi
PRJNA486197_Isocladus-armatus	SRR7699363	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699364	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699365	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699366	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699367	-36.56605	174.6952		ncbi
PRJNA486197_Isocladus-armatus	SRR7699368	-36.56605	174.6952		ncbi
PRJNA486197_Isocladus-armatus	SRR7699369	-36.56605	174.6952		ncbi
PRJNA486197_Isocladus-armatus	SRR7699370	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699371	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699372	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699373	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699374	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699375	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699376	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699377	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699378	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699379	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699380	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699381	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699382	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699383	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699384	-36.56605	174.6952		ncbi
PRJNA486197_Isocladus-armatus	SRR7699385	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699386	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699387	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699388	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699389	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699390	-36.56605	174.6952		ncbi
PRJNA486197_Isocladus-armatus	SRR7699391	-36.56605	174.6952		ncbi
PRJNA486197_Isocladus-armatus	SRR7699392	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699393	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699394	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699395	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699396	-36.56605	174.6952		ncbi
PRJNA486197_Isocladus-armatus	SRR7699397	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699398	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699399	-42.4235	173.7169		ncbi
PRJNA486197_Isocladus-armatus	SRR7699400	-36.6183	174.7282		ncbi
PRJNA486197_Isocladus-armatus	SRR7699401	-42.4235	173.7169		ncbi
