link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA493660_Pygoscelis-papua	SRR7911807	-54	-38.04		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911808	-54	-38.04		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911812	-54	-38.04		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911813	-54	-38.04		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911814	-54	-38.04		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911816	-54	-38.04		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911817	-54	-38.04		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911818	-54	-38.04		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911819	-54	-38.04		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911820	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911821	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911822	-62.16	-58.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911823	-62.16	-58.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911824	-62.16	-58.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911825	-62.16	-58.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911826	-62.16	-58.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911827	-62.16	-58.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911828	-62.16	-58.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911829	-62.16	-58.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911858	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911859	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911860	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911861	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911862	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911863	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911864	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911865	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911866	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911867	-49.37	70.44		ncbi
PRJNA493660_Pygoscelis-papua	SRR7911896	-64.67	-62.67		ncbi
