link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA508986_Ctenolabrus-rupestris	SRR8293111	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293125	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293076	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293122	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293121	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293094	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293097	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293102	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293085	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293106	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293072	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293087	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293095	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293110	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293069	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293100	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293123	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293071	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293116	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293118	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293089	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293075	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293084	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293108	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293115	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293074	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293096	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293124	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293105	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293113	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293117	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293104	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293112	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293126	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293092	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293079	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293101	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293107	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293078	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293119	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293127	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293077	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293082	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293091	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293073	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293120	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293086	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293080	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293128	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293090	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293098	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293103	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293070	67.443	14.667	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293114	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293109	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293088	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293083	56.431	-6.184	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293093	43.222174	-9.156616	35000	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293081	57.102	12.238	50	datathon
PRJNA508986_Ctenolabrus-rupestris	SRR8293099	67.443	14.667	50	datathon
