link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA511386_Ostrea-lurida	SRR8362159	32.6025	-117.118889		ncbi
PRJNA511386_Ostrea-lurida	SRR8362160	46.44	-124.004		ncbi
PRJNA511386_Ostrea-lurida	SRR8362161	46.44	-124.004		ncbi
PRJNA511386_Ostrea-lurida	SRR8362162	46.44	-124.004		ncbi
PRJNA511386_Ostrea-lurida	SRR8362163	46.44	-124.004		ncbi
PRJNA511386_Ostrea-lurida	SRR8362164	46.44	-124.004		ncbi
PRJNA511386_Ostrea-lurida	SRR8362165	46.44	-124.004		ncbi
PRJNA511386_Ostrea-lurida	SRR8362166	37.955067	-122.4218		ncbi
PRJNA511386_Ostrea-lurida	SRR8362167	37.955067	-122.4218		ncbi
PRJNA511386_Ostrea-lurida	SRR8362168	49.01585	-125.314167		ncbi
PRJNA511386_Ostrea-lurida	SRR8362169	49.01585	-125.314167		ncbi
PRJNA511386_Ostrea-lurida	SRR8362170	49.011383	-123.8357		ncbi
PRJNA511386_Ostrea-lurida	SRR8362171	47.7375	-122.6507		ncbi
PRJNA511386_Ostrea-lurida	SRR8362172	47.7375	-122.6507		ncbi
PRJNA511386_Ostrea-lurida	SRR8362173	36.8398194	-121.7427806		ncbi
PRJNA511386_Ostrea-lurida	SRR8362174	36.8398194	-121.7427806		ncbi
PRJNA511386_Ostrea-lurida	SRR8362175	47.6131	-122.982		ncbi
PRJNA511386_Ostrea-lurida	SRR8362176	47.6131	-122.982		ncbi
PRJNA511386_Ostrea-lurida	SRR8362177	47.7375	-122.6507		ncbi
PRJNA511386_Ostrea-lurida	SRR8362178	47.7375	-122.6507		ncbi
PRJNA511386_Ostrea-lurida	SRR8362179	36.8398194	-121.7427806		ncbi
PRJNA511386_Ostrea-lurida	SRR8362180	36.8398194	-121.7427806		ncbi
PRJNA511386_Ostrea-lurida	SRR8362181	36.8398194	-121.7427806		ncbi
PRJNA511386_Ostrea-lurida	SRR8362182	36.8398194	-121.7427806		ncbi
PRJNA511386_Ostrea-lurida	SRR8362183	36.8398194	-121.7427806		ncbi
PRJNA511386_Ostrea-lurida	SRR8362184	36.8398194	-121.7427806		ncbi
