link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA521889_Gadus-morhua	SRR8566109	44.345	-67.93		ncbi
PRJNA521889_Gadus-morhua	SRR8566110	44.37	-67.98		ncbi
PRJNA521889_Gadus-morhua	SRR8566112	44.34	-67.85		ncbi
PRJNA521889_Gadus-morhua	SRR8566115	43.966	-68.692		ncbi
PRJNA521889_Gadus-morhua	SRR8566119	44.39	-67.61		ncbi
PRJNA521889_Gadus-morhua	SRR8566121	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566122	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566123	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566124	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566125	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566126	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566127	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566128	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566129	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566130	42.828517	-70.554941		ncbi
PRJNA521889_Gadus-morhua	SRR8566131	44.51	-67.49		ncbi
PRJNA521889_Gadus-morhua	SRR8566132	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566133	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566134	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566135	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566136	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566137	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566138	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566139	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566140	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566141	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566142	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566143	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566144	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566145	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566146	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566147	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566148	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566149	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566150	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566151	42.825529	-70.316008		ncbi
PRJNA521889_Gadus-morhua	SRR8566152	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566153	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566154	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566155	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566156	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566157	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566158	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566159	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566160	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566161	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566162	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566163	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566164	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566165	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566166	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566167	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566168	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566169	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566170	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566171	42.38191667	-70.5985		ncbi
PRJNA521889_Gadus-morhua	SRR8566172	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566173	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566174	42.5201667	-70.6916333		ncbi
PRJNA521889_Gadus-morhua	SRR8566175	42.5201667	-70.6916333		ncbi
