link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA523574_Eudyptes-chrysolophus	SRR8667807	-45.416667	50.4	96509	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667870	-49.7	69.766667	99473	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667836	-46.833333	37.8	33474	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667857	-61.216667	-55.35	87985	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667864	-61.216667	-55.35	87985	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667811	-46.833333	37.8	33474	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667861	-54.416667	3.366667	10673	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667834	-54	-38.033333	23166	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667815	-45.416667	50.4	96509	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667866	-61.216667	-55.35	87985	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667848	-54.416667	3.366667	10673	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667813	-49.7	69.766667	99473	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667839	-46.833333	37.8	33474	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667826	-46.833333	37.8	33474	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667814	-45.416667	50.4	96509	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667817	-45.416667	50.4	96509	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667860	-61.216667	-55.35	87985	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667852	-54.416667	3.366667	10673	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667846	-45.416667	50.4	96509	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667809	-45.416667	50.4	96509	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667808	-45.416667	50.4	96509	datathon
PRJNA523574_Eudyptes-chrysolophus	SRR8667871	-54	-38.033333	23166	datathon
