link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA533707_Larimichthys-polyactis	SRR8953026	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953094	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953087	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953029	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953030	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953031	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953041	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953055	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953064	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953068	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953053	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953073	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953057	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953074	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953066	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953035	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953065	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953054	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953056	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953090	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953043	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953080	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953036	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953092	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953037	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953098	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953021	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953091	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953070	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953069	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953027	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953076	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953062	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953093	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953025	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953032	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953034	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953060	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953082	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953039	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953100	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953077	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953078	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953083	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953089	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953028	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953044	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953071	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953045	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953048	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953051	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953033	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953058	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953067	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953023	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953085	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953097	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953042	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953038	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953061	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953046	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953088	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953024	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953072	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953049	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953047	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953075	32.99694	124.135	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953059	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953063	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953096	31.04167	126.275	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953099	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953079	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953022	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953052	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953095	35.01111	122.5589	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953050	29.99056	123.4472	100	datathon
PRJNA533707_Larimichthys-polyactis	SRR8953086	29.99056	123.4472	100	datathon
