link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA544154_Pygoscelis-adeliae	SRR9164189	-74.902156	163.731874		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164190	-74.901996	163.731828		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164191	-74.901805	163.719877		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164192	-74.903453	163.731852		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164193	-74.89987	163.733882		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164194	-74.898477	163.732546		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164195	-74.902026	163.731793		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164196	-74.900072	163.732898		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164197	-74.909946	163.714002		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164198	-74.90213	163.718866		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164199	-74.897399	163.728592		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164200	-74.897377	163.72874		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164201	-74.897369	163.728888		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164202	-74.897016	163.726166		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164203	-74.911073	163.725177		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164204	-74.911073	163.725177		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164205	-74.901626	163.725074		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164206	-74.899171	163.732351		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164207	-74.909946	163.714002		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164208	-74.899918	163.724753		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164209	-74.911073	163.725177		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164210	-74.901837	163.72043		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164211	-74.901483	163.721291		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164212	-74.901483	163.721291		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164213	-74.901881	163.723495		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164214	-74.911073	163.725177		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164215	-74.902368	163.718791		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164216	-74.902368	163.718791		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164217	-74.902368	163.718791		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164218	-74.902368	163.718791		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164219	-74.897386	163.725138		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164220	-74.901805	163.719877		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164221	-74.902309	163.718973		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164222	-74.902309	163.718973		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164223	-74.902052	163.725014		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164224	-74.897386	163.725138		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164225	-74.901805	163.719877		ncbi
PRJNA544154_Pygoscelis-adeliae	SRR9164226	-74.902309	163.718973		ncbi
