link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA549138_Sargassum-muticum	SRR9312125	42.317222	140.988056	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312077	34.308212	136.816809	4000	datathon
PRJNA549138_Sargassum-muticum	SRR9312158	34.4	132.45	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312237	33.877155	134.606439	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312241	33.877155	134.606439	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312269	34.4	132.45	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312163	34.4	132.45	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312123	42.317222	140.988056	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312207	42.317222	140.988056	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312074	34.308212	136.816809	4000	datathon
PRJNA549138_Sargassum-muticum	SRR9312073	34.4	132.45	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312157	34.4	132.45	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312238	33.877155	134.606439	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312199	34.308212	136.816809	4000	datathon
PRJNA549138_Sargassum-muticum	SRR9312078	34.308212	136.816809	4000	datathon
PRJNA549138_Sargassum-muticum	SRR9312137	34.083031	135.127682	4000	datathon
PRJNA549138_Sargassum-muticum	SRR9312126	42.317222	140.988056	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312162	34.4	132.45	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312259	33.877155	134.606439	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312260	33.877155	134.606439	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312218	42.317222	140.988056	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312124	42.317222	140.988056	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312204	34.308212	136.816809	4000	datathon
PRJNA549138_Sargassum-muticum	SRR9312183	42.317222	140.988056	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312197	34.308212	136.816809	4000	datathon
PRJNA549138_Sargassum-muticum	SRR9312202	34.308212	136.816809	4000	datathon
PRJNA549138_Sargassum-muticum	SRR9312206	42.317222	140.988056	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312200	34.308212	136.816809	4000	datathon
PRJNA549138_Sargassum-muticum	SRR9312159	34.4	132.45	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312239	33.877155	134.606439	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312121	42.317222	140.988056	3036	datathon
PRJNA549138_Sargassum-muticum	SRR9312201	34.308212	136.816809	4000	datathon
