link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA559677_Caretta-caretta	SRR9945324	30.613	-81.43		ncbi
PRJNA559677_Caretta-caretta	SRR9945325	30.537	-81.388		ncbi
PRJNA559677_Caretta-caretta	SRR9945326	29.958	-81.296		ncbi
PRJNA559677_Caretta-caretta	SRR9945327	30.085	-81.326		ncbi
PRJNA559677_Caretta-caretta	SRR9945328	30.837	-81.323		ncbi
PRJNA559677_Caretta-caretta	SRR9945329	24.927	-80.813		ncbi
PRJNA559677_Caretta-caretta	SRR9945330	24.921	-80.812		ncbi
PRJNA559677_Caretta-caretta	SRR9945331	24.921	-80.834		ncbi
PRJNA559677_Caretta-caretta	SRR9945332	24.911	-80.813		ncbi
PRJNA559677_Caretta-caretta	SRR9945333	24.909	-80.822		ncbi
PRJNA559677_Caretta-caretta	SRR9945334	24.921	-80.833		ncbi
PRJNA559677_Caretta-caretta	SRR9945335	24.917	-80.839		ncbi
PRJNA559677_Caretta-caretta	SRR9945336	24.929	-80.804		ncbi
PRJNA559677_Caretta-caretta	SRR9945337	24.91	-80.821		ncbi
PRJNA559677_Caretta-caretta	SRR9945338	24.924	-80.823		ncbi
PRJNA559677_Caretta-caretta	SRR9945339	30.644	-81.403		ncbi
PRJNA559677_Caretta-caretta	SRR9945340	30.763	-81.334		ncbi
PRJNA559677_Caretta-caretta	SRR9945341	32.677	-79.799		ncbi
PRJNA559677_Caretta-caretta	SRR9945342	32.598	-79.942		ncbi
PRJNA559677_Caretta-caretta	SRR9945343	31.76	-80.909		ncbi
PRJNA559677_Caretta-caretta	SRR9945344	32.677	-79.798		ncbi
PRJNA559677_Caretta-caretta	SRR9945345	31.26	-81.212		ncbi
PRJNA559677_Caretta-caretta	SRR9945346	31.726	-81.025		ncbi
PRJNA559677_Caretta-caretta	SRR9945347	31.232	-81.21		ncbi
PRJNA559677_Caretta-caretta	SRR9945348	31.232	-81.2095		ncbi
PRJNA559677_Caretta-caretta	SRR9945349	24.914	-80.826		ncbi
PRJNA559677_Caretta-caretta	SRR9945350	24.93	-80.815		ncbi
PRJNA559677_Caretta-caretta	SRR9945351	24.927	-80.809		ncbi
PRJNA559677_Caretta-caretta	SRR9945352	24.916	-80.819		ncbi
PRJNA559677_Caretta-caretta	SRR9945353	24.924	-80.822		ncbi
PRJNA559677_Caretta-caretta	SRR9945354	24.924	-80.819		ncbi
PRJNA559677_Caretta-caretta	SRR9945355	24.919	-80.814		ncbi
PRJNA559677_Caretta-caretta	SRR9945356	24.911	-80.841		ncbi
PRJNA559677_Caretta-caretta	SRR9945357	24.92	-80.814		ncbi
PRJNA559677_Caretta-caretta	SRR9945358	24.923	-80.812		ncbi
PRJNA559677_Caretta-caretta	SRR9945359	32.479	-80.242		ncbi
PRJNA559677_Caretta-caretta	SRR9945360	32.475	-80.209		ncbi
PRJNA559677_Caretta-caretta	SRR9945361	24.913	-80.831		ncbi
PRJNA559677_Caretta-caretta	SRR9945362	24.923	-80.84		ncbi
PRJNA559677_Caretta-caretta	SRR9945363	24.92	-80.817		ncbi
PRJNA559677_Caretta-caretta	SRR9945364	24.921	-80.843		ncbi
PRJNA559677_Caretta-caretta	SRR9945365	32.073	-80.7654		ncbi
PRJNA559677_Caretta-caretta	SRR9945366	32.265	-80.439		ncbi
PRJNA559677_Caretta-caretta	SRR9945367	24.902	-80.828		ncbi
PRJNA559677_Caretta-caretta	SRR9945368	32.024	-80.742		ncbi
