link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA559876_Pomacanthus-maculosus	SRR9953009	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953010	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953011	24.44	51.36		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953012	24.44	51.36		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953013	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953014	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953015	24.44	51.36		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953016	24.44	51.36		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953017	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953018	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953019	19.88	40.15		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953020	19.93	39.98		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953021	20.12	40.2		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953022	20.13	40.08		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953023	22.22	38.95		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953024	22.27	38.98		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953025	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953026	22.22	38.95		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953027	20.13	40.08		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953028	20.12	40.2		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953029	20.02	40.13		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953030	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953031	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953032	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953033	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953034	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953035	19.88	40.15		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953036	19.88	40.15		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953037	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953038	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953039	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953040	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953041	19.97	40.13		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953042	19.95	40.15		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953043	19.95	40.15		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953044	19.52	39.65		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953045	16.78	42.18		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953046	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953047	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953048	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953049	16.78	42.18		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953050	19.52	39.65		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953051	19.95	40.15		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953052	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953053	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953054	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953055	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953056	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953057	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953058	20.13	40.08		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953059	28.4	34.73		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953060	22.3	39.03		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953061	20.02	40.13		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953062	19.52	39.65		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953063	22.3	39.03		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953064	27.9	35.05		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953065	20.12	40.08		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953066	24.47	54.28		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953067	28.4	34.73		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953068	19.52	39.65		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953069	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953070	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953071	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953072	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953073	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953074	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953075	26.51	51.29		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953076	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953077	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953078	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953079	23.68	58.5		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953080	26.65	51.63		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953081	26.51	51.29		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953082	26.51	51.29		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953083	26.51	51.29		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953084	26.51	51.29		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953085	22.3	39.03		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953086	22.3	39.05		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953087	26.51	51.29		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953088	26.51	51.29		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953089	26.51	51.29		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953090	26.51	51.29		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953091	22.27	38.98		ncbi
PRJNA559876_Pomacanthus-maculosus	SRR9953092	22.27	38.98		ncbi
