link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA564121_Galaxias-maculatus	SRR10279434	-41.6381	-72.3194	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279401	-40.817	-72.4608	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279427	-41.6455	-72.2727	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279364	-39.87001	-73.352953	50000	datathon
PRJNA564121_Galaxias-maculatus	SRR10279463	-42.6712	-73.9029	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279278	-45.4999	-72.6755	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279425	-41.6455	-72.2727	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279345	-39.2467	-73.2199	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279455	-42.9345	-72.7233	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279383	-39.87001	-73.352953	50000	datathon
PRJNA564121_Galaxias-maculatus	SRR10279351	-39.2762	-72.2259	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279348	-39.2467	-73.2199	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279276	-45.4172	-72.7401	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279314	-36.8067	-73.1698	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279336	-39.2467	-73.2199	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279311	-36.8067	-73.1698	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279462	-42.6712	-73.9029	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279280	-45.4999	-72.6755	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279420	-41.6455	-72.2727	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279292	-51.4133	-73.0929	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279386	-39.87001	-73.352953	50000	datathon
PRJNA564121_Galaxias-maculatus	SRR10279414	-41.3792	-72.3123	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279424	-41.6455	-72.2727	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279360	-47.6717	-73.0181	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279445	-41.6381	-72.3194	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279306	-36.8067	-73.1698	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279284	-45.4999	-72.6755	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279449	-42.9345	-72.7233	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279475	-42.7169	-73.7503	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279431	-41.6455	-72.2727	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279458	-42.9345	-72.7233	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279387	-39.87001	-73.352953	50000	datathon
PRJNA564121_Galaxias-maculatus	SRR10279481	-44.7442	-72.7014	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279373	-39.87001	-73.352953	50000	datathon
PRJNA564121_Galaxias-maculatus	SRR10279357	-39.2762	-72.2259	500	datathon
PRJNA564121_Galaxias-maculatus	SRR10279392	-39.87001	-73.352953	50000	datathon
PRJNA564121_Galaxias-maculatus	SRR10279384	-39.87001	-73.352953	50000	datathon
