link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA564770_Mytilus-galloprovincialis	SRR10093713	43.95	28.633333	13972	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093854	40.25	17.9	76670	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093609	41.175403	29.61333	4129	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093807	42.428627	18.647082	8915	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093562	42.116667	15.5	25882	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093954	40.15	18.5	17599	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093935	44.55	38.066667	15352	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10094000	41.642279	41.633925	8100	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093981	41.642279	41.633925	8100	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093801	42.428627	18.647082	8915	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093992	41.642279	41.633925	8100	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093998	40.424934	19.324912	10437	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093612	41.175403	29.61333	4129	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093626	41.175403	29.61333	4129	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093684	43.361548	28.465816	2422	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093868	37.05	11	17692	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093957	40.15	18.5	17599	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093756	42.428627	18.647082	8915	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093695	43.95	28.633333	13972	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093681	43.361548	28.465816	2422	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093816	39.598278	19.852306	27364	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093853	40.25	17.9	76670	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093762	42.428627	18.647082	8915	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093908	40.15	18.5	17599	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093628	41.175403	29.61333	4129	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093558	42.116667	15.5	25882	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093576	42.116667	15.5	25882	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093613	41.175403	29.61333	4129	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093972	40.716667	17.8	34042	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093999	41.642279	41.633925	8100	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093811	42.428627	18.647082	8915	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093664	39.598278	19.852306	27364	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093781	44.911779	35.189378	8915	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093591	42.026829	35.162525	11009	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093744	44.564302	14.432083	29383	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093969	39.598278	19.852306	27364	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093732	44.564302	14.432083	29383	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093831	44.911779	35.189378	8915	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093653	42.300375	27.676893	34917	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093648	42.300375	27.676893	34917	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093813	42.428627	18.647082	8915	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093573	42.116667	15.5	25882	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093841	44.911779	35.189378	8915	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093583	42.026829	35.162525	11009	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093947	40.15	18.5	17599	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093823	42.482715	3.128384	25005	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093545	42.026829	35.162525	11009	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093915	40.15	18.5	17599	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093551	40.716667	17.8	34042	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093561	42.116667	15.5	25882	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10094002	41.642279	41.633925	8100	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093618	41.175403	29.61333	4129	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093630	40.424934	19.324912	10437	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093982	41.642279	41.633925	8100	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093768	45.540056	32.690044	33700	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093849	40.25	17.9	76670	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093902	40.15	18.5	17599	datathon
PRJNA564770_Mytilus-galloprovincialis	SRR10093874	37.05	11	17692	datathon
