link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA573759_Pyroteuthis-margaritifera	SRR10168272	28	-88.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168273	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168279	28	-88.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168281	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168286	29	-87.3		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168287	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168293	28	-87.46		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168296	28	-88.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168297	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168304	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168305	28	-87.46		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168309	29	-87.3		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168310	28	-88.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168314	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168316	29	-87.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168317	29	-87.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168321	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168326	28	-87		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168327	27.49	-86.49		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168328	28	-88.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168329	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168340	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168348	27.94	-87.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168349	27.45	-86.99		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168350	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168351	40	-67.5		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168358	27.99	-88		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168359	27.91	-86.95		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168360	28.55	-87.03		ncbi
PRJNA573759_Pyroteuthis-margaritifera	SRR10168361	40	-67.5		ncbi
