link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA576675_Eukrohnia-hamata	SRR10252214	79.64	9.77		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252215	79.64	9.77		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252216	63.69	-53.43		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252217	63.69	-53.43		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252218	63.69	-53.43		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252219	63.69	-53.43		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252220	76.22	-160.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252221	63.69	-53.43		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252222	63.69	-53.43		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252223	63.69	-53.43		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252224	60.83	-55.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252225	60.83	-55.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252226	60.83	-55.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252227	60.83	-55.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252228	60.83	-55.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252229	60.83	-55.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252230	63.08	-55.15		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252231	76.22	-160.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252232	63.08	-55.15		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252233	63.08	-55.15		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252234	63.08	-55.15		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252235	63.08	-55.15		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252236	63.08	-55.15		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252237	63.08	-55.15		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252238	63.08	-55.15		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252239	89.2	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252240	89.2	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252241	89.2	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252242	76.22	-160.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252243	88	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252244	87.3	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252245	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252246	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252247	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252248	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252249	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252250	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252251	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252252	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252253	77.07	-161.83		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252254	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252255	83.8	60		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252256	70.56	-142.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252257	70.56	-142.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252258	70.56	-142.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252259	70.56	-142.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252260	70.56	-142.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252261	70.56	-142.03		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252262	69.83	-138.37		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252263	69.83	-138.37		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252264	77.07	-161.83		ncbi
PRJNA576675_Eukrohnia-hamata	SRR10252265	69.83	-138.37		ncbi
