link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA593014_Acropora-millepora	SRR10571265	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571266	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571267	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571268	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571269	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571270	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571271	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571272	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571273	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571275	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571276	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571277	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571278	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571279	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571280	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571281	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571282	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571283	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571284	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571286	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571287	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571288	-18.81	146.43		ncbi
PRJNA593014_Acropora-millepora	SRR10571289	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571290	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571291	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571292	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571293	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571294	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571295	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571297	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571298	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571299	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571301	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571302	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571303	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571304	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571305	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571307	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571308	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571309	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571310	-17.93	146.14		ncbi
PRJNA593014_Acropora-millepora	SRR10571312	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571313	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571314	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571315	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571316	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571317	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571318	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571319	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571320	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571321	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571323	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571324	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571325	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571326	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571327	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571328	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571329	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571330	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571331	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571332	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571333	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571334	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571335	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571336	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571337	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571338	-17.74	146.16		ncbi
PRJNA593014_Acropora-millepora	SRR10571341	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571342	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571343	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571344	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571345	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571346	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571347	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571348	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571349	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571350	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571352	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571353	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571354	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571355	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571356	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571357	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571358	-18.63	147.05		ncbi
PRJNA593014_Acropora-millepora	SRR10571359	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571360	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571361	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571363	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571364	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571365	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571366	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571367	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571368	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571369	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571370	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571371	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571372	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571374	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571375	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571376	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571377	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571378	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571379	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571380	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571381	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571383	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571385	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571386	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571387	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571388	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571389	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571390	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571391	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571392	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571393	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571394	-17.2	146.36		ncbi
PRJNA593014_Acropora-millepora	SRR10571395	-16.69	146.04		ncbi
PRJNA593014_Acropora-millepora	SRR10571396	-16.69	146.04		ncbi
PRJNA593014_Acropora-millepora	SRR10571398	-16.69	146.04		ncbi
PRJNA593014_Acropora-millepora	SRR10571399	-16.69	146.04		ncbi
PRJNA593014_Acropora-millepora	SRR10571418	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571419	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571420	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571421	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571424	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571425	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571426	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571427	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571428	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571430	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571431	-18.84	146.53		ncbi
PRJNA593014_Acropora-millepora	SRR10571432	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571433	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571434	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571435	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571436	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571437	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571438	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571439	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571441	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571442	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571443	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571444	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571445	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571446	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571447	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571448	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571449	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571450	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571452	-16.92	145.99		ncbi
PRJNA593014_Acropora-millepora	SRR10571454	-17.52	146.37		ncbi
PRJNA593014_Acropora-millepora	SRR10571455	-17.52	146.37		ncbi
PRJNA593014_Acropora-millepora	SRR10571456	-17.52	146.37		ncbi
PRJNA593014_Acropora-millepora	SRR10571457	-17.52	146.37		ncbi
PRJNA593014_Acropora-millepora	SRR10571458	-17.52	146.37		ncbi
PRJNA593014_Acropora-millepora	SRR10571459	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571460	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571461	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571462	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571463	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571464	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571465	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571467	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571468	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571469	-17.85	146.55		ncbi
PRJNA593014_Acropora-millepora	SRR10571470	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571472	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571473	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571474	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571475	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571476	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571478	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571479	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571480	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571481	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571482	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571483	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571484	-17.22	146.09		ncbi
PRJNA593014_Acropora-millepora	SRR10571485	-17.22	146.09		ncbi
