link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA629489_Fucus-vesiculosus	SRR11697983	55.86	12.36		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697984	55.86	12.36		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697985	55.86	12.36		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697986	55.86	12.36		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697987	55.86	12.36		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697988	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697989	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697990	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697991	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697992	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697993	56.4	12.88		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697994	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697995	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697996	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697997	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697998	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11697999	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698000	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698001	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698002	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698003	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698004	56.4	12.88		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698005	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698006	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698007	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698008	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698009	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698010	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698011	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698012	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698013	56.15	12.71		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698014	55.68	13.55		ncbi
PRJNA629489_Fucus-vesiculosus	SRR11698015	56.4	12.88		ncbi
