link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA631144_Mallotus-villosus	SRR11730659	47.650694	-52.696313		ncbi
PRJNA631144_Mallotus-villosus	SRR11730660	47.650694	-52.696313		ncbi
PRJNA631144_Mallotus-villosus	SRR11730661	47.650694	-52.696313		ncbi
PRJNA631144_Mallotus-villosus	SRR11730662	47.650694	-52.696313		ncbi
PRJNA631144_Mallotus-villosus	SRR11730663	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730664	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730665	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730666	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730667	47.40355	-53.48096		ncbi
PRJNA631144_Mallotus-villosus	SRR11730668	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730669	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730670	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730671	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730672	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730673	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730674	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730675	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730676	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730677	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730678	47.40355	-53.48096		ncbi
PRJNA631144_Mallotus-villosus	SRR11730679	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730680	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730681	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730682	55.12708	-59.1085		ncbi
PRJNA631144_Mallotus-villosus	SRR11730683	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730684	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730685	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730686	47.40355	-53.48096		ncbi
PRJNA631144_Mallotus-villosus	SRR11730687	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730688	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730689	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730690	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730691	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730692	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730693	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730694	55.0862	-59.1764		ncbi
PRJNA631144_Mallotus-villosus	SRR11730695	55.0862	-59.1764		ncbi
