link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA646172_Bathyraja-aleutica	SRR12217752	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217753	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217754	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217755	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217756	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217757	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217758	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217759	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217760	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217761	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217763	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217764	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217765	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217766	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217767	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217768	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217769	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217922	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217923	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217924	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217925	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217926	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217927	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217928	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217929	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217930	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217933	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217934	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217935	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217936	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217961	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217962	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217963	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217964	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217965	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217966	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217968	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217969	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217970	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217971	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217972	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217973	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217974	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217975	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217976	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217977	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217979	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217980	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217981	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217982	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217983	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217984	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217985	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217986	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217987	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217988	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217990	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217991	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217992	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217993	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217994	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217995	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217996	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217997	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217998	59.4	-177.65		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12217999	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218001	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218002	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218003	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218004	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218005	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218006	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218007	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218008	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218033	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218034	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218036	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218037	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218038	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218039	54.8	-165.67		ncbi
PRJNA646172_Bathyraja-aleutica	SRR12218040	54.8	-165.67		ncbi
