link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJNA655996_Strombus-pugilis	SRR12415610	9.41638889	-82.31666667		ncbi
PRJNA655996_Strombus-pugilis	SRR12415611	9.41638889	-82.31666667		ncbi
PRJNA655996_Strombus-pugilis	SRR12415612	9.41638889	-82.31666667		ncbi
PRJNA655996_Strombus-pugilis	SRR12415613	9.41638889	-82.31666667		ncbi
PRJNA655996_Strombus-pugilis	SRR12415614	9.41638889	-82.31666667		ncbi
PRJNA655996_Strombus-pugilis	SRR12415615	9.36027778	-82.26944444		ncbi
PRJNA655996_Strombus-pugilis	SRR12415616	9.36027778	-82.26944444		ncbi
PRJNA655996_Strombus-pugilis	SRR12415617	9.14638889	-82.0525		ncbi
PRJNA655996_Strombus-pugilis	SRR12415618	9.14638889	-82.0525		ncbi
PRJNA655996_Strombus-pugilis	SRR12415619	9.14638889	-82.0525		ncbi
PRJNA655996_Strombus-pugilis	SRR12415620	9.36027778	-82.26944444		ncbi
PRJNA655996_Strombus-pugilis	SRR12415621	9.40361111	-82.32333333		ncbi
PRJNA655996_Strombus-pugilis	SRR12415622	9.40361111	-82.32333333		ncbi
PRJNA655996_Strombus-pugilis	SRR12415623	9.15888889	-82.05666667		ncbi
PRJNA655996_Strombus-pugilis	SRR12415624	9.15888889	-82.05666667		ncbi
PRJNA655996_Strombus-pugilis	SRR12415625	9.15888889	-82.05666667		ncbi
PRJNA655996_Strombus-pugilis	SRR12415626	9.14638889	-82.0525		ncbi
PRJNA655996_Strombus-pugilis	SRR12415627	9.14638889	-82.0525		ncbi
PRJNA655996_Strombus-pugilis	SRR12415628	9.14638889	-82.0525		ncbi
PRJNA655996_Strombus-pugilis	SRR12415629	9.40361111	-82.32333333		ncbi
PRJNA655996_Strombus-pugilis	SRR12415630	9.40361111	-82.32333333		ncbi
PRJNA655996_Strombus-pugilis	SRR12415631	9.36027778	-82.26944444		ncbi
PRJNA655996_Strombus-pugilis	SRR12415632	9.36027778	-82.26944444		ncbi
