"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-156.496275,20.633161,NA,NA,NA,NA,NA,NA,-156.496275,20.633161
"2","gbif10",-158.111591,21.594435,-158.128458786593,21.6032299947988,-158.129283200593,21.6413486476473,5.50802355207136,4.22155304687454,-158.129283200593,21.6413486476473
"3","gbif100",-157.696667,21.269196,NA,NA,NA,NA,NA,NA,-157.696667,21.269196
"4","gbif1000",145.586434,15.012196,NA,NA,NA,NA,NA,NA,145.586434,15.012196
"5","gbif1001",-170.678683,-14.302008,-170.679166135928,-14.297669993534,-170.664937951472,-14.2386068914413,7.16984517674654,6.71273382919891,-170.664937951472,-14.2386068914413
"6","gbif1002",-170.677034,-14.288204,-170.676059786256,-14.2973488143775,-170.664937951472,-14.2386068914413,5.64057290050867,6.6091401887433,-170.664937951472,-14.2386068914413
"7","gbif1003",-170.680555,-14.242896,NA,NA,NA,NA,NA,NA,-170.680555,-14.242896
"8","gbif1004",-170.835629,-14.32679,NA,NA,NA,NA,NA,NA,-170.835629,-14.32679
"9","gbif1005",-170.736828,-14.280145,-170.731616966105,-14.3030868520239,-170.731616966105,-14.2386068914413,4.6300896125277,7.13413139913053,-170.731616966105,-14.2386068914413
"10","gbif1006",-170.756607,-14.288679,-170.740932416679,-14.3052982586143,-170.798295980737,-14.3052982586143,4.85930492254914,6.18894774601822,-170.798295980737,-14.3052982586143
"11","gbif1007",-170.76815,-14.36449,-170.766947591152,-14.3631681299059,-170.731616966105,-14.3719896257873,4.02686028246364,3.93376674310357,-170.731616966105,-14.3719896257873
"12","gbif1008",-170.761593,-14.364081,NA,NA,NA,NA,NA,NA,-170.761593,-14.364081
"13","gbif1009",-170.677034,-14.288204,-170.676059786256,-14.2973488143775,-170.664937951472,-14.2386068914413,5.64057290050867,6.6091401887433,-170.664937951472,-14.2386068914413
"14","gbif101",-156.43787,20.613301,-156.440515905851,20.6099871865677,-156.462307834784,20.5742867728788,5.01465772439864,4.5588208660325,-156.462307834784,20.5742867728788
"15","gbif1010",-170.812136,-14.295922,NA,NA,NA,NA,NA,NA,-170.812136,-14.295922
