"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",11.034141,55.665222,"gbif1",11.034141,55.665222,NA,NA,NA,NA,NA,NA
"2",8.5012,57.0436,"gbif10",8.5012,57.0436,NA,NA,NA,NA,NA,NA
"3",-1.33681166705215,60.1298773968597,"gbif100",-1.288891,60.133265,-1.33681166705215,60.1298773968597,-1.33681166705215,60.1298773968597,2.68994481864764,0
"4",-66.75014,42.24884,"gbif1000",-66.75014,42.24884,NA,NA,NA,NA,NA,NA
"5",-66.75197,42.25296,"gbif1001",-66.75197,42.25296,NA,NA,NA,NA,NA,NA
"6",-68.84147,42.89172,"gbif1002",-68.84147,42.89172,NA,NA,NA,NA,NA,NA
"7",-69.00093,42.85942,"gbif1003",-69.00093,42.85942,NA,NA,NA,NA,NA,NA
"8",-68.99763,42.8716,"gbif1004",-68.99763,42.8716,NA,NA,NA,NA,NA,NA
"9",-69.01114,42.82271,"gbif1005",-69.01114,42.82271,NA,NA,NA,NA,NA,NA
"10",-68.81438,41.33044,"gbif1006",-68.81438,41.33044,NA,NA,NA,NA,NA,NA
"11",-69.44413,42.23469,"gbif1007",-69.44413,42.23469,NA,NA,NA,NA,NA,NA
"12",-64.04855,43.00186,"gbif1008",-64.04855,43.00186,NA,NA,NA,NA,NA,NA
"13",-64.32008,42.82877,"gbif1009",-64.32008,42.82877,NA,NA,NA,NA,NA,NA
"14",-1.33681166705215,60.1298773968597,"gbif101",-1.288891,60.133265,-1.33681166705215,60.1298773968597,-1.33681166705215,60.1298773968597,2.68994481864764,0
"15",-70.027833,42.584,"gbif1010",-70.027833,42.584,NA,NA,NA,NA,NA,NA
"16",-68.1667,43.44798,"gbif1011",-68.1667,43.44798,NA,NA,NA,NA,NA,NA
"17",-69.871256,41.816218,"gbif1012",-69.871256,41.816218,NA,NA,NA,NA,NA,NA
"18",-68.920998,41.425335,"gbif1013",-68.920998,41.425335,NA,NA,NA,NA,NA,NA
"19",-68.911667,41.429001,"gbif1014",-68.911667,41.429001,NA,NA,NA,NA,NA,NA
"20",-66.874835,40.704834,"gbif1015",-66.874835,40.704834,NA,NA,NA,NA,NA,NA
"21",-66.866001,40.704666,"gbif1016",-66.866001,40.704666,NA,NA,NA,NA,NA,NA
"22",-68.32309,41.78638,"gbif1017",-68.32309,41.78638,NA,NA,NA,NA,NA,NA
"23",-68.32981,41.79409,"gbif1018",-68.32981,41.79409,NA,NA,NA,NA,NA,NA
"24",-69.7558,41.84128,"gbif1019",-69.7558,41.84128,NA,NA,NA,NA,NA,NA
"25",-1.33681166705215,60.1298773968597,"gbif102",-1.288891,60.133265,-1.33681166705215,60.1298773968597,-1.33681166705215,60.1298773968597,2.68994481864764,0
"26",-70.359249,41.903418,"gbif1020",-70.359249,41.903418,NA,NA,NA,NA,NA,NA
"27",-70.357834,41.900333,"gbif1021",-70.357834,41.900333,NA,NA,NA,NA,NA,NA
"28",-70.356061,41.896242,"gbif1022",-70.356061,41.896242,NA,NA,NA,NA,NA,NA
"29",-70.358306,41.901361,"gbif1023",-70.358306,41.901361,NA,NA,NA,NA,NA,NA
"30",-67.155034,42.1226,"gbif1024",-67.155034,42.1226,NA,NA,NA,NA,NA,NA
"31",-67.466446,42.152388,"gbif1025",-67.466446,42.152388,NA,NA,NA,NA,NA,NA
"32",-67.467127,42.152374,"gbif1026",-67.467127,42.152374,NA,NA,NA,NA,NA,NA
"33",-69.1078,41.2834,"gbif1027",-69.1078,41.2834,NA,NA,NA,NA,NA,NA
"34",-69.106515,42.767502,"gbif1028",-69.106515,42.767502,NA,NA,NA,NA,NA,NA
"35",-71.130532,40.567379,"gbif1029",-71.130532,40.567379,NA,NA,NA,NA,NA,NA
"36",-1.33681166705215,60.1298773968597,"gbif103",-1.288891,60.133265,-1.33681166705215,60.1298773968597,-1.33681166705215,60.1298773968597,2.68994481864764,0
"37",-69.5905,41.584167,"gbif1030",-69.5905,41.584167,NA,NA,NA,NA,NA,NA
"38",-69.404446,42.813027,"gbif1031",-69.404446,42.813027,NA,NA,NA,NA,NA,NA
"39",-69.00067,41.33054,"gbif1032",-69.00067,41.33054,NA,NA,NA,NA,NA,NA
"40",-69.574669,43.256668,"gbif1033",-69.574669,43.256668,NA,NA,NA,NA,NA,NA
"41",-66.56315,42.34578,"gbif1034",-66.56315,42.34578,NA,NA,NA,NA,NA,NA
"42",-69.01785,42.0434,"gbif1035",-69.01785,42.0434,NA,NA,NA,NA,NA,NA
"43",-69.731048,43.018986,"gbif1036",-69.731048,43.018986,NA,NA,NA,NA,NA,NA
"44",-69.02807,42.04394,"gbif1037",-69.02807,42.04394,NA,NA,NA,NA,NA,NA
"45",-71.194168,40.372833,"gbif1038",-71.194168,40.372833,NA,NA,NA,NA,NA,NA
"46",-69.50868,42.7689,"gbif1039",-69.50868,42.7689,NA,NA,NA,NA,NA,NA
