"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-89.670333,22.367639,NA,NA,NA,NA,NA,NA,-89.670333,22.367639
"2","gbif10",-74.128361,11.325611,-74.137926965666,11.3594498584544,-74.137926965666,11.3594498584544,3.88604814449729,0,-74.137926965666,11.3594498584544
"3","gbif100",-81.733333,12.500417,NA,NA,NA,NA,NA,NA,-81.733333,12.500417
"4","gbif1000",-81.6659,24.4884,NA,NA,NA,NA,NA,NA,-81.6659,24.4884
"5","gbif1001",-80.9357,24.7176,NA,NA,NA,NA,NA,NA,-80.9357,24.7176
"6","gbif1002",-81.7677,24.5036,NA,NA,NA,NA,NA,NA,-81.7677,24.5036
"7","gbif1003",-81.5021,24.5603,NA,NA,NA,NA,NA,NA,-81.5021,24.5603
"8","gbif1004",-80.9669,24.6993,NA,NA,NA,NA,NA,NA,-80.9669,24.6993
"9","gbif1005",-80.4669,24.9992,NA,NA,NA,NA,NA,NA,-80.4669,24.9992
"10","gbif1006",-81.9195,24.7197,NA,NA,NA,NA,NA,NA,-81.9195,24.7197
"11","gbif1007",-80.4571,24.9562,NA,NA,NA,NA,NA,NA,-80.4571,24.9562
"12","gbif1008",-80.4513,24.9519,NA,NA,NA,NA,NA,NA,-80.4513,24.9519
"13","gbif1009",-80.3756,25.0072,NA,NA,NA,NA,NA,NA,-80.3756,25.0072
"14","gbif101",-81.414278,13.362367,-81.3836003751478,13.3694372246288,-81.4484163734025,13.3716191181919,3.83702037627478,7.02512012490814,-81.4484163734025,13.3716191181919
"15","gbif1010",-80.9357,24.7176,NA,NA,NA,NA,NA,NA,-80.9357,24.7176
"16","gbif1011",-81.6621,24.5209,NA,NA,NA,NA,NA,NA,-81.6621,24.5209
"17","gbif1012",-80.439,25.0219,NA,NA,NA,NA,NA,NA,-80.439,25.0219
"18","gbif1013",-80.7578,24.7527,NA,NA,NA,NA,NA,NA,-80.7578,24.7527
"19","gbif1014",-81.8056,24.4977,NA,NA,NA,NA,NA,NA,-81.8056,24.4977
"20","gbif1015",-81.1105,24.6231,NA,NA,NA,NA,NA,NA,-81.1105,24.6231
"21","gbif1016",-81.4128,24.5426,NA,NA,NA,NA,NA,NA,-81.4128,24.5426
"22","gbif1017",-81.0506,24.6715,NA,NA,NA,NA,NA,NA,-81.0506,24.6715
"23","gbif1018",-81.9195,24.7197,NA,NA,NA,NA,NA,NA,-81.9195,24.7197
"24","gbif1019",-81.8056,24.4977,NA,NA,NA,NA,NA,NA,-81.8056,24.4977
"25","gbif102",-75.746444,10.234194,NA,NA,NA,NA,NA,NA,-75.746444,10.234194
"26","gbif1020",-80.9357,24.7176,NA,NA,NA,NA,NA,NA,-80.9357,24.7176
"27","gbif1021",-81.7171,24.478,NA,NA,NA,NA,NA,NA,-81.7171,24.478
"28","gbif1022",-80.439,25.0219,NA,NA,NA,NA,NA,NA,-80.439,25.0219
"29","gbif1023",-81.7677,24.5036,NA,NA,NA,NA,NA,NA,-81.7677,24.5036
"30","gbif1024",-81.6621,24.5209,NA,NA,NA,NA,NA,NA,-81.6621,24.5209
"31","gbif1025",-80.7578,24.7527,NA,NA,NA,NA,NA,NA,-80.7578,24.7527
"32","gbif1026",-81.8568,24.4532,NA,NA,NA,NA,NA,NA,-81.8568,24.4532
"33","gbif1027",-80.4513,24.9519,NA,NA,NA,NA,NA,NA,-80.4513,24.9519
"34","gbif1028",-81.6659,24.4884,NA,NA,NA,NA,NA,NA,-81.6659,24.4884
"35","gbif1029",-80.9669,24.6993,NA,NA,NA,NA,NA,NA,-80.9669,24.6993
"36","gbif103",-75.746444,10.234194,NA,NA,NA,NA,NA,NA,-75.746444,10.234194
"37","gbif1030",-81.8056,24.4977,NA,NA,NA,NA,NA,NA,-81.8056,24.4977
"38","gbif1031",-81.4128,24.5426,NA,NA,NA,NA,NA,NA,-81.4128,24.5426
"39","gbif1032",-81.8056,24.4977,NA,NA,NA,NA,NA,NA,-81.8056,24.4977
"40","gbif1033",-81.0302,24.6895,NA,NA,NA,NA,NA,NA,-81.0302,24.6895
"41","gbif1034",-81.112,24.6223,NA,NA,NA,NA,NA,NA,-81.112,24.6223
"42","gbif1035",-81.0302,24.6895,NA,NA,NA,NA,NA,NA,-81.0302,24.6895
"43","gbif1036",-81.6621,24.5209,NA,NA,NA,NA,NA,NA,-81.6621,24.5209
"44","gbif1037",-81.6659,24.4884,NA,NA,NA,NA,NA,NA,-81.6659,24.4884
"45","gbif1038",-81.5826,24.5857,NA,NA,NA,NA,NA,NA,-81.5826,24.5857
"46","gbif1039",-80.6209,24.8452,NA,NA,NA,NA,NA,NA,-80.6209,24.8452
"47","gbif104",-75.788861,10.170889,NA,NA,NA,NA,NA,NA,-75.788861,10.170889
"48","gbif1040",-80.4669,24.9992,NA,NA,NA,NA,NA,NA,-80.4669,24.9992
"49","gbif1041",-80.9669,24.6993,NA,NA,NA,NA,NA,NA,-80.9669,24.6993
"50","gbif1042",-81.5021,24.5603,NA,NA,NA,NA,NA,NA,-81.5021,24.5603
"51","gbif1043",-80.2087,25.2227,NA,NA,NA,NA,NA,NA,-80.2087,25.2227
"52","gbif1044",-80.3743,25.0073,NA,NA,NA,NA,NA,NA,-80.3743,25.0073
"53","gbif1045",-80.2191,25.2947,NA,NA,NA,NA,NA,NA,-80.2191,25.2947
"54","gbif1046",-81.0506,24.6715,NA,NA,NA,NA,NA,NA,-81.0506,24.6715
"55","gbif1047",-80.4513,24.9519,NA,NA,NA,NA,NA,NA,-80.4513,24.9519
"56","gbif1048",-80.458,24.9553,NA,NA,NA,NA,NA,NA,-80.458,24.9553
"57","gbif1049",-80.6209,24.8452,NA,NA,NA,NA,NA,NA,-80.6209,24.8452
"58","gbif105",-75.788861,10.170889,NA,NA,NA,NA,NA,NA,-75.788861,10.170889
"59","gbif1050",-81.5866,24.5475,NA,NA,NA,NA,NA,NA,-81.5866,24.5475
"60","gbif1051",-80.3243,25.1032,NA,NA,NA,NA,NA,NA,-80.3243,25.1032
"61","gbif1052",-80.3743,25.0073,NA,NA,NA,NA,NA,NA,-80.3743,25.0073
"62","gbif1053",-81.112,24.6223,NA,NA,NA,NA,NA,NA,-81.112,24.6223
"63","gbif1054",-81.0302,24.6895,NA,NA,NA,NA,NA,NA,-81.0302,24.6895
"64","gbif1055",-80.7578,24.7527,NA,NA,NA,NA,NA,NA,-80.7578,24.7527
"65","gbif1056",-81.6621,24.5209,NA,NA,NA,NA,NA,NA,-81.6621,24.5209
"66","gbif1057",-80.439,25.0219,NA,NA,NA,NA,NA,NA,-80.439,25.0219
"67","gbif1058",-81.6659,24.4884,NA,NA,NA,NA,NA,NA,-81.6659,24.4884
"68","gbif1059",-81.9195,24.7197,NA,NA,NA,NA,NA,NA,-81.9195,24.7197
"69","gbif106",-81.733333,12.500417,NA,NA,NA,NA,NA,NA,-81.733333,12.500417
"70","gbif1060",-81.7677,24.5036,NA,NA,NA,NA,NA,NA,-81.7677,24.5036
"71","gbif1061",-80.2174,25.2953,NA,NA,NA,NA,NA,NA,-80.2174,25.2953
"72","gbif1062",-81.5021,24.5603,NA,NA,NA,NA,NA,NA,-81.5021,24.5603
"73","gbif1063",-81.0302,24.6895,NA,NA,NA,NA,NA,NA,-81.0302,24.6895
"74","gbif1064",-80.4513,24.9519,NA,NA,NA,NA,NA,NA,-80.4513,24.9519
"75","gbif1065",-81.0506,24.6715,NA,NA,NA,NA,NA,NA,-81.0506,24.6715
"76","gbif1066",-81.8798,24.4517,NA,NA,NA,NA,NA,NA,-81.8798,24.4517
"77","gbif1067",-80.439,25.0219,NA,NA,NA,NA,NA,NA,-80.439,25.0219
"78","gbif1068",-81.5866,24.5475,NA,NA,NA,NA,NA,NA,-81.5866,24.5475
"79","gbif1069",-81.4071,24.5452,NA,NA,NA,NA,NA,NA,-81.4071,24.5452
"80","gbif107",-75.746444,10.234194,NA,NA,NA,NA,NA,NA,-75.746444,10.234194
"81","gbif1070",-81.9195,24.7197,NA,NA,NA,NA,NA,NA,-81.9195,24.7197
"82","gbif1071",-81.5021,24.5603,NA,NA,NA,NA,NA,NA,-81.5021,24.5603
"83","gbif1072",-81.7677,24.5036,NA,NA,NA,NA,NA,NA,-81.7677,24.5036
"84","gbif1073",-80.4669,24.9992,NA,NA,NA,NA,NA,NA,-80.4669,24.9992
"85","gbif1074",-81.0506,24.6715,NA,NA,NA,NA,NA,NA,-81.0506,24.6715
"86","gbif1075",-81.8568,24.4532,NA,NA,NA,NA,NA,NA,-81.8568,24.4532
"87","gbif1076",-81.8568,24.4532,NA,NA,NA,NA,NA,NA,-81.8568,24.4532
"88","gbif1077",-80.3756,25.0072,NA,NA,NA,NA,NA,NA,-80.3756,25.0072
"89","gbif1078",-80.7812,24.745,NA,NA,NA,NA,NA,NA,-80.7812,24.745
"90","gbif1079",-80.9357,24.7176,NA,NA,NA,NA,NA,NA,-80.9357,24.7176
"91","gbif108",-75.746444,10.234194,NA,NA,NA,NA,NA,NA,-75.746444,10.234194
"92","gbif1080",-81.4079,24.5453,NA,NA,NA,NA,NA,NA,-81.4079,24.5453
"93","gbif1081",-81.5866,24.5475,NA,NA,NA,NA,NA,NA,-81.5866,24.5475
"94","gbif1082",-80.4669,24.9992,NA,NA,NA,NA,NA,NA,-80.4669,24.9992
"95","gbif1083",-80.9669,24.6993,NA,NA,NA,NA,NA,NA,-80.9669,24.6993
"96","gbif1084",-80.4669,24.9992,NA,NA,NA,NA,NA,NA,-80.4669,24.9992
"97","gbif1085",-81.1105,24.6231,NA,NA,NA,NA,NA,NA,-81.1105,24.6231
"98","gbif1086",-81.7677,24.5036,NA,NA,NA,NA,NA,NA,-81.7677,24.5036
"99","gbif1087",-81.6659,24.4884,NA,NA,NA,NA,NA,NA,-81.6659,24.4884
"100","gbif1088",-81.4153,24.5421,NA,NA,NA,NA,NA,NA,-81.4153,24.5421
"101","gbif1089",-81.5021,24.5603,NA,NA,NA,NA,NA,NA,-81.5021,24.5603
"102","gbif109",-77.356667,8.672167,NA,NA,NA,NA,NA,NA,-77.356667,8.672167
"103","gbif1090",-80.2099,25.2208,NA,NA,NA,NA,NA,NA,-80.2099,25.2208
"104","gbif1091",-80.9357,24.7176,NA,NA,NA,NA,NA,NA,-80.9357,24.7176
"105","gbif1092",-81.5866,24.5475,NA,NA,NA,NA,NA,NA,-81.5866,24.5475
"106","gbif1093",-80.6209,24.8452,NA,NA,NA,NA,NA,NA,-80.6209,24.8452
"107","gbif1094",-80.9669,24.6993,NA,NA,NA,NA,NA,NA,-80.9669,24.6993
