"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",118,-5,"gbif1",118,-5,NA,NA,NA,NA,NA,NA
"2",107.919985182441,3.96813634679512,"gbif10",107.97826,3.96072,107.9747708811,3.9677462399119,107.919985182441,3.96813634679512,6.52345521719507,6.08434758872965
"3",151.461381737359,-33.7791774731382,"gbif100",151.2254,-33.7937,151.403115062617,-33.8117531767063,151.461381737359,-33.7791774731382,21.9148066384456,6.49388073247853
"4",150.847379144286,-34.9129307150797,"gbif1000",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"5",113.7537,-23.1359,"gbif10000",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"6",113.7537,-23.1359,"gbif10001",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"7",113.7537,-23.1359,"gbif10002",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"8",113.7537,-23.1359,"gbif10003",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"9",113.7537,-23.1359,"gbif10004",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"10",113.7537,-23.1359,"gbif10005",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"11",113.7537,-23.1359,"gbif10006",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"12",113.7537,-23.1359,"gbif10007",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"13",113.7537,-23.1359,"gbif10008",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"14",113.7537,-23.1359,"gbif10009",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"15",150.847379144286,-34.9129307150797,"gbif1001",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"16",113.7537,-23.1359,"gbif10010",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"17",113.7537,-23.1359,"gbif10011",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"18",113.7537,-23.1359,"gbif10012",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"19",113.7537,-23.1359,"gbif10013",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"20",113.7537,-23.1359,"gbif10014",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"21",113.7537,-23.1359,"gbif10015",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"22",113.7537,-23.1359,"gbif10016",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"23",113.7537,-23.1359,"gbif10017",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"24",113.7537,-23.1359,"gbif10018",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"25",113.7537,-23.1359,"gbif10019",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"26",150.847379144286,-34.9129307150797,"gbif1002",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"27",113.7537,-23.1359,"gbif10020",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"28",113.7537,-23.1359,"gbif10021",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"29",113.7537,-23.1359,"gbif10022",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"30",113.7537,-23.1359,"gbif10023",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"31",113.7537,-23.1359,"gbif10024",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"32",113.7537,-23.1359,"gbif10025",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"33",113.7537,-23.1359,"gbif10026",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"34",113.7537,-23.1359,"gbif10027",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"35",113.7537,-23.1359,"gbif10028",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"36",113.7537,-23.1359,"gbif10029",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"37",150.847379144286,-34.9129307150797,"gbif1003",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"38",113.7537,-23.1359,"gbif10030",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"39",113.7537,-23.1359,"gbif10031",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"40",113.7537,-23.1359,"gbif10032",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"41",113.7537,-23.1359,"gbif10033",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"42",113.7537,-23.1359,"gbif10034",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"43",113.7537,-23.1359,"gbif10035",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"44",113.7537,-23.1359,"gbif10036",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"45",113.7537,-23.1359,"gbif10037",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"46",113.7537,-23.1359,"gbif10038",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"47",113.7537,-23.1359,"gbif10039",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"48",150.847379144286,-34.9129307150797,"gbif1004",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"49",113.7537,-23.1359,"gbif10040",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"50",113.7537,-23.1359,"gbif10041",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"51",113.7537,-23.1359,"gbif10042",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"52",113.7537,-23.1359,"gbif10043",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"53",113.7537,-23.1359,"gbif10044",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"54",113.7537,-23.1359,"gbif10045",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"55",113.7537,-23.1359,"gbif10046",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"56",113.7537,-23.1359,"gbif10047",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"57",113.7537,-23.1359,"gbif10048",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"58",113.7537,-23.1359,"gbif10049",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"59",150.847379144286,-34.9129307150797,"gbif1005",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"60",113.7537,-23.1359,"gbif10050",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"61",113.7537,-23.1359,"gbif10051",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"62",113.7537,-23.1359,"gbif10052",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"63",113.7537,-23.1359,"gbif10053",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"64",113.7537,-23.1359,"gbif10054",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"65",113.7537,-23.1359,"gbif10055",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"66",113.7537,-23.1359,"gbif10056",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"67",113.7537,-23.1359,"gbif10057",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"68",113.7537,-23.1359,"gbif10058",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"69",113.7537,-23.1359,"gbif10059",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"70",150.847379144286,-34.9129307150797,"gbif1006",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"71",113.7537,-23.1359,"gbif10060",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"72",113.7537,-23.1359,"gbif10061",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"73",113.7537,-23.1359,"gbif10062",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"74",113.7537,-23.1359,"gbif10063",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"75",113.7537,-23.1359,"gbif10064",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"76",113.7537,-23.1359,"gbif10065",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"77",113.7537,-23.1359,"gbif10066",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"78",113.7537,-23.1359,"gbif10067",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"79",113.7537,-23.1359,"gbif10068",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"80",113.7697,-23.1286,"gbif10069",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"81",150.847379144286,-34.9129307150797,"gbif1007",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"82",113.7697,-23.1286,"gbif10070",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"83",113.7537,-23.1359,"gbif10071",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"84",113.7537,-23.1359,"gbif10072",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"85",113.7697,-23.1286,"gbif10073",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"86",113.7537,-23.1359,"gbif10074",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"87",113.7537,-23.1359,"gbif10075",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"88",113.7537,-23.1359,"gbif10076",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"89",113.7537,-23.1359,"gbif10077",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"90",113.7537,-23.1359,"gbif10078",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"91",113.7537,-23.1359,"gbif10079",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"92",150.847379144286,-34.9129307150797,"gbif1008",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"93",113.7537,-23.1359,"gbif10080",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"94",113.7697,-23.1286,"gbif10081",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"95",113.7697,-23.1286,"gbif10082",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"96",113.7537,-23.1359,"gbif10083",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"97",113.7537,-23.1359,"gbif10084",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"98",113.7537,-23.1359,"gbif10085",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"99",113.7537,-23.1359,"gbif10086",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"100",113.7537,-23.1359,"gbif10087",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"101",113.7537,-23.1359,"gbif10088",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"102",113.7697,-23.1286,"gbif10089",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"103",150.847379144286,-34.9129307150797,"gbif1009",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"104",113.7697,-23.1286,"gbif10090",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"105",113.7537,-23.1359,"gbif10091",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"106",113.7697,-23.1286,"gbif10092",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"107",113.7697,-23.1286,"gbif10093",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"108",113.7697,-23.1286,"gbif10094",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"109",113.7697,-23.1286,"gbif10095",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"110",113.7697,-23.1286,"gbif10096",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"111",113.7697,-23.1286,"gbif10097",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"112",113.7537,-23.1359,"gbif10098",113.7537,-23.1359,NA,NA,NA,NA,NA,NA
"113",113.7697,-23.1286,"gbif10099",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"114",151.461381737359,-33.8458688403112,"gbif101",151.2351,-33.8118,151.400664025633,-33.828654427608,151.461381737359,-33.8458688403112,21.2849560950785,5.93557068630515
"115",150.847379144286,-34.9129307150797,"gbif1010",150.7132,-34.8901,150.847379144286,-34.9129307150797,150.847379144286,-34.9129307150797,12.5224446845366,0
"116",113.7697,-23.1286,"gbif10100",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"117",113.7697,-23.1286,"gbif10101",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"118",113.7697,-23.1286,"gbif10102",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"119",113.7697,-23.1286,"gbif10103",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"120",113.7697,-23.1286,"gbif10104",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
"121",113.7697,-23.1286,"gbif10105",113.7697,-23.1286,NA,NA,NA,NA,NA,NA
