"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-118.045632,33.696153,-118.043614012024,33.6980711336927,-118.055195406557,33.6457947387922,5.65557101165775,5.89698476521069,-118.055195406557,33.6457947387922
"2","gbif10",-111.214372,25.707904,-111.209145816949,25.7111066485459,-111.187256899426,25.7095220452019,2.72726003652626,2.20381892742819,-111.187256899426,25.7095220452019
"3","gbif100",15.637149,38.268665,15.6546530297989,38.2783990012812,15.6362289312836,38.314190440904,5.05410000097442,4.28741729338632,15.6362289312836,38.314190440904
"4","gbif101",-157.861294,21.288542,-157.858791715981,21.2948346798778,-157.862567142063,21.2412004446091,5.24333663026165,5.95131349471083,-157.862567142063,21.2412004446091
"5","gbif102",-80.505027,25.032243,NA,NA,NA,NA,NA,NA,-80.505027,25.032243
"6","gbif103",-81.308938,29.917971,-81.3099852067831,29.9176035940145,-81.2483793295055,29.9110781771026,5.89778658564921,5.99303518332429,-81.2483793295055,29.9110781771026
"7","gbif104",138.542109,-34.804501,138.55821411712,-34.8016503919471,138.458973884053,-34.7795479807336,8.09634291252732,9.40763156997865,138.458973884053,-34.7795479807336
"8","gbif105",138.542109,-34.804501,138.55821411712,-34.8016503919471,138.458973884053,-34.7795479807336,8.09634291252732,9.40763156997865,138.458973884053,-34.7795479807336
"9","gbif106",-117.23815,32.764587,-117.25701973073,32.7653545790322,-117.321726245601,32.7788069655428,7.98774082176563,6.24339438475841,-117.321726245601,32.7788069655428
"10","gbif107",-157.791,21.4324,NA,NA,NA,NA,NA,NA,-157.791,21.4324
"11","gbif108",-157.791,21.4324,NA,NA,NA,NA,NA,NA,-157.791,21.4324
"12","gbif109",14.405416,40.67587,14.4297233032048,40.6585830029864,14.3693276532692,40.64838829196,4.3158534862337,5.23186707746396,14.3693276532692,40.64838829196
"13","gbif11",-111.064891,25.515984,-111.04127093534,25.5268221918578,-111.053898870161,25.5761393108559,6.75502040980567,5.60886259689337,-111.053898870161,25.5761393108559
"14","gbif110",12.270763,37.933627,NA,NA,NA,NA,NA,NA,12.270763,37.933627
"15","gbif111",138.536085,-34.807514,138.558701737869,-34.8034797795839,138.458973884053,-34.7795479807336,7.70882900214988,9.50530141862024,138.458973884053,-34.7795479807336
"16","gbif112",-109.330072,-27.069556,NA,NA,NA,NA,NA,NA,-109.330072,-27.069556
"17","gbif113",-119.261423,34.24652,-119.282618115629,34.2360922236979,-119.322096684571,34.2460170433494,5.58937657124759,3.79986409598893,-119.322096684571,34.2460170433494
"18","gbif114",-89.681828,22.382303,NA,NA,NA,NA,NA,NA,-89.681828,22.382303
"19","gbif115",-96.127428,19.222197,NA,NA,NA,NA,NA,NA,-96.127428,19.222197
"20","gbif116",-90.27725,21.438,NA,NA,NA,NA,NA,NA,-90.27725,21.438
"21","gbif117",-90.27725,21.438,NA,NA,NA,NA,NA,NA,-90.27725,21.438
"22","gbif118",-90.27725,21.438,NA,NA,NA,NA,NA,NA,-90.27725,21.438
"23","gbif119",-86.790903,21.473708,NA,NA,NA,NA,NA,NA,-86.790903,21.473708
"24","gbif12",-119.850083,34.407766,NA,NA,NA,NA,NA,NA,-119.850083,34.407766
"25","gbif120",-90.27725,21.438,NA,NA,NA,NA,NA,NA,-90.27725,21.438
"26","gbif121",-89.663917,22.374833,NA,NA,NA,NA,NA,NA,-89.663917,22.374833
"27","gbif122",-86.783583,21.437167,NA,NA,NA,NA,NA,NA,-86.783583,21.437167
"28","gbif123",-86.783583,21.437167,NA,NA,NA,NA,NA,NA,-86.783583,21.437167
"29","gbif124",-86.783583,21.437167,NA,NA,NA,NA,NA,NA,-86.783583,21.437167
"30","gbif125",-86.783583,21.437167,NA,NA,NA,NA,NA,NA,-86.783583,21.437167
"31","gbif126",-89.682806,22.380083,NA,NA,NA,NA,NA,NA,-89.682806,22.380083
"32","gbif127",-90.294889,21.441333,NA,NA,NA,NA,NA,NA,-90.294889,21.441333
"33","gbif128",-96.089361,19.144694,-96.0965990623727,19.143564053695,-96.0511205778848,19.1737680622453,5.151539563518,5.83646497929178,-96.0511205778848,19.1737680622453
"34","gbif129",138.541588,-34.810438,138.559705078575,-34.8072437114025,138.458973884053,-34.7795479807336,8.30082236565368,9.71715058668195,138.458973884053,-34.7795479807336
"35","gbif13",-111.064871,25.516026,-111.041285529181,25.5268483626714,-111.053898870161,25.5761393108559,6.7501016343573,5.60570675235973,-111.053898870161,25.5761393108559
"36","gbif130",-157.79078,21.43243,NA,NA,NA,NA,NA,NA,-157.79078,21.43243
"37","gbif131",-109.423478,23.445212,-109.445498672857,23.442015561319,-109.386923504353,23.442015561319,3.75203976002157,5.98554592347908,-109.386923504353,23.442015561319
"38","gbif132",-84.510484,29.913579,-84.5024469314074,29.8893736748018,-84.5156510464901,29.8443868099296,7.68624129096052,5.14741036713083,-84.5156510464901,29.8443868099296
"39","gbif133",-84.385471,30.026151,-84.3364121916505,30.0129034836412,-84.3156140025931,30.0444609114487,7.03692949710064,4.03266193262538,-84.3156140025931,30.0444609114487
"40","gbif134",-80.591505,24.960896,NA,NA,NA,NA,NA,NA,-80.591505,24.960896
"41","gbif135",-113.735939,26.80312,NA,NA,NA,NA,NA,NA,-113.735939,26.80312
"42","gbif136",-80.354573,25.169869,NA,NA,NA,NA,NA,NA,-80.354573,25.169869
"43","gbif137",-90.957328,-0.962238,-90.9449950962442,-1.00008635057116,-90.9168364511947,-1.03371619118191,9.09820690734798,4.86314169314503,-90.9168364511947,-1.03371619118191
"44","gbif138",134.375442,7.161851,134.37551520016,7.16891631273174,134.324874976848,7.16932197110042,5.64619771997408,5.59364447270383,134.324874976848,7.16932197110042
