"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-57.315667,-63.668,NA,NA,NA,NA,NA,NA,-57.315667,-63.668
"2","gbif10",72.57861,-66.78778,NA,NA,NA,NA,NA,NA,72.57861,-66.78778
"3","gbif100",171.11116,-71.547501,NA,NA,NA,NA,NA,NA,171.11116,-71.547501
"4","gbif1000",-64.12,-64.785,NA,NA,NA,NA,NA,NA,-64.12,-64.785
"5","gbif1001",-64.1216,-64.7883,NA,NA,NA,NA,NA,NA,-64.1216,-64.7883
"6","gbif1002",-64.1216,-64.0366,NA,NA,NA,NA,NA,NA,-64.1216,-64.0366
"7","gbif1003",-70.2,-67.26,NA,NA,NA,NA,NA,NA,-70.2,-67.26
"8","gbif1004",-64.1833,-65.2266,NA,NA,NA,NA,NA,NA,-64.1833,-65.2266
"9","gbif1005",-64.15,-64.7666,NA,NA,NA,NA,NA,NA,-64.15,-64.7666
"10","gbif1006",-64.02,-65.0616,NA,NA,NA,NA,NA,NA,-64.02,-65.0616
"11","gbif1007",-64.12,-64.7916,NA,NA,NA,NA,NA,NA,-64.12,-64.7916
"12","gbif1008",-64.1177,-64.795,NA,NA,NA,NA,NA,NA,-64.1177,-64.795
"13","gbif1009",-59.0233,-62.3166,NA,NA,NA,NA,NA,NA,-59.0233,-62.3166
"14","gbif101",176.248,-76.202,NA,NA,NA,NA,NA,NA,176.248,-76.202
"15","gbif1010",-64.1233,-64.7883,NA,NA,NA,NA,NA,NA,-64.1233,-64.7883
"16","gbif1011",-64.115,-64.79,NA,NA,NA,NA,NA,NA,-64.115,-64.79
"17","gbif1012",-62.98,-64.3266,NA,NA,NA,NA,NA,NA,-62.98,-64.3266
"18","gbif1013",-58.3916,-62.0816,-58.3862080939361,-62.0773445730393,-58.3774773106131,-62.1230085216747,4.67344076794673,5.1095216505872,-58.3774773106131,-62.1230085216747
"19","gbif1014",-61.0283,-62.7183,NA,NA,NA,NA,NA,NA,-61.0283,-62.7183
"20","gbif1015",-60.605,-62.9916,NA,NA,NA,NA,NA,NA,-60.605,-62.9916
"21","gbif1016",-64.1233,-64.7883,NA,NA,NA,NA,NA,NA,-64.1233,-64.7883
"22","gbif1017",-59.1966,-62.3216,NA,NA,NA,NA,NA,NA,-59.1966,-62.3216
"23","gbif1018",-58.5666,-62.2783,NA,NA,NA,NA,NA,NA,-58.5666,-62.2783
"24","gbif1019",-64.175,-64.79,NA,NA,NA,NA,NA,NA,-64.175,-64.79
"25","gbif102",175.4885,-72.317167,NA,NA,NA,NA,NA,NA,175.4885,-72.317167
"26","gbif1020",-62.25,-63.425,NA,NA,NA,NA,NA,NA,-62.25,-63.425
"27","gbif1021",-63.9716,-64.3316,NA,NA,NA,NA,NA,NA,-63.9716,-64.3316
"28","gbif1022",-63.7833,-64.825,NA,NA,NA,NA,NA,NA,-63.7833,-64.825
"29","gbif1023",-173.0083,-78.3383,NA,NA,NA,NA,NA,NA,-173.0083,-78.3383
"30","gbif1024",-164.5633,-78.485,NA,NA,NA,NA,NA,NA,-164.5633,-78.485
"31","gbif1025",-170.2033,-76.1166,NA,NA,NA,NA,NA,NA,-170.2033,-76.1166
"32","gbif1026",-179.95,-76.035,NA,NA,NA,NA,NA,NA,-179.95,-76.035
"33","gbif1027",179.8316,-76.025,NA,NA,NA,NA,NA,NA,179.8316,-76.025
