"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-65.705126,43.560257,-65.7795980432552,43.5252985045335,-65.7795980432552,43.5252985045335,7.16320406555911,0,-65.7795980432552,43.5252985045335
"2","gbif10",-73.5392,40.361,NA,NA,NA,NA,NA,NA,-73.5392,40.361
"3","gbif100",-77.2239,34.1246,NA,NA,NA,NA,NA,NA,-77.2239,34.1246
"4","gbif1000",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"5","gbif1001",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"6","gbif1002",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"7","gbif1003",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"8","gbif1004",-71.8113,40.6248,NA,NA,NA,NA,NA,NA,-71.8113,40.6248
"9","gbif1005",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"10","gbif1006",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"11","gbif1007",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"12","gbif1008",-71.8113,40.6248,NA,NA,NA,NA,NA,NA,-71.8113,40.6248
"13","gbif1009",-71.8113,40.6248,NA,NA,NA,NA,NA,NA,-71.8113,40.6248
"14","gbif101",-77.4826,33.4812,NA,NA,NA,NA,NA,NA,-77.4826,33.4812
"15","gbif1010",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"16","gbif1011",-71.8112,40.6248,NA,NA,NA,NA,NA,NA,-71.8112,40.6248
"17","gbif1012",-71.8113,40.6248,NA,NA,NA,NA,NA,NA,-71.8113,40.6248
"18","gbif1013",-71.8112,40.6248,NA,NA,NA,NA,NA,NA,-71.8112,40.6248
"19","gbif1014",-71.8112,40.6248,NA,NA,NA,NA,NA,NA,-71.8112,40.6248
"20","gbif1015",-71.8112,40.6247,NA,NA,NA,NA,NA,NA,-71.8112,40.6247
"21","gbif1016",-71.8113,40.6248,NA,NA,NA,NA,NA,NA,-71.8113,40.6248
"22","gbif1017",-71.8113,40.6248,NA,NA,NA,NA,NA,NA,-71.8113,40.6248
"23","gbif1018",-71.8113,40.6248,NA,NA,NA,NA,NA,NA,-71.8113,40.6248
"24","gbif1019",-71.8113,40.6248,NA,NA,NA,NA,NA,NA,-71.8113,40.6248
"25","gbif102",-77.7823,33.9679,NA,NA,NA,NA,NA,NA,-77.7823,33.9679
"26","gbif1020",-71.8112,40.6247,NA,NA,NA,NA,NA,NA,-71.8112,40.6247
"27","gbif1021",-71.8112,40.6247,NA,NA,NA,NA,NA,NA,-71.8112,40.6247
"28","gbif1022",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"29","gbif1023",-71.8112,40.6247,NA,NA,NA,NA,NA,NA,-71.8112,40.6247
"30","gbif1024",-71.8113,40.6247,NA,NA,NA,NA,NA,NA,-71.8113,40.6247
"31","gbif1025",-71.8244,40.6688,NA,NA,NA,NA,NA,NA,-71.8244,40.6688
"32","gbif1026",-71.8243,40.6688,NA,NA,NA,NA,NA,NA,-71.8243,40.6688
"33","gbif1027",-71.8244,40.6688,NA,NA,NA,NA,NA,NA,-71.8244,40.6688
"34","gbif1028",-71.8243,40.6688,NA,NA,NA,NA,NA,NA,-71.8243,40.6688
"35","gbif1029",-71.8244,40.6688,NA,NA,NA,NA,NA,NA,-71.8244,40.6688
