"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-123.789590664938,39.0477954798073,"gbif1",-123.68933,39.021888,-123.731204414784,39.0214649868497,-123.789590664938,39.0477954798073,9.14501191118028,5.83959764508568
"2",-123.256158547879,49.1848832901075,"gbif10",-122.93348,49.292513,-123.196498376892,49.1848832901075,-123.256158547879,49.1848832901075,26.3710176773783,4.34925086176895
"3",-122.845616,38.010203,"gbif100",-122.845616,38.010203,NA,NA,NA,NA,NA,NA
"4",-122.435469337508,37.2432202979192,"gbif1000",-122.419256,37.247164,-122.435469337508,37.2432202979192,-122.435469337508,37.2432202979192,1.50363877834717,0
"5",-120.889205,35.275576,"gbif10000",-120.889205,35.275576,NA,NA,NA,NA,NA,NA
"6",-119.289709734607,34.2460170433494,"gbif10001",-119.279093,34.266828,-119.289709734607,34.2460170433494,-119.289709734607,34.2460170433494,2.50707882242501,0
"7",-119.289709734607,34.2460170433494,"gbif10002",-119.279093,34.266793,-119.289709734607,34.2460170433494,-119.289709734607,34.2460170433494,2.50350438070662,0
"8",-119.289709734607,34.2460170433494,"gbif10003",-119.279082,34.266851,-119.289709734607,34.2460170433494,-119.289709734607,34.2460170433494,2.50982321625793,0
"9",-121.916621,36.617737,"gbif10004",-121.916621,36.617737,NA,NA,NA,NA,NA,NA
"10",-122.589368401556,37.5138940348277,"gbif10005",-122.516892,37.520895,-122.528079889523,37.5165066965308,-122.589368401556,37.5138940348277,6.45421248843342,5.42611738969315
"11",-122.517225,47.306972,"gbif10006",-122.517225,47.306972,NA,NA,NA,NA,NA,NA
"12",-122.51774,47.307342,"gbif10007",-122.51774,47.307342,NA,NA,NA,NA,NA,NA
"13",-122.517723,47.307136,"gbif10008",-122.517723,47.307136,NA,NA,NA,NA,NA,NA
"14",-122.516806,47.306866,"gbif10009",-122.516806,47.306866,NA,NA,NA,NA,NA,NA
"15",-124.056306723467,45.4501667284179,"gbif1001",-123.974945,45.46485,-123.998876130992,45.4659980016818,-124.056306723467,45.4501667284179,6.56975602010447,4.8242939964452
"16",-122.516425,47.306673,"gbif10010",-122.516425,47.306673,NA,NA,NA,NA,NA,NA
"17",-122.51708,47.30709,"gbif10011",-122.51708,47.30709,NA,NA,NA,NA,NA,NA
"18",-122.516972,47.307033,"gbif10012",-122.516972,47.307033,NA,NA,NA,NA,NA,NA
"19",-122.51708,47.30709,"gbif10013",-122.51708,47.30709,NA,NA,NA,NA,NA,NA
"20",-124.206405,41.747467,"gbif10014",-124.206405,41.747467,NA,NA,NA,NA,NA,NA
"21",-124.206192,41.747703,"gbif10015",-124.206192,41.747703,NA,NA,NA,NA,NA,NA
"22",-122.522689386924,37.4472026676547,"gbif10016",-122.499541,37.492957,-122.507645294136,37.4890811203069,-122.522689386924,37.4472026676547,5.4754687980981,4.83475259934776
"23",-122.522689386924,37.4472026676547,"gbif10017",-122.49942,37.492798,-122.507525354841,37.488921226292,-122.522689386924,37.4472026676547,5.46313101838277,4.82063646924087
"24",-122.522689386924,37.4472026676547,"gbif10018",-122.499425,37.492772,-122.507512235585,37.4889037366414,-122.522689386924,37.4472026676547,5.46029153036718,4.8190952812975
"25",-122.522689386924,37.4472026676547,"gbif10019",-122.499505,37.493014,-122.507667495614,37.4891107175541,-122.522689386924,37.4472026676547,5.48252674920443,4.83737074644517
"26",-124.056306723467,45.4501667284179,"gbif1002",-123.975075,45.464742,-123.99888718523,45.4658842394499,-124.056306723467,45.4501667284179,6.55693713915505,4.81889537134258
"27",-122.980463,38.011159,"gbif10020",-122.980463,38.011159,NA,NA,NA,NA,NA,NA
"28",-122.980342,38.010992,"gbif10021",-122.980342,38.010992,NA,NA,NA,NA,NA,NA
"29",-122.522689386924,37.4472026676547,"gbif10022",-122.499418,37.492789,-122.50751983618,37.4889138692104,-122.522689386924,37.4472026676547,5.46227247849981,4.81998809398384
"30",-122.522689386924,37.4472026676547,"gbif10023",-122.499489,37.492828,-122.507560080437,37.4889675199178,-122.522689386924,37.4472026676547,5.46391968713096,4.8247186039728
"31",-122.522689386924,37.4472026676547,"gbif10024",-122.499544,37.492809,-122.507563944769,37.4889726715589,-122.522689386924,37.4472026676547,5.46013922493758,4.82517311721379
