"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",152.408325,-23.902773,NA,NA,NA,NA,NA,NA,152.408325,-23.902773
"2","gbif10",55.22368,-21.07384,NA,NA,NA,NA,NA,NA,55.22368,-21.07384
"3","gbif100",-153.976,-16.798,NA,NA,NA,NA,NA,NA,-153.976,-16.798
"4","gbif1000",-170.748345,-14.360495,NA,NA,NA,NA,NA,NA,-170.748345,-14.360495
"5","gbif1001",-170.748345,-14.360495,NA,NA,NA,NA,NA,NA,-170.748345,-14.360495
"6","gbif1002",-170.571816,-14.245998,NA,NA,NA,NA,NA,NA,-170.571816,-14.245998
"7","gbif1003",-170.766967,-14.363233,-170.766951203219,-14.3631649205654,-170.731616966105,-14.3719896257873,3.93402054052765,3.934232292545,-170.731616966105,-14.3719896257873
"8","gbif1004",-170.766967,-14.363233,-170.766951203219,-14.3631649205654,-170.731616966105,-14.3719896257873,3.93402054052765,3.934232292545,-170.731616966105,-14.3719896257873
"9","gbif1005",-170.76575,-14.362417,-170.766709160312,-14.3633799766216,-170.731616966105,-14.3719896257873,3.83091248843442,3.90307071912873,-170.731616966105,-14.3719896257873
"10","gbif1006",-170.589514,-14.28007,-170.59825893684,-14.3034211837104,-170.59825893684,-14.2386068914413,4.68356937436154,7.17112231365157,-170.59825893684,-14.2386068914413
"11","gbif1007",-170.696121,-14.320272,-170.696988779367,-14.3131865057583,-170.664937951472,-14.3719896257873,6.63755148656408,7.36764770372843,-170.664937951472,-14.3719896257873
"12","gbif1008",-170.6675,-14.32205,-170.668975557739,-14.3099839204991,-170.664937951472,-14.3719896257873,5.53231595144276,6.87422925114704,-170.664937951472,-14.3719896257873
"13","gbif1009",-170.734483,-14.35965,NA,NA,NA,NA,NA,NA,-170.734483,-14.35965
"14","gbif101",-149.552,-23.3561,NA,NA,NA,NA,NA,NA,-149.552,-23.3561
"15","gbif1010",-170.78882,-14.34288,-170.789233753197,-14.3433639543188,-170.798295980737,-14.3052982586143,4.28191880182812,4.32362395131502,-170.798295980737,-14.3052982586143
"16","gbif1011",-170.76336,-14.36594,-170.763591223737,-14.3661502160999,-170.731616966105,-14.3719896257873,3.48859711131735,3.50871811055847,-170.731616966105,-14.3719896257873
"17","gbif1012",-170.561897,-14.264089,NA,NA,NA,NA,NA,NA,-170.561897,-14.264089
"18","gbif1013",-170.619841,-14.300458,-170.619909826737,-14.3010780679715,-170.59825893684,-14.2386068914413,7.22867443495836,7.29602899578873,-170.59825893684,-14.2386068914413
"19","gbif1014",-170.762434,-14.364486,NA,NA,NA,NA,NA,NA,-170.762434,-14.364486
"20","gbif1015",-170.762434,-14.364486,NA,NA,NA,NA,NA,NA,-170.762434,-14.364486
"21","gbif1016",-170.762434,-14.364486,NA,NA,NA,NA,NA,NA,-170.762434,-14.364486
"22","gbif1017",-170.762434,-14.364486,NA,NA,NA,NA,NA,NA,-170.762434,-14.364486
"23","gbif1018",-170.762434,-14.364486,NA,NA,NA,NA,NA,NA,-170.762434,-14.364486
"24","gbif1019",-170.671223,-14.245234,NA,NA,NA,NA,NA,NA,-170.671223,-14.245234
"25","gbif102",-149.87,-17.4833,NA,NA,NA,NA,NA,NA,-149.87,-17.4833
"26","gbif1020",-170.6419,-14.288125,-170.643078558449,-14.2985684503154,-170.664937951472,-14.2386068914413,6.01636213936542,7.04105286816526,-170.664937951472,-14.2386068914413
"27","gbif1021",-170.762888,-14.363846,NA,NA,NA,NA,NA,NA,-170.762888,-14.363846
"28","gbif1022",-170.762888,-14.363846,NA,NA,NA,NA,NA,NA,-170.762888,-14.363846
"29","gbif1023",-170.762888,-14.363846,NA,NA,NA,NA,NA,NA,-170.762888,-14.363846
"30","gbif1024",-170.561897,-14.264089,NA,NA,NA,NA,NA,NA,-170.561897,-14.264089
"31","gbif1025",-170.657336,-14.293852,-170.657690442185,-14.296984514092,-170.664937951472,-14.2386068914413,6.16717283816218,6.50613321115636,-170.664937951472,-14.2386068914413
"32","gbif1026",-170.78882,-14.34288,-170.789233753197,-14.3433639543188,-170.798295980737,-14.3052982586143,4.28191880182812,4.32362395131502,-170.798295980737,-14.3052982586143
