"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",115.330564370859,-31.1097257057161,"gbif1",115.370552,-31.101643,115.330564370859,-31.1097257057161,115.330564370859,-31.1097257057161,3.91861470321825,0
"2",-15.7695869605482,27.7769544275658,"gbif10",-15.724452,27.790288,-15.7298901335836,27.7833113463449,-15.7695869605482,27.7769544275658,4.68736802355183,3.975462484111
"3",-45.3667,-27.7478,"gbif100",-45.3667,-27.7478,NA,NA,NA,NA,NA,NA
"4",10.73241,-3.67775,"gbif101",10.73241,-3.67775,NA,NA,NA,NA,NA,NA
"5",-50.3194,-33.6328,"gbif102",-50.3194,-33.6328,NA,NA,NA,NA,NA,NA
"6",-112.286167,25.218483,"gbif103",-112.286167,25.218483,NA,NA,NA,NA,NA,NA
"7",-46.7825,-28.6514,"gbif104",-46.7825,-28.6514,NA,NA,NA,NA,NA,NA
"8",-112.397717,25.17745,"gbif105",-112.397717,25.17745,NA,NA,NA,NA,NA,NA
"9",-47.0303,-28.5067,"gbif106",-47.0303,-28.5067,NA,NA,NA,NA,NA,NA
"10",-140.231667,27.92,"gbif107",-140.231667,27.92,NA,NA,NA,NA,NA,NA
"11",-81.574333,-6.407933,"gbif108",-81.574333,-6.407933,NA,NA,NA,NA,NA,NA
"12",-112.2316,25.3164,"gbif109",-112.2316,25.3164,NA,NA,NA,NA,NA,NA
"13",174.598999814781,-35.5131530196369,"gbif11",174.50635,-35.562903,174.552028762995,-35.5455935085452,174.598999814781,-35.5131530196369,10.0530231427204,5.57703807981988
"14",-112.2631,25.333233,"gbif110",-112.2631,25.333233,NA,NA,NA,NA,NA,NA
"15",-73.88935,-18.0656,"gbif111",-73.88935,-18.0656,NA,NA,NA,NA,NA,NA
"16",-112.26185,25.165933,"gbif112",-112.26185,25.165933,NA,NA,NA,NA,NA,NA
"17",-79.6044,-9.31755,"gbif113",-79.6044,-9.31755,NA,NA,NA,NA,NA,NA
"18",-50.43,-33.4,"gbif114",-50.43,-33.4,NA,NA,NA,NA,NA,NA
"19",-67.889444,18.08667,"gbif115",-67.889444,18.08667,NA,NA,NA,NA,NA,NA
"20",-73.11645,-18.322067,"gbif116",-73.11645,-18.322067,NA,NA,NA,NA,NA,NA
"21",-79.633367,-9.4396,"gbif117",-79.633367,-9.4396,NA,NA,NA,NA,NA,NA
"22",-112.107880465423,25.2755643836043,"gbif118",-112,25.294817,-112.107880465423,25.2755643836043,-112.107880465423,25.2755643836043,11.0726099455911,0
"23",-73.215383,-18.2821,"gbif119",-73.215383,-18.2821,NA,NA,NA,NA,NA,NA
"24",175.399147990369,-36.3134494257132,"gbif12",175.435861,-36.259446,175.399147990369,-36.2689885142645,175.399147990369,-36.3134494257132,6.84016226268291,4.9336180465084
"25",-73.598717,-18.318683,"gbif120",-73.598717,-18.318683,NA,NA,NA,NA,NA,NA
"26",-79.75,-12.55,"gbif121",-79.75,-12.55,NA,NA,NA,NA,NA,NA
"27",-79.84785,-9.692,"gbif122",-79.84785,-9.692,NA,NA,NA,NA,NA,NA
"28",-112.392533,25.195717,"gbif123",-112.392533,25.195717,NA,NA,NA,NA,NA,NA
"29",-79.333333,-13,"gbif124",-79.333333,-13,NA,NA,NA,NA,NA,NA
"30",-73.965533,-18.012433,"gbif125",-73.965533,-18.012433,NA,NA,NA,NA,NA,NA
"31",-77.133333,-15.8,"gbif126",-77.133333,-15.8,NA,NA,NA,NA,NA,NA
"32",-112.274483,25.295467,"gbif127",-112.274483,25.295467,NA,NA,NA,NA,NA,NA
"33",30.9416825674818,-30.1645883307035,"gbif128",30.859652,-30.125626,30.9416825674818,-30.1645883307035,30.9416825674818,-30.1645883307035,9.00649389882255,0
"34",-112.254217,25.282883,"gbif129",-112.254217,25.282883,NA,NA,NA,NA,NA,NA
"35",168.214484163734,-46.4505372360133,"gbif13",168.231821,-46.438249,168.214484163734,-46.4505372360133,168.214484163734,-46.4505372360133,1.90802604122655,0
"36",-73.063517,-18.33935,"gbif130",-73.063517,-18.33935,NA,NA,NA,NA,NA,NA
"37",-73.2331,-18.3021,"gbif131",-73.2331,-18.3021,NA,NA,NA,NA,NA,NA
"38",-73.1058,-18.285383,"gbif132",-73.1058,-18.285383,NA,NA,NA,NA,NA,NA
"39",-140.221667,27.926667,"gbif133",-140.221667,27.926667,NA,NA,NA,NA,NA,NA
"40",-140.058333,28.021667,"gbif134",-140.058333,28.021667,NA,NA,NA,NA,NA,NA
"41",-85.713,10.569,"gbif135",-85.713,10.569,NA,NA,NA,NA,NA,NA
"42",-46.6678,-28.245,"gbif136",-46.6678,-28.245,NA,NA,NA,NA,NA,NA
"43",-112.283383,25.308083,"gbif137",-112.283383,25.308083,NA,NA,NA,NA,NA,NA
"44",-47.1833,-27.7367,"gbif138",-47.1833,-27.7367,NA,NA,NA,NA,NA,NA
"45",-112.234767,25.289017,"gbif139",-112.234767,25.289017,NA,NA,NA,NA,NA,NA
"46",6.131002,36.8875,"gbif14",6.131002,36.8875,NA,NA,NA,NA,NA,NA
"47",-112.3089,25.329317,"gbif140",-112.3089,25.329317,NA,NA,NA,NA,NA,NA
"48",31.239118355251,-29.7776954427566,"gbif141",31.113281,-29.731328,31.1827512935878,-29.7621763602259,31.239118355251,-29.7776954427566,13.2120613169398,5.71614615955139
"49",-112.25055,25.32485,"gbif142",-112.25055,25.32485,NA,NA,NA,NA,NA,NA
"50",-46.4697,-28.7792,"gbif143",-46.4697,-28.7792,NA,NA,NA,NA,NA,NA
"51",-85.713,10.569,"gbif144",-85.713,10.569,NA,NA,NA,NA,NA,NA
"52",-46.6028,-28.6961,"gbif145",-46.6028,-28.6961,NA,NA,NA,NA,NA,NA
"53",-112.266767,25.292717,"gbif146",-112.266767,25.292717,NA,NA,NA,NA,NA,NA
"54",-155.475,22.56833,"gbif147",-155.475,22.56833,NA,NA,NA,NA,NA,NA
"55",134.191516947583,33.245646535754,"gbif148",134.1935,33.2799,134.193833891598,33.2799094738396,134.191516947583,33.245646535754,3.8035375859494,3.80622478889571
"56",-112.452217,25.183017,"gbif149",-112.452217,25.183017,NA,NA,NA,NA,NA,NA
"57",138.458973884053,-35.0463134494257,"gbif15",138.516667,-35.033333,138.570653104181,-35.023694275918,138.458973884053,-35.0463134494257,5.45756548856329,10.4950632936904
"58",20.608512,38.788291,"gbif150",20.608512,38.788291,NA,NA,NA,NA,NA,NA
"59",-50.2858,-33.6008,"gbif151",-50.2858,-33.6008,NA,NA,NA,NA,NA,NA
"60",-79.833333,-12.533333,"gbif152",-79.833333,-12.533333,NA,NA,NA,NA,NA,NA
"61",20.9705501018707,37.7139681363468,"gbif153",20.892692,37.736435,20.9180508621794,37.6976745646267,20.9705501018707,37.7139681363468,7.3028336832852,4.97017918515593
"62",-112.403183,25.2001,"gbif154",-112.403183,25.2001,NA,NA,NA,NA,NA,NA
"63",-67.889444,18.08667,"gbif155",-67.889444,18.08667,NA,NA,NA,NA,NA,NA
"64",-112.384483,25.2307,"gbif156",-112.384483,25.2307,NA,NA,NA,NA,NA,NA
"65",-80.242342,27.347569,"gbif157",-80.242342,27.347569,NA,NA,NA,NA,NA,NA
"66",-148.241667,27.915,"gbif158",-148.241667,27.915,NA,NA,NA,NA,NA,NA
"67",-73.952017,-18.02705,"gbif159",-73.952017,-18.02705,NA,NA,NA,NA,NA,NA
"68",-123.987169,46.188329,"gbif16",-123.987169,46.188329,NA,NA,NA,NA,NA,NA
"69",-112,24.5833,"gbif160",-112,24.5833,NA,NA,NA,NA,NA,NA
"70",-112.397383,25.262983,"gbif161",-112.397383,25.262983,NA,NA,NA,NA,NA,NA
"71",-112.257733,25.308733,"gbif162",-112.257733,25.308733,NA,NA,NA,NA,NA,NA
"72",-79.811483,-7.953217,"gbif163",-79.811483,-7.953217,NA,NA,NA,NA,NA,NA
"73",-140.206667,27.951667,"gbif164",-140.206667,27.951667,NA,NA,NA,NA,NA,NA
"74",-50.3547,-33.9058,"gbif165",-50.3547,-33.9058,NA,NA,NA,NA,NA,NA
"75",-73.921933,-18.04855,"gbif166",-73.921933,-18.04855,NA,NA,NA,NA,NA,NA
"76",-156,22,"gbif167",-156,22,NA,NA,NA,NA,NA,NA
"77",-112.324867,25.304083,"gbif168",-112.324867,25.304083,NA,NA,NA,NA,NA,NA
