"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",139.222987,35.015673,NA,NA,NA,NA,NA,NA,139.222987,35.015673
"2","gbif10",123.8417,24.8583,NA,NA,NA,NA,NA,NA,123.8417,24.8583
"3","gbif100",126.97,27.55,NA,NA,NA,NA,NA,NA,126.97,27.55
"4","gbif1000",127.0813,27.2717,NA,NA,NA,NA,NA,NA,127.0813,27.2717
"5","gbif1001",139.2245,35.0028,139.191891968438,34.9974978609268,139.192443045008,35.0463134494257,5.64473969766542,5.41592261062183,139.192443045008,35.0463134494257
"6","gbif1002",126.9698,27.5503,NA,NA,NA,NA,NA,NA,126.9698,27.5503
"7","gbif1003",126.8975,27.7905,NA,NA,NA,NA,NA,NA,126.8975,27.7905
"8","gbif1004",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"9","gbif1005",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"10","gbif1006",139.2222,35.0158,NA,NA,NA,NA,NA,NA,139.2222,35.0158
"11","gbif1007",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"12","gbif1008",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"13","gbif1009",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"14","gbif101",122.7,24.85,NA,NA,NA,NA,NA,NA,122.7,24.85
"15","gbif1010",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"16","gbif1011",139.2222,35.0158,NA,NA,NA,NA,NA,NA,139.2222,35.0158
"17","gbif1012",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"18","gbif1013",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"19","gbif1014",139.222,35.0159,NA,NA,NA,NA,NA,NA,139.222,35.0159
"20","gbif1015",139.222,35.0159,NA,NA,NA,NA,NA,NA,139.222,35.0159
"21","gbif1016",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"22","gbif1017",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"23","gbif1018",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"24","gbif1019",139.2222,35.0158,NA,NA,NA,NA,NA,NA,139.2222,35.0158
"25","gbif102",126.97,27.55,NA,NA,NA,NA,NA,NA,126.97,27.55
"26","gbif1020",139.223,35.0157,NA,NA,NA,NA,NA,NA,139.223,35.0157
"27","gbif1021",139.2231,35.0156,NA,NA,NA,NA,NA,NA,139.2231,35.0156
