"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-68.226068,12.343343,NA,NA,NA,NA,NA,NA,-68.226068,12.343343
"2","gbif10",-86.911829,20.87667,-86.9029794044566,20.8744659147545,-86.849416558622,20.907743608744,7.34871635421881,6.68073816856252,-86.849416558622,20.907743608744
"3","gbif100",-75.866139,9.705528,NA,NA,NA,NA,NA,NA,-75.866139,9.705528
"4","gbif1000",-80.090538,26.162451,NA,NA,NA,NA,NA,NA,-80.090538,26.162451
"5","gbif1001",-74.480003,24.16,NA,NA,NA,NA,NA,NA,-74.480003,24.16
"6","gbif1002",-82.809517,24.66868,NA,NA,NA,NA,NA,NA,-82.809517,24.66868
"7","gbif1003",-82.974403,12.29837,NA,NA,NA,NA,NA,NA,-82.974403,12.29837
"8","gbif1004",-77.691002,24.630671,NA,NA,NA,NA,NA,NA,-77.691002,24.630671
"9","gbif1005",-77.419022,23.778219,NA,NA,NA,NA,NA,NA,-77.419022,23.778219
"10","gbif1006",-66.689034,11.882234,NA,NA,NA,NA,NA,NA,-66.689034,11.882234
"11","gbif1007",-63.259499,17.628166,-63.2496480113307,17.6374923950747,-63.3117243934062,17.6398666172657,5.69150236743121,6.59269793607697,-63.3117243934062,17.6398666172657
"12","gbif1008",-82.809517,24.66868,NA,NA,NA,NA,NA,NA,-82.809517,24.66868
"13","gbif1009",-65.248367,18.3311,NA,NA,NA,NA,NA,NA,-65.248367,18.3311
"14","gbif101",-75.866139,9.705528,NA,NA,NA,NA,NA,NA,-75.866139,9.705528
"15","gbif1010",-65.264786,18.338383,-65.2898684941656,18.3067802889959,-65.245415817744,18.3067802889959,4.05315173588614,4.69955400013281,-65.245415817744,18.3067802889959
"16","gbif1011",-87.415215,18.41535,NA,NA,NA,NA,NA,NA,-87.415215,18.41535
"17","gbif1012",-87.609749,17.218334,NA,NA,NA,NA,NA,NA,-87.609749,17.218334
"18","gbif1013",-80.090538,26.162451,NA,NA,NA,NA,NA,NA,-80.090538,26.162451
"19","gbif1014",-83.034401,12.18392,NA,NA,NA,NA,NA,NA,-83.034401,12.18392
"20","gbif1015",-81.13575,19.357666,NA,NA,NA,NA,NA,NA,-81.13575,19.357666
"21","gbif1016",-65.264786,18.338383,-65.2898684941656,18.3067802889959,-65.245415817744,18.3067802889959,4.05315173588614,4.69955400013281,-65.245415817744,18.3067802889959
"22","gbif1017",-77.698067,24.439501,NA,NA,NA,NA,NA,NA,-77.698067,24.439501
"23","gbif1018",-64.691498,17.768633,NA,NA,NA,NA,NA,NA,-64.691498,17.768633
"24","gbif1019",-88.139999,16.76,NA,NA,NA,NA,NA,NA,-88.139999,16.76
"25","gbif102",-75.866139,9.705528,NA,NA,NA,NA,NA,NA,-75.866139,9.705528
"26","gbif1020",-82.905563,24.688881,NA,NA,NA,NA,NA,NA,-82.905563,24.688881
"27","gbif1021",-82.905563,24.688881,NA,NA,NA,NA,NA,NA,-82.905563,24.688881
"28","gbif1022",-72.183502,21.818001,NA,NA,NA,NA,NA,NA,-72.183502,21.818001
"29","gbif1023",-74.540001,24.030001,NA,NA,NA,NA,NA,NA,-74.540001,24.030001
"30","gbif1024",-66.74382,11.930083,NA,NA,NA,NA,NA,NA,-66.74382,11.930083
"31","gbif1025",-78.590469,9.47465,NA,NA,NA,NA,NA,NA,-78.590469,9.47465
"32","gbif1026",-66.705765,11.766367,NA,NA,NA,NA,NA,NA,-66.705765,11.766367
"33","gbif1027",-66.884186,11.800233,NA,NA,NA,NA,NA,NA,-66.884186,11.800233
"34","gbif1028",-77.691002,24.630671,NA,NA,NA,NA,NA,NA,-77.691002,24.630671
"35","gbif1029",-65.248367,18.3311,NA,NA,NA,NA,NA,NA,-65.248367,18.3311
"36","gbif103",-75.866139,9.705528,NA,NA,NA,NA,NA,NA,-75.866139,9.705528
"37","gbif1030",-77.693176,24.6259,NA,NA,NA,NA,NA,NA,-77.693176,24.6259
"38","gbif1031",-65.264786,18.338383,-65.2898684941656,18.3067802889959,-65.245415817744,18.3067802889959,4.05315173588614,4.69955400013281,-65.245415817744,18.3067802889959
"39","gbif1032",-77.698067,24.439501,NA,NA,NA,NA,NA,NA,-77.698067,24.439501
"40","gbif1033",-80.090538,26.162451,NA,NA,NA,NA,NA,NA,-80.090538,26.162451
"41","gbif1034",-77.629173,24.253151,NA,NA,NA,NA,NA,NA,-77.629173,24.253151
"42","gbif1035",-80.413597,25.013283,NA,NA,NA,NA,NA,NA,-80.413597,25.013283
"43","gbif1036",-77.426369,23.79092,NA,NA,NA,NA,NA,NA,-77.426369,23.79092
"44","gbif1037",-77.693176,24.6259,NA,NA,NA,NA,NA,NA,-77.693176,24.6259
