"","x","y","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km"
"1",-59.921452,-62.588379,"gbif1",-59.921452,-62.588379,NA,NA,NA,NA,NA,NA
"2",-63.996356,-65.075896,"gbif10",-63.996356,-65.075896,NA,NA,NA,NA,NA,NA
"3",-60.561714,-62.98323,"gbif100",-60.561714,-62.98323,NA,NA,NA,NA,NA,NA
"4",-61.5378,-62.17,"gbif1000",-61.5378,-62.17,NA,NA,NA,NA,NA,NA
"5",-56.655,-61.7869,"gbif1001",-56.655,-61.7869,NA,NA,NA,NA,NA,NA
"6",-56.7,-61.8119,"gbif1002",-56.7,-61.8119,NA,NA,NA,NA,NA,NA
"7",-56.745,-61.8369,"gbif1003",-56.745,-61.8369,NA,NA,NA,NA,NA,NA
"8",-62.9483,-60.9975,"gbif1004",-62.9483,-60.9975,NA,NA,NA,NA,NA,NA
"9",-54.9621,-61.3869,"gbif1005",-54.9621,-61.3869,NA,NA,NA,NA,NA,NA
"10",-55.2772,-61.5496,"gbif1006",-55.2772,-61.5496,NA,NA,NA,NA,NA,NA
"11",-58.2612,-61.2779,"gbif1007",-58.2612,-61.2779,NA,NA,NA,NA,NA,NA
"12",-58.2005,-61.366,"gbif1008",-58.2005,-61.366,NA,NA,NA,NA,NA,NA
"13",-55.425,-60.0719,"gbif1009",-55.425,-60.0719,NA,NA,NA,NA,NA,NA
"14",-58.6675,-62.23814,"gbif101",-58.6675,-62.23814,NA,NA,NA,NA,NA,NA
"15",-55.0869,-60.8975,"gbif1010",-55.0869,-60.8975,NA,NA,NA,NA,NA,NA
"16",-55.1875,-60.9492,"gbif1011",-55.1875,-60.9492,NA,NA,NA,NA,NA,NA
"17",-55,-60.8639,"gbif1012",-55,-60.8639,NA,NA,NA,NA,NA,NA
"18",-54.8083,-60.7667,"gbif1013",-54.8083,-60.7667,NA,NA,NA,NA,NA,NA
"19",-54.6119,-60.6733,"gbif1014",-54.6119,-60.6733,NA,NA,NA,NA,NA,NA
"20",-58.0923,-61.8168,"gbif1015",-58.0923,-61.8168,NA,NA,NA,NA,NA,NA
"21",-59.5489,-61.9992,"gbif1016",-59.5489,-61.9992,NA,NA,NA,NA,NA,NA
"22",-58.6798,-61.6532,"gbif1017",-58.6798,-61.6532,NA,NA,NA,NA,NA,NA
"23",-59.8056,-61.9556,"gbif1018",-59.8056,-61.9556,NA,NA,NA,NA,NA,NA
"24",-60.665,-62.1094,"gbif1019",-60.665,-62.1094,NA,NA,NA,NA,NA,NA
"25",-62.878613,-64.854164,"gbif102",-62.878613,-64.854164,NA,NA,NA,NA,NA,NA
"26",-59.981,-62.077,"gbif1020",-59.981,-62.077,NA,NA,NA,NA,NA,NA
"27",-59.8866,-62.0085,"gbif1021",-59.8866,-62.0085,NA,NA,NA,NA,NA,NA
"28",-60.3583,-62.0756,"gbif1022",-60.3583,-62.0756,NA,NA,NA,NA,NA,NA
"29",-60.2136,-62.1186,"gbif1023",-60.2136,-62.1186,NA,NA,NA,NA,NA,NA
"30",-60.0778,-62.1444,"gbif1024",-60.0778,-62.1444,NA,NA,NA,NA,NA,NA
"31",-60.5036,-62.0583,"gbif1025",-60.5036,-62.0583,NA,NA,NA,NA,NA,NA
"32",-60.9703,-62.2133,"gbif1026",-60.9703,-62.2133,NA,NA,NA,NA,NA,NA
"33",-60.8117,-62.1594,"gbif1027",-60.8117,-62.1594,NA,NA,NA,NA,NA,NA
"34",-46.5,-59.55,"gbif1028",-46.5,-59.55,NA,NA,NA,NA,NA,NA
"35",-55.9961,-62.3475,"gbif1029",-55.9961,-62.3475,NA,NA,NA,NA,NA,NA
"36",-56.167267,-61.636707,"gbif103",-56.167267,-61.636707,NA,NA,NA,NA,NA,NA
"37",-63.1023,-64.1123,"gbif1030",-63.1023,-64.1123,NA,NA,NA,NA,NA,NA
"38",-55.9967,-62.275,"gbif1031",-55.9967,-62.275,NA,NA,NA,NA,NA,NA
"39",-63.1872,-64.0012,"gbif1032",-63.1872,-64.0012,NA,NA,NA,NA,NA,NA
"40",-43.1833,-60.3333,"gbif1033",-43.1833,-60.3333,NA,NA,NA,NA,NA,NA
"41",-43.1833,-60.4167,"gbif1034",-43.1833,-60.4167,NA,NA,NA,NA,NA,NA
"42",-63.3492,-63.7924,"gbif1035",-63.3492,-63.7924,NA,NA,NA,NA,NA,NA
"43",-63.4034,-63.7242,"gbif1036",-63.4034,-63.7242,NA,NA,NA,NA,NA,NA
"44",-63.3856,-63.7462,"gbif1037",-63.3856,-63.7462,NA,NA,NA,NA,NA,NA
"45",-43.1667,-59.8333,"gbif1038",-43.1667,-59.8333,NA,NA,NA,NA,NA,NA
"46",-43.2,-60.0333,"gbif1039",-43.2,-60.0333,NA,NA,NA,NA,NA,NA
"47",-62.857224,-64.82389,"gbif104",-62.857224,-64.82389,NA,NA,NA,NA,NA,NA
"48",-43.2167,-58.8333,"gbif1040",-43.2167,-58.8333,NA,NA,NA,NA,NA,NA
"49",-56.0197,-62.0439,"gbif1041",-56.0197,-62.0439,NA,NA,NA,NA,NA,NA
"50",-36.4400814965734,-54.2722375808704,"gbif1042",-36.509921,-54.281538,-36.4400814965734,-54.2722375808704,-36.4400814965734,-54.2722375808704,4.66561910125546,0
"51",-59.901303,-62.596261,"gbif1043",-59.901303,-62.596261,NA,NA,NA,NA,NA,NA
"52",-56.597689,-61.646325,"gbif1044",-56.597689,-61.646325,NA,NA,NA,NA,NA,NA
"53",-57.918218,-62.097157,"gbif1045",-57.918218,-62.097157,NA,NA,NA,NA,NA,NA
"54",-59.901413,-62.595202,"gbif1046",-59.901413,-62.595202,NA,NA,NA,NA,NA,NA
"55",-35.77329135025,-54.7869581326417,"gbif1047",-35.800862,-54.781838,-35.7856056543349,-54.7762746798602,-35.77329135025,-54.7869581326417,1.86312665810297,1.42904175795864
"56",-57.872504,-62.185118,"gbif1048",-57.872504,-62.185118,NA,NA,NA,NA,NA,NA
"57",-61.197727,-65.227315,"gbif1049",-61.197727,-65.227315,NA,NA,NA,NA,NA,NA
"58",-56.8438599740693,-63.5235272323083,"gbif105",-56.905,-63.52222,-56.8701648067568,-63.5105207623593,-56.8438599740693,-63.5235272323083,3.04606342685556,1.95353177957711
"59",-60.6445638081126,-62.923304927751,"gbif1050",-60.596787,-62.936748,-60.5893654323362,-62.9339241250302,-60.6445638081126,-62.923304927751,2.85207114015184,3.04345860251693
"60",-60.6445638081126,-62.923304927751,"gbif1051",-60.596608,-62.936875,-60.5891541461644,-62.9340383309987,-60.6445638081126,-62.923304927751,2.86724892478882,3.05830111442698
"61",-60.3778477495832,-62.5898480918859,"gbif1052",-60.2044,-62.6306,-60.3318505990436,-62.6097535715505,-60.3778477495832,-62.5898480918859,9.99734818191491,3.24101036569726
"62",-64.1435,-65.1706,"gbif1053",-64.1435,-65.1706,NA,NA,NA,NA,NA,NA
