"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-68.280549,12.264565,-68.2850576090271,12.2432608776267,-68.2459714761993,12.2378658762505,4.78292153352505,4.2944437275849,-68.2459714761993,12.2378658762505
"2","gbif10",-82.846698,24.798775,NA,NA,NA,NA,NA,NA,-82.846698,24.798775
"3","gbif100",-75.788861,10.170889,NA,NA,NA,NA,NA,NA,-75.788861,10.170889
"4","gbif1000",-77.356667,8.672167,NA,NA,NA,NA,NA,NA,-77.356667,8.672167
"5","gbif10000",-81.324234,21.862467,-81.3238014462216,21.8418402944168,-81.3817373587701,21.8414227491664,6.38447824291367,5.98938776298044,-81.3817373587701,21.8414227491664
"6","gbif10001",-81.581001,24.58535,NA,NA,NA,NA,NA,NA,-81.581001,24.58535
"7","gbif10002",-69.161697,12.360333,NA,NA,NA,NA,NA,NA,-69.161697,12.360333
"8","gbif10003",-78.336945,22.541111,-78.360665080428,22.5083364208966,-78.3145026856825,22.5083364208966,4.30149417894488,4.74965479207132,-78.3145026856825,22.5083364208966
"9","gbif10004",-77.647797,24.301121,NA,NA,NA,NA,NA,NA,-77.647797,24.301121
"10","gbif10005",-79.567314,21.21895,NA,NA,NA,NA,NA,NA,-79.567314,21.21895
"11","gbif10006",-87.443336,19.833334,NA,NA,NA,NA,NA,NA,-87.443336,19.833334
"12","gbif10007",-65.569786,18.373934,NA,NA,NA,NA,NA,NA,-65.569786,18.373934
"13","gbif10008",-77.85733,24.843834,NA,NA,NA,NA,NA,NA,-77.85733,24.843834
"14","gbif10009",-65.570419,18.354666,NA,NA,NA,NA,NA,NA,-65.570419,18.354666
"15","gbif1001",-74.128361,11.325611,-74.137926965666,11.3594498584544,-74.137926965666,11.3594498584544,3.88604814449729,0,-74.137926965666,11.3594498584544
"16","gbif10010",-87.45639,20.114166,NA,NA,NA,NA,NA,NA,-87.45639,20.114166
"17","gbif10011",-72.224266,21.489283,NA,NA,NA,NA,NA,NA,-72.224266,21.489283
"18","gbif10012",-81.324234,21.862467,-81.3238014462216,21.8418402944168,-81.3817373587701,21.8414227491664,6.38447824291367,5.98938776298044,-81.3817373587701,21.8414227491664
"19","gbif10013",-77.533348,24.09972,-77.5640207119748,24.0921808518447,-77.5143545100944,24.1089292330493,2.18389489910062,5.37963659675625,-77.5143545100944,24.1089292330493
"20","gbif10014",-64.726601,18.31385,-64.7247839715463,18.3014298855222,-64.7119837006853,18.2400889218229,8.30912111541351,6.92300643277056,-64.7119837006853,18.2400889218229
"21","gbif10015",-71.599998,21.299999,NA,NA,NA,NA,NA,NA,-71.599998,21.299999
"22","gbif10016",-80.078331,19.684933,NA,NA,NA,NA,NA,NA,-80.078331,19.684933
