"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-157.807011,21.441149,NA,NA,NA,NA,NA,NA,-157.807011,21.441149
"2","gbif11",-178.309998,28.379999,NA,NA,NA,NA,NA,NA,-178.309998,28.379999
"3","gbif111",-158.113412,21.594455,-158.128881607867,21.6025206121017,-158.129283200593,21.6413486476473,5.44611380337828,4.29943740947994,-158.129283200593,21.6413486476473
"4","gbif112",-156.667984,21.000608,-156.676493634533,21.0085673980871,-156.676493634533,21.0085673980871,1.24872164830156,0,-156.676493634533,21.0085673980871
"5","gbif113",-166.347,23.7639,NA,NA,NA,NA,NA,NA,-166.347,23.7639
"6","gbif114",-157.017,20.9972,NA,NA,NA,NA,NA,NA,-157.017,20.9972
"7","gbif115",-157.017,20.9972,NA,NA,NA,NA,NA,NA,-157.017,20.9972
"8","gbif116",-166.347,23.7639,NA,NA,NA,NA,NA,NA,-166.347,23.7639
"9","gbif12",-166.300003,23.860001,NA,NA,NA,NA,NA,NA,-166.300003,23.860001
"10","gbif13",-174,26.030001,NA,NA,NA,NA,NA,NA,-174,26.030001
"11","gbif14",-166.100006,23.639999,NA,NA,NA,NA,NA,NA,-166.100006,23.639999
"12","gbif15",-157.800003,21.43,NA,NA,NA,NA,NA,NA,-157.800003,21.43
"13","gbif16",-166.300003,23.870001,NA,NA,NA,NA,NA,NA,-166.300003,23.870001
"14","gbif17",-166.169998,23.75,NA,NA,NA,NA,NA,NA,-166.169998,23.75
"15","gbif18",-166.259995,23.77,NA,NA,NA,NA,NA,NA,-166.259995,23.77
"16","gbif19",-166.25,23.66,NA,NA,NA,NA,NA,NA,-166.25,23.66
"17","gbif2",-157.80715,21.441019,NA,NA,NA,NA,NA,NA,-157.80715,21.441019
"18","gbif20",-156.800003,21.07,NA,NA,NA,NA,NA,NA,-156.800003,21.07
"19","gbif21",-166.330002,23.860001,NA,NA,NA,NA,NA,NA,-166.330002,23.860001
"20","gbif22",-166.199997,23.709999,NA,NA,NA,NA,NA,NA,-166.199997,23.709999
"21","gbif23",-159.050003,21.57,NA,NA,NA,NA,NA,NA,-159.050003,21.57
"22","gbif24",-166.220001,23.65,NA,NA,NA,NA,NA,NA,-166.220001,23.65
"23","gbif25",-159.050003,21.57,NA,NA,NA,NA,NA,NA,-159.050003,21.57
"24","gbif26",-166.110001,23.83,NA,NA,NA,NA,NA,NA,-166.110001,23.83
"25","gbif27",-166.259995,23.77,NA,NA,NA,NA,NA,NA,-166.259995,23.77
"26","gbif28",-177.363007,28.214001,NA,NA,NA,NA,NA,NA,-177.363007,28.214001
"27","gbif29",-170.582993,25.417,NA,NA,NA,NA,NA,NA,-170.582993,25.417
"28","gbif3",-157.807182,21.441319,NA,NA,NA,NA,NA,NA,-157.807182,21.441319
"29","gbif30",-164.699997,23.57,NA,NA,NA,NA,NA,NA,-164.699997,23.57
"30","gbif31",-157.880005,21.559999,NA,NA,NA,NA,NA,NA,-157.880005,21.559999
"31","gbif32",-166.259995,23.77,NA,NA,NA,NA,NA,NA,-166.259995,23.77
"32","gbif33",-171.729996,25.77,NA,NA,NA,NA,NA,NA,-171.729996,25.77
"33","gbif34",-166.210007,23.66,NA,NA,NA,NA,NA,NA,-166.210007,23.66
"34","gbif35",-175.860001,27.790001,NA,NA,NA,NA,NA,NA,-175.860001,27.790001
"35","gbif36",-166.169998,23.75,NA,NA,NA,NA,NA,NA,-166.169998,23.75
"36","gbif37",-166.289993,23.879999,NA,NA,NA,NA,NA,NA,-166.289993,23.879999
"37","gbif38",-166.179993,23.639999,NA,NA,NA,NA,NA,NA,-166.179993,23.639999
"38","gbif39",-166.199997,23.77,NA,NA,NA,NA,NA,NA,-166.199997,23.77
"39","gbif40",-166.169998,23.65,NA,NA,NA,NA,NA,NA,-166.169998,23.65
"40","gbif41",-161.970001,23.1,NA,NA,NA,NA,NA,NA,-161.970001,23.1
"41","gbif44",-166.179993,23.65,NA,NA,NA,NA,NA,NA,-166.179993,23.65
"42","gbif45",-157.809998,21.459999,NA,NA,NA,NA,NA,NA,-157.809998,21.459999
"43","gbif46",-177.363007,28.214001,NA,NA,NA,NA,NA,NA,-177.363007,28.214001
"44","gbif47",-166.259995,23.879999,NA,NA,NA,NA,NA,NA,-166.259995,23.879999
"45","gbif48",-166.179993,23.790001,NA,NA,NA,NA,NA,NA,-166.179993,23.790001
"46","gbif49",-167.919998,25,NA,NA,NA,NA,NA,NA,-167.919998,25
"47","gbif50",-166.210007,23.780001,NA,NA,NA,NA,NA,NA,-166.210007,23.780001
"48","gbif51",-166.270004,23.84,NA,NA,NA,NA,NA,NA,-166.270004,23.84
"49","gbif52",-166.160004,23.690001,NA,NA,NA,NA,NA,NA,-166.160004,23.690001
"50","gbif53",-166.289993,23.85,NA,NA,NA,NA,NA,NA,-166.289993,23.85
"51","gbif54",-157.979996,21.370001,-157.991039688638,21.3503652895096,-157.995925171328,21.3078918117822,7.07254036455668,4.72994368651522,-157.995925171328,21.3078918117822
"52","gbif55",-166.25,23.879999,NA,NA,NA,NA,NA,NA,-166.25,23.879999
"53","gbif57",-159.050003,21.57,NA,NA,NA,NA,NA,NA,-159.050003,21.57
"54","gbif58",-157.830002,21.27,NA,NA,NA,NA,NA,NA,-157.830002,21.27
"55","gbif59",-157.800003,21.43,NA,NA,NA,NA,NA,NA,-157.800003,21.43
"56","gbif60",-157.029999,21.08,-157.035166755415,21.071919666427,-157.035166755415,21.071919666427,1.04343667518729,0,-157.035166755415,21.071919666427
"57","gbif61",-166.169998,23.76,NA,NA,NA,NA,NA,NA,-166.169998,23.76
"58","gbif62",-166.169998,23.73,NA,NA,NA,NA,NA,NA,-166.169998,23.73
"59","gbif63",-166.309998,23.870001,NA,NA,NA,NA,NA,NA,-166.309998,23.870001
"60","gbif64",-166.169998,23.67,NA,NA,NA,NA,NA,NA,-166.169998,23.67
"61","gbif65",-166.220001,23.790001,NA,NA,NA,NA,NA,NA,-166.220001,23.790001
"62","gbif66",-156.800003,21.07,NA,NA,NA,NA,NA,NA,-156.800003,21.07
"63","gbif67",-157.880005,21.559999,NA,NA,NA,NA,NA,NA,-157.880005,21.559999
"64","gbif68",-156.800003,21.07,NA,NA,NA,NA,NA,NA,-156.800003,21.07
"65","gbif69",-157.800003,21.43,NA,NA,NA,NA,NA,NA,-157.800003,21.43
"66","gbif70",-162,23.1,NA,NA,NA,NA,NA,NA,-162,23.1
"67","gbif71",-157.880005,21.559999,NA,NA,NA,NA,NA,NA,-157.880005,21.559999
"68","gbif72",-156.800003,21.07,NA,NA,NA,NA,NA,NA,-156.800003,21.07
"69","gbif73",-162,23.1,NA,NA,NA,NA,NA,NA,-162,23.1
"70","gbif74",-157.880005,21.559999,NA,NA,NA,NA,NA,NA,-157.880005,21.559999
"71","gbif75",-156.800003,21.07,NA,NA,NA,NA,NA,NA,-156.800003,21.07
"72","gbif76",-157.800003,21.43,NA,NA,NA,NA,NA,NA,-157.800003,21.43
"73","gbif77",-166.350006,23.76,NA,NA,NA,NA,NA,NA,-166.350006,23.76
"74","gbif78",-157.800003,21.43,NA,NA,NA,NA,NA,NA,-157.800003,21.43
"75","gbif79",-156.800003,21.07,NA,NA,NA,NA,NA,NA,-156.800003,21.07
"76","gbif80",-156.800003,21.07,NA,NA,NA,NA,NA,NA,-156.800003,21.07
"77","gbif81",-156.800003,21.07,NA,NA,NA,NA,NA,NA,-156.800003,21.07
"78","gbif82",-157.029999,21.08,-157.035166755415,21.071919666427,-157.035166755415,21.071919666427,1.04343667518729,0,-157.035166755415,21.071919666427
