"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-64.33,34.17,NA,NA,NA,NA,NA,NA,-64.33,34.17
"2","gbif10",-65.8611,18.6153,NA,NA,NA,NA,NA,NA,-65.8611,18.6153
"3","gbif100",-17.942,14.655,NA,NA,NA,NA,NA,NA,-17.942,14.655
"4","gbif1000",34.545,-29.8767,NA,NA,NA,NA,NA,NA,34.545,-29.8767
"5","gbif1001",-8.6833,47.5667,NA,NA,NA,NA,NA,NA,-8.6833,47.5667
"6","gbif1002",-8.6833,47.5833,NA,NA,NA,NA,NA,NA,-8.6833,47.5833
"7","gbif1003",-8.6333,47.55,NA,NA,NA,NA,NA,NA,-8.6333,47.55
"8","gbif1004",-8.4167,47.5333,NA,NA,NA,NA,NA,NA,-8.4167,47.5333
"9","gbif1005",-8.6467,47.5783,NA,NA,NA,NA,NA,NA,-8.6467,47.5783
"10","gbif1006",-9.0583,47.4917,NA,NA,NA,NA,NA,NA,-9.0583,47.4917
"11","gbif1007",-15.6333,37.3333,NA,NA,NA,NA,NA,NA,-15.6333,37.3333
"12","gbif1008",-19.2383,36.8867,NA,NA,NA,NA,NA,NA,-19.2383,36.8867
"13","gbif1009",-21.3517,34.835,NA,NA,NA,NA,NA,NA,-21.3517,34.835
"14","gbif101",-17.261,10.375,NA,NA,NA,NA,NA,NA,-17.261,10.375
"15","gbif1010",-21.9917,33.0133,NA,NA,NA,NA,NA,NA,-21.9917,33.0133
"16","gbif1011",-21.2717,32.105,NA,NA,NA,NA,NA,NA,-21.2717,32.105
"17","gbif1012",-21.3133,32.23,NA,NA,NA,NA,NA,NA,-21.3133,32.23
"18","gbif1013",-17.115,34.0867,NA,NA,NA,NA,NA,NA,-17.115,34.0867
"19","gbif1014",-15.0833,40.0133,NA,NA,NA,NA,NA,NA,-15.0833,40.0133
"20","gbif1015",-15.0033,39.985,NA,NA,NA,NA,NA,NA,-15.0033,39.985
"21","gbif1016",-15.975,42.7417,NA,NA,NA,NA,NA,NA,-15.975,42.7417
"22","gbif1017",-15.885,42.8717,NA,NA,NA,NA,NA,NA,-15.885,42.8717
"23","gbif1018",-14.0483,43.0017,NA,NA,NA,NA,NA,NA,-14.0483,43.0017
"24","gbif1019",-18.7217,36.5,NA,NA,NA,NA,NA,NA,-18.7217,36.5
"25","gbif102",-16.974,19.203,NA,NA,NA,NA,NA,NA,-16.974,19.203
"26","gbif1020",-46.755,10.385,NA,NA,NA,NA,NA,NA,-46.755,10.385
"27","gbif1021",49.1367,-30.8233,NA,NA,NA,NA,NA,NA,49.1367,-30.8233
"28","gbif1022",48.5917,-29.8483,NA,NA,NA,NA,NA,NA,48.5917,-29.8483
"29","gbif1023",59.9033,-35.13,NA,NA,NA,NA,NA,NA,59.9033,-35.13
"30","gbif1024",47.5833,-11.7333,NA,NA,NA,NA,NA,NA,47.5833,-11.7333
"31","gbif1025",-10.475,46.5367,NA,NA,NA,NA,NA,NA,-10.475,46.5367
"32","gbif1026",-10.43,46.455,NA,NA,NA,NA,NA,NA,-10.43,46.455
"33","gbif1027",-10.4333,46.5083,NA,NA,NA,NA,NA,NA,-10.4333,46.5083
"34","gbif1028",-4.8567,44.3867,NA,NA,NA,NA,NA,NA,-4.8567,44.3867
"35","gbif1029",-4.9133,44.3817,NA,NA,NA,NA,NA,NA,-4.9133,44.3817
"36","gbif103",-8.466667,36.733333,NA,NA,NA,NA,NA,NA,-8.466667,36.733333
"37","gbif1030",-8.6517,47.5617,NA,NA,NA,NA,NA,NA,-8.6517,47.5617
"38","gbif1031",-8.64,47.5333,NA,NA,NA,NA,NA,NA,-8.64,47.5333
"39","gbif1032",39.9883,-30.52,NA,NA,NA,NA,NA,NA,39.9883,-30.52
"40","gbif104",-83.600277,23.809722,NA,NA,NA,NA,NA,NA,-83.600277,23.809722
"41","gbif105",-75.605555,33.368888,NA,NA,NA,NA,NA,NA,-75.605555,33.368888
"42","gbif106",-80.072684,26.259129,-80.1117782674842,26.2600253154198,-80.0481570661234,26.2430529825861,3.02925666802955,6.62830032514969,-80.0481570661234,26.2430529825861
"43","gbif107",150.382,-37.792,NA,NA,NA,NA,NA,NA,150.382,-37.792
"44","gbif108",154.66,-23.6312,NA,NA,NA,NA,NA,NA,154.66,-23.6312
"45","gbif109",153.847,-26.9613,NA,NA,NA,NA,NA,NA,153.847,-26.9613
"46","gbif11",-73.47,32.48,NA,NA,NA,NA,NA,NA,-73.47,32.48
"47","gbif110",154.649,-28.371,NA,NA,NA,NA,NA,NA,154.649,-28.371
"48","gbif111",149.276,-39.462,NA,NA,NA,NA,NA,NA,149.276,-39.462
"49","gbif112",149.12,-41.7305,NA,NA,NA,NA,NA,NA,149.12,-41.7305
"50","gbif113",130.15,-1.175,NA,NA,NA,NA,NA,NA,130.15,-1.175
"51","gbif114",175.083298,-41.849998,NA,NA,NA,NA,NA,NA,175.083298,-41.849998
"52","gbif115",178.55867,-35.722332,NA,NA,NA,NA,NA,NA,178.55867,-35.722332
"53","gbif116",179.84317,-39.375999,NA,NA,NA,NA,NA,NA,179.84317,-39.375999
"54","gbif117",173.774994,-34.638302,NA,NA,NA,NA,NA,NA,173.774994,-34.638302
"55","gbif118",166.350006,-34.525002,NA,NA,NA,NA,NA,NA,166.350006,-34.525002
"56","gbif119",-38.23,16.62,NA,NA,NA,NA,NA,NA,-38.23,16.62
"57","gbif12",-65.8,32.5,NA,NA,NA,NA,NA,NA,-65.8,32.5
"58","gbif120",-32.18,30,NA,NA,NA,NA,NA,NA,-32.18,30
"59","gbif121",34.78,-25.97,NA,NA,NA,NA,NA,NA,34.78,-25.97
"60","gbif122",-38.23,16.62,NA,NA,NA,NA,NA,NA,-38.23,16.62
"61","gbif123",-36.93,-29.28,NA,NA,NA,NA,NA,NA,-36.93,-29.28
"62","gbif124",-36.93,-29.28,NA,NA,NA,NA,NA,NA,-36.93,-29.28
"63","gbif125",32.18,30,32.5726986478978,29.9416450537236,32.5726986478978,29.9416450537236,38.4491582883244,0,32.5726986478978,29.9416450537236
"64","gbif126",-38.23,16.62,NA,NA,NA,NA,NA,NA,-38.23,16.62
"65","gbif127",-7.5,36.41,NA,NA,NA,NA,NA,NA,-7.5,36.41
"66","gbif128",-38.23,16.62,NA,NA,NA,NA,NA,NA,-38.23,16.62
"67","gbif129",-36.93,-29.28,NA,NA,NA,NA,NA,NA,-36.93,-29.28
"68","gbif13",-67.2583,18.4035,NA,NA,NA,NA,NA,NA,-67.2583,18.4035
"69","gbif130",-7.5,36.41,NA,NA,NA,NA,NA,NA,-7.5,36.41
"70","gbif131",-7.5,36.41,NA,NA,NA,NA,NA,NA,-7.5,36.41
"71","gbif132",36.12,-21.64,NA,NA,NA,NA,NA,NA,36.12,-21.64
