"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","fakethinnedgbif1",-97.9079793698354,22.3940011501867,-97.8523947720657,22.4109660837092,-97.8523947720657,22.4109660837092,6.0238691018755,0,-97.8523947720657,22.4109660837092
"2","fakethinnedgbif10",-97.6804038078601,24.4860237222072,NA,NA,NA,NA,NA,NA,-97.6804038078601,24.4860237222072
"3","fakethinnedgbif100",-97.3011112045678,27.2912358074165,NA,NA,NA,NA,NA,NA,-97.3011112045678,27.2912358074165
"4","fakethinnedgbif101",-97.3011112045678,27.4814196776002,NA,NA,NA,NA,NA,NA,-97.3011112045678,27.4814196776002
"5","fakethinnedgbif102",-97.3011112045678,27.5289656451461,NA,NA,NA,NA,NA,NA,-97.3011112045678,27.5289656451461
"6","fakethinnedgbif103",-97.3011112045678,27.576511612692,-97.2735691794777,27.5768803260467,-97.2513428412669,27.5768803260467,4.91447716364314,2.19470497607477,-97.2513428412669,27.5768803260467
"7","fakethinnedgbif104",-97.3011112045678,27.6240575802379,-97.2735691794777,27.5768803260467,-97.2513428412669,27.5768803260467,7.17427848433641,2.19470497607477,-97.2513428412669,27.5768803260467
"8","fakethinnedgbif105",-97.3011112045678,27.6716035477838,-97.3028739000214,27.6977568065249,-97.3028739000214,27.6977568065249,2.90337758272694,0,-97.3028739000214,27.6977568065249
"9","fakethinnedgbif106",-97.3011112045678,27.7191495153298,NA,NA,NA,NA,NA,NA,-97.3011112045678,27.7191495153298
"10","fakethinnedgbif107",-97.3011112045678,27.7666954828757,NA,NA,NA,NA,NA,NA,-97.3011112045678,27.7666954828757
"11","fakethinnedgbif108",-97.3011112045678,27.8142414504216,NA,NA,NA,NA,NA,NA,-97.3011112045678,27.8142414504216
"12","fakethinnedgbif109",-97.3011112045678,27.8617874179675,NA,NA,NA,NA,NA,NA,-97.3011112045678,27.8617874179675
"13","fakethinnedgbif11",-97.6804038078601,27.2912358074165,-97.5216339903883,27.3101148573546,-97.5216339903883,27.3101148573546,15.8551681152268,0,-97.5216339903883,27.3101148573546
"14","fakethinnedgbif110",-97.2631819442386,26.1025866187685,NA,NA,NA,NA,NA,NA,-97.2631819442386,26.1025866187685
"15","fakethinnedgbif111",-97.2631819442386,26.1501325863144,NA,NA,NA,NA,NA,NA,-97.2631819442386,26.1501325863144
"16","fakethinnedgbif112",-97.2631819442386,26.1976785538603,NA,NA,NA,NA,NA,NA,-97.2631819442386,26.1976785538603
"17","fakethinnedgbif113",-97.2631819442386,26.2452245214062,NA,NA,NA,NA,NA,NA,-97.2631819442386,26.2452245214062
"18","fakethinnedgbif114",-97.2631819442386,26.2927704889522,NA,NA,NA,NA,NA,NA,-97.2631819442386,26.2927704889522
"19","fakethinnedgbif115",-97.2631819442386,27.1485979047787,NA,NA,NA,NA,NA,NA,-97.2631819442386,27.1485979047787
"20","fakethinnedgbif116",-97.2631819442386,27.576511612692,NA,NA,NA,NA,NA,NA,-97.2631819442386,27.576511612692
"21","fakethinnedgbif117",-97.2631819442386,27.6240575802379,NA,NA,NA,NA,NA,NA,-97.2631819442386,27.6240575802379
"22","fakethinnedgbif118",-97.2631819442386,27.6716035477838,NA,NA,NA,NA,NA,NA,-97.2631819442386,27.6716035477838
"23","fakethinnedgbif119",-97.2631819442386,27.7191495153298,NA,NA,NA,NA,NA,NA,-97.2631819442386,27.7191495153298
"24","fakethinnedgbif12",-97.6804038078601,27.3387817749624,-97.5203123394311,27.318334135228,-97.5203123394311,27.318334135228,16.0046170682599,0,-97.5203123394311,27.318334135228
"25","fakethinnedgbif120",-97.2631819442386,27.7666954828757,NA,NA,NA,NA,NA,NA,-97.2631819442386,27.7666954828757
"26","fakethinnedgbif121",-97.2631819442386,27.8142414504216,NA,NA,NA,NA,NA,NA,-97.2631819442386,27.8142414504216
"27","fakethinnedgbif122",-97.2631819442386,27.8617874179675,NA,NA,NA,NA,NA,NA,-97.2631819442386,27.8617874179675
"28","fakethinnedgbif123",-97.2252526839094,25.3418511380338,NA,NA,NA,NA,NA,NA,-97.2252526839094,25.3418511380338
"29","fakethinnedgbif124",-97.2252526839094,26.0550406512226,-97.2147879474393,26.0520496188764,-97.1846638266345,26.0429788810671,4.27613644025892,3.17782329343894,-97.1846638266345,26.0429788810671
"30","fakethinnedgbif125",-97.2252526839094,26.1025866187685,NA,NA,NA,NA,NA,NA,-97.2252526839094,26.1025866187685
"31","fakethinnedgbif126",-97.2252526839094,26.1501325863144,NA,NA,NA,NA,NA,NA,-97.2252526839094,26.1501325863144
"32","fakethinnedgbif127",-97.2252526839094,26.1976785538603,NA,NA,NA,NA,NA,NA,-97.2252526839094,26.1976785538603
"33","fakethinnedgbif128",-97.2252526839094,27.005960002141,NA,NA,NA,NA,NA,NA,-97.2252526839094,27.005960002141
"34","fakethinnedgbif129",-97.2252526839094,27.6240575802379,NA,NA,NA,NA,NA,NA,-97.2252526839094,27.6240575802379
"35","fakethinnedgbif13",-97.6424745475308,23.6777422739266,NA,NA,NA,NA,NA,NA,-97.6424745475308,23.6777422739266
"36","fakethinnedgbif130",-97.2252526839094,27.6716035477838,NA,NA,NA,NA,NA,NA,-97.2252526839094,27.6716035477838
"37","fakethinnedgbif131",-97.2252526839094,27.7191495153298,NA,NA,NA,NA,NA,NA,-97.2252526839094,27.7191495153298
"38","fakethinnedgbif132",-97.2252526839094,27.7666954828757,NA,NA,NA,NA,NA,NA,-97.2252526839094,27.7666954828757
"39","fakethinnedgbif133",-97.2252526839094,27.8142414504216,NA,NA,NA,NA,NA,NA,-97.2252526839094,27.8142414504216
"40","fakethinnedgbif134",-97.2252526839094,27.8617874179675,NA,NA,NA,NA,NA,NA,-97.2252526839094,27.8617874179675
"41","fakethinnedgbif135",-97.2252526839094,28.0519712881512,-97.1179848120022,28.0881808077066,-97.1179848120022,28.0881808077066,11.2819736033189,0,-97.1179848120022,28.0881808077066
"42","fakethinnedgbif136",-97.2252526839094,28.0995172556971,-97.1247711347982,28.1104112634309,-97.1247711347982,28.1104112634309,9.94749506490302,0,-97.1247711347982,28.1104112634309
"43","fakethinnedgbif137",-97.1873234235802,26.0074946836766,-97.1844329651631,26.0077864632202,-97.1846638266345,26.0429788810671,3.94024725458443,3.89898673492824,-97.1846638266345,26.0429788810671
"44","fakethinnedgbif138",-97.1873234235802,26.0550406512226,NA,NA,NA,NA,NA,NA,-97.1873234235802,26.0550406512226
"45","fakethinnedgbif139",-97.1873234235802,26.1025866187685,NA,NA,NA,NA,NA,NA,-97.1873234235802,26.1025866187685
"46","fakethinnedgbif14",-97.6424745475308,23.7728342090184,NA,NA,NA,NA,NA,NA,-97.6424745475308,23.7728342090184
"47","fakethinnedgbif140",-97.1873234235802,26.1501325863144,NA,NA,NA,NA,NA,NA,-97.1873234235802,26.1501325863144
"48","fakethinnedgbif141",-97.1873234235802,26.1976785538603,NA,NA,NA,NA,NA,NA,-97.1873234235802,26.1976785538603
