"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",-124.307296,41.749197,NA,NA,NA,NA,NA,NA,-124.307296,41.749197
"2","gbif10",-127.56,50.021666,NA,NA,NA,NA,NA,NA,-127.56,50.021666
"3","gbif11",-127.56,50.021666,NA,NA,NA,NA,NA,NA,-127.56,50.021666
"4","gbif12",-126.13,49.185,NA,NA,NA,NA,NA,NA,-126.13,49.185
"5","gbif13",-126.13,49.185,NA,NA,NA,NA,NA,NA,-126.13,49.185
"6","gbif14",-126.13,49.185,NA,NA,NA,NA,NA,NA,-126.13,49.185
"7","gbif15",-126.13,49.185,NA,NA,NA,NA,NA,NA,-126.13,49.185
"8","gbif16",-128.038333,50.323333,NA,NA,NA,NA,NA,NA,-128.038333,50.323333
"9","gbif17",-128.038333,50.323333,NA,NA,NA,NA,NA,NA,-128.038333,50.323333
"10","gbif18",-128.038333,50.323333,NA,NA,NA,NA,NA,NA,-128.038333,50.323333
"11","gbif19",-128.038333,50.323333,NA,NA,NA,NA,NA,NA,-128.038333,50.323333
"12","gbif2",-122.057403,36.931,NA,NA,NA,NA,NA,NA,-122.057403,36.931
"13","gbif20",-128.038333,50.323333,NA,NA,NA,NA,NA,NA,-128.038333,50.323333
"14","gbif21",-128.038333,50.323333,NA,NA,NA,NA,NA,NA,-128.038333,50.323333
"15","gbif22",-127.56,50.021666,NA,NA,NA,NA,NA,NA,-127.56,50.021666
"16","gbif23",-127.786666,50.023333,NA,NA,NA,NA,NA,NA,-127.786666,50.023333
"17","gbif24",-128.038333,50.323333,NA,NA,NA,NA,NA,NA,-128.038333,50.323333
"18","gbif25",-127.786666,50.023333,NA,NA,NA,NA,NA,NA,-127.786666,50.023333
"19","gbif26",-127.786666,50.023333,NA,NA,NA,NA,NA,NA,-127.786666,50.023333
"20","gbif27",-127.786666,50.023333,NA,NA,NA,NA,NA,NA,-127.786666,50.023333
"21","gbif28",-127.786666,50.023333,NA,NA,NA,NA,NA,NA,-127.786666,50.023333
"22","gbif29",-127.786666,50.023333,NA,NA,NA,NA,NA,NA,-127.786666,50.023333
"23","gbif3",-122.057114,36.930612,NA,NA,NA,NA,NA,NA,-122.057114,36.930612
"24","gbif30",-127.786666,50.023333,NA,NA,NA,NA,NA,NA,-127.786666,50.023333
"25","gbif31",-128.776666,52.4,NA,NA,NA,NA,NA,NA,-128.776666,52.4
"26","gbif32",-128.776666,52.4,NA,NA,NA,NA,NA,NA,-128.776666,52.4
"27","gbif33",-124.693666,48.574,NA,NA,NA,NA,NA,NA,-124.693666,48.574
"28","gbif34",-124.708333,48.575833,NA,NA,NA,NA,NA,NA,-124.708333,48.575833
"29","gbif35",-124.693666,48.574,NA,NA,NA,NA,NA,NA,-124.693666,48.574
"30","gbif36",-124.708333,48.575833,NA,NA,NA,NA,NA,NA,-124.708333,48.575833
"31","gbif37",-124.693666,48.574,NA,NA,NA,NA,NA,NA,-124.693666,48.574
"32","gbif38",-127.758333,50.927,-127.766616465828,50.9474298368495,-127.790331542878,50.9855502037792,6.89073086725444,4.5563190791734,-127.790331542878,50.9855502037792
"33","gbif39",-127.758333,50.927,-127.766616465828,50.9474298368495,-127.790331542878,50.9855502037792,6.89073086725444,4.5563190791734,-127.790331542878,50.9855502037792
"34","gbif4",-126.235,49.238333,NA,NA,NA,NA,NA,NA,-126.235,49.238333
"35","gbif40",-131.144933,52.6591,NA,NA,NA,NA,NA,NA,-131.144933,52.6591
"36","gbif41",-131.115566,52.565283,NA,NA,NA,NA,NA,NA,-131.115566,52.565283
"37","gbif42",-122.389258,37.16707,-122.396141571505,37.1631701311295,-122.389331357659,37.1137458317896,5.91798366896597,5.51843926400449,-122.389331357659,37.1137458317896
"38","gbif43",-124.740117,48.401229,-124.727085297791,48.3896749456956,-124.789775884423,48.3845868840311,4.11694358718788,4.67753313941036,-124.789775884423,48.3845868840311
"39","gbif44",-121.955,36.63,NA,NA,NA,NA,NA,NA,-121.955,36.63
"40","gbif45",-124.174289,41.343344,NA,NA,NA,NA,NA,NA,-124.174289,41.343344
"41","gbif46",-124.319405,41.794952,NA,NA,NA,NA,NA,NA,-124.319405,41.794952
"42","gbif47",-124.108467,44.49705,NA,NA,NA,NA,NA,NA,-124.108467,44.49705
"43","gbif48",-124.10526,44.58055,NA,NA,NA,NA,NA,NA,-124.10526,44.58055
"44","gbif49",-124.09535,44.56588,NA,NA,NA,NA,NA,NA,-124.09535,44.56588
"45","gbif5",-127.126666,49.83,-127.124162504405,49.8318509548493,-127.123541396555,49.7851055946647,4.99850505126017,5.19951047749391,-127.123541396555,49.7851055946647
"46","gbif50",-124.9606,44.56042,NA,NA,NA,NA,NA,NA,-124.9606,44.56042
"47","gbif51",-124.08899,44.5561,-124.099567209242,44.5567213282238,-124.099567209242,44.5567213282238,0.843219686774639,0,-124.099567209242,44.5567213282238
"48","gbif52",-124.10001,44.55454,NA,NA,NA,NA,NA,NA,-124.10001,44.55454
