"","x","y","run_acc_sra","x.orig","y.orig"
"1",133.125,31.05,"gbif1",133.125,31.05
"2",143.535,39.01,"gbif10",143.535,39.01
"3",-67.407765,39.898525,"gbif100",-67.407765,39.898525
"4",-58.7647,43.847,"gbif101",-58.7647,43.847
"5",-59.0115,44.0195,"gbif102",-59.0115,44.0195
"6",174.560166,-42.935666,"gbif103",174.560166,-42.935666
"7",178.570833,-38.902167,"gbif104",178.570833,-38.902167
"8",174.195167,-42.353667,"gbif105",174.195167,-42.353667
"9",-117.54785,32.70085,"gbif106",-117.54785,32.70085
"10",-123.06157,34.68067,"gbif107",-123.06157,34.68067
"11",-117.509083,32.67175,"gbif108",-117.509083,32.67175
"12",-117.483,32.596,"gbif109",-117.483,32.596
"13",143.501667,39.033333,"gbif11",143.501667,39.033333
"14",-117.455,32.5983,"gbif110",-117.455,32.5983
"15",-11.826667,37.011667,"gbif111",-11.826667,37.011667
"16",-54.78,14.1,"gbif112",-54.78,14.1
"17",-60.63,25.06,"gbif113",-60.63,25.06
"18",-14.01,3.51,"gbif114",-14.01,3.51
"19",-122.16,36.61,"gbif115",-122.16,36.61
"20",-122.16,36.61,"gbif116",-122.16,36.61
"21",142,37,"gbif117",142,37
"22",-17.4,19.83,"gbif118",-17.4,19.83
"23",138.530248,34.536668,"gbif119",138.530248,34.536668
"24",127.118333,26.536667,"gbif12",127.118333,26.536667
"25",140.155,31.485,"gbif120",140.155,31.485
"26",142.5,38.85,"gbif121",142.5,38.85
"27",85,15,"gbif122",85,15
"28",-178.507,-31.4507,"gbif123",-178.507,-31.4507
"29",-178.507,-31.4507,"gbif124",-178.507,-31.4507
"30",142,37,"gbif125",142,37
"31",33.316667,-29.7,"gbif126",33.316667,-29.7
"32",-61.266667,14.633333,"gbif127",-61.266667,14.633333
"33",-53.65,27.0333,"gbif128",-53.65,27.0333
"34",-53.65,27.0333,"gbif129",-53.65,27.0333
"35",133.728333,33.08,"gbif13",133.728333,33.08
"36",-60.9667,17.6833,"gbif130",-60.9667,17.6833
"37",-56,28.25,"gbif131",-56,28.25
"38",-53.65,27.0333,"gbif132",-53.65,27.0333
"39",-61.2667,14.6333,"gbif133",-61.2667,14.6333
"40",-61.2667,14.6333,"gbif134",-61.2667,14.6333
"41",-64.8333,17.9333,"gbif135",-64.8333,17.9333
"42",-61.6667,14,"gbif136",-61.6667,14
"43",-64.9667,17.2167,"gbif137",-64.9667,17.2167
"44",-65.7167,19.0667,"gbif138",-65.7167,19.0667
"45",-74.6,24.0833,"gbif139",-74.6,24.0833
"46",139.75,34.9,"gbif14",139.75,34.9
"47",-79.3167,7.5,"gbif140",-79.3167,7.5
"48",-79.1167,18.8333,"gbif141",-79.1167,18.8333
