"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",39.795315,-7.892988,39.7683178512764,-7.87216678536102,39.7740322281904,-7.83623564283067,6.70093321573329,4.02342471816766,39.7740322281904,-7.83623564283067
"2","gbif10",101.457645,12.51482,NA,NA,NA,NA,NA,NA,101.457645,12.51482
"3","gbif100",166.445556,-22.316668,NA,NA,NA,NA,NA,NA,166.445556,-22.316668
"4","gbif1000",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"5","gbif1001",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"6","gbif1002",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"7","gbif1003",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"8","gbif1004",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"9","gbif1005",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"10","gbif1006",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"11","gbif1007",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"12","gbif1008",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"13","gbif1009",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"14","gbif101",129.894444,-4.536667,129.92268163355,-4.56835865135234,129.857380996481,-4.56835865135234,5.40341949187495,7.24629354920737,129.857380996481,-4.56835865135234
"15","gbif1010",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"16","gbif1011",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"17","gbif1012",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"18","gbif1013",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"19","gbif1014",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"20","gbif1015",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"21","gbif1016",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"22","gbif1017",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"23","gbif1018",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"24","gbif1019",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"25","gbif102",48.248935,-13.410592,NA,NA,NA,NA,NA,NA,48.248935,-13.410592
"26","gbif1020",-170.692886,-14.31137,-170.692721336365,-14.3126988534152,-170.664937951472,-14.3719896257873,7.35347042408253,7.21221748488232,-170.664937951472,-14.3719896257873
"27","gbif1021",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"28","gbif1022",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"29","gbif1023",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"30","gbif1024",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"31","gbif1025",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"32","gbif1026",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"33","gbif1027",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"34","gbif1028",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"35","gbif1029",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"36","gbif103",48.248935,-13.410592,NA,NA,NA,NA,NA,NA,48.248935,-13.410592
"37","gbif1030",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"38","gbif1031",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"39","gbif1032",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"40","gbif1033",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"41","gbif1034",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"42","gbif1035",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"43","gbif1036",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"44","gbif1037",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"45","gbif1038",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"46","gbif1039",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"47","gbif104",128.416667,0.335278,NA,NA,NA,NA,NA,NA,128.416667,0.335278
"48","gbif1040",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"49","gbif1041",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"50","gbif1042",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"51","gbif1043",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"52","gbif1044",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"53","gbif1045",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"54","gbif1046",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
"55","gbif1047",-170.704513,-14.33595,-170.707061759866,-14.3143372603885,-170.731616966105,-14.3719896257873,4.94442844979072,6.90684667654928,-170.731616966105,-14.3719896257873
