"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",166.380439,-21.674185,NA,NA,NA,NA,NA,NA,166.380439,-21.674185
"2","gbif10",147.751111,-18.9675,NA,NA,NA,NA,NA,NA,147.751111,-18.9675
"3","gbif100",118.7667,4.6083,118.741786659076,4.57326725262091,118.741786659076,4.57326725262091,4.75915600853865,0,118.741786659076,4.57326725262091
"4","gbif101",121.8565,-13.9689,NA,NA,NA,NA,NA,NA,121.8565,-13.9689
"5","gbif102",145.816,-5.133,145.866662331326,-5.13238880381229,145.927023522875,-5.10188958873657,12.7818045544328,7.49451006130725,145.927023522875,-5.10188958873657
"6","gbif103",152.366,-23.866,NA,NA,NA,NA,NA,NA,152.366,-23.866
"7","gbif104",152.083,-23.5,NA,NA,NA,NA,NA,NA,152.083,-23.5
"8","gbif105",152.083,-23.5,NA,NA,NA,NA,NA,NA,152.083,-23.5
"9","gbif106",152.083,-23.5,NA,NA,NA,NA,NA,NA,152.083,-23.5
"10","gbif107",147.105833,-18.690833,NA,NA,NA,NA,NA,NA,147.105833,-18.690833
"11","gbif108",145.016667,-16.583333,145.518175880524,-16.5061133753242,145.518175880524,-16.5061133753242,54.208610870355,0,145.518175880524,-16.5061133753242
"12","gbif109",144.066667,-9.933333,NA,NA,NA,NA,NA,NA,144.066667,-9.933333
"13","gbif11",147.751111,-18.9675,NA,NA,NA,NA,NA,NA,147.751111,-18.9675
"14","gbif110",151.916667,-23.45,NA,NA,NA,NA,NA,NA,151.916667,-23.45
"15","gbif111",152.4,-23.916667,NA,NA,NA,NA,NA,NA,152.4,-23.916667
"16","gbif112",151.816667,-23.233333,NA,NA,NA,NA,NA,NA,151.816667,-23.233333
"17","gbif113",151.816667,-23.233333,NA,NA,NA,NA,NA,NA,151.816667,-23.233333
"18","gbif114",152.4,-23.916667,NA,NA,NA,NA,NA,NA,152.4,-23.916667
"19","gbif115",152.4,-23.916667,NA,NA,NA,NA,NA,NA,152.4,-23.916667
"20","gbif116",152.4,-23.916667,NA,NA,NA,NA,NA,NA,152.4,-23.916667
"21","gbif117",122.133333,-0.466667,122.141963996472,-0.475314363463384,122.141963996472,-0.475314363463384,1.35547161867649,0,122.141963996472,-0.475314363463384
